POI: 			Rutger_Hauer 
Youtube ID: 	pYDoUI3vHzY 
Video length: 	676.8 sec 
Set (V): 		dev 
 
Rutger_Hauer/pYDoUI3vHzY_0000001 08.8 13.5 
Rutger_Hauer/pYDoUI3vHzY_0000002 36.8 40.9 
Rutger_Hauer/pYDoUI3vHzY_0000003 56.2 63.1 
Rutger_Hauer/pYDoUI3vHzY_0000004 119.4 123.9 
Rutger_Hauer/pYDoUI3vHzY_0000005 192.3 196.4 
Rutger_Hauer/pYDoUI3vHzY_0000006 209.4 214.3 
Rutger_Hauer/pYDoUI3vHzY_0000007 229.7 235.0 
Rutger_Hauer/pYDoUI3vHzY_0000008 254.7 258.9 
Rutger_Hauer/pYDoUI3vHzY_0000009 340.5 345.4 
Rutger_Hauer/pYDoUI3vHzY_0000010 351.5 356.7 
Rutger_Hauer/pYDoUI3vHzY_0000011 404.0 409.0 
Rutger_Hauer/pYDoUI3vHzY_0000012 411.1 417.6 
Rutger_Hauer/pYDoUI3vHzY_0000013 430.8 436.0 
Rutger_Hauer/pYDoUI3vHzY_0000014 518.3 523.6 
Rutger_Hauer/pYDoUI3vHzY_0000015 524.2 528.5 
Rutger_Hauer/pYDoUI3vHzY_0000016 559.4 564.9 
Rutger_Hauer/pYDoUI3vHzY_0000017 594.3 598.8 
Rutger_Hauer/pYDoUI3vHzY_0000018 618.6 623.2 
