POI: 			Karoline_Herfurth 
Youtube ID: 	p6rSnUzQGCw 
Video length: 	450.6 sec 
Set (V): 		dev 
 
Karoline_Herfurth/p6rSnUzQGCw_0000001 11.3 15.9 
Karoline_Herfurth/p6rSnUzQGCw_0000002 36.0 41.3 
Karoline_Herfurth/p6rSnUzQGCw_0000003 76.8 80.9 
Karoline_Herfurth/p6rSnUzQGCw_0000004 98.2 104.5 
Karoline_Herfurth/p6rSnUzQGCw_0000005 111.4 118.2 
Karoline_Herfurth/p6rSnUzQGCw_0000006 119.4 124.2 
Karoline_Herfurth/p6rSnUzQGCw_0000007 124.4 128.8 
Karoline_Herfurth/p6rSnUzQGCw_0000008 141.5 145.8 
Karoline_Herfurth/p6rSnUzQGCw_0000009 173.0 177.2 
Karoline_Herfurth/p6rSnUzQGCw_0000010 185.6 195.5 
Karoline_Herfurth/p6rSnUzQGCw_0000011 198.6 206.7 
Karoline_Herfurth/p6rSnUzQGCw_0000012 211.0 218.4 
Karoline_Herfurth/p6rSnUzQGCw_0000013 225.4 230.8 
Karoline_Herfurth/p6rSnUzQGCw_0000014 278.1 282.3 
Karoline_Herfurth/p6rSnUzQGCw_0000015 332.1 343.1 
Karoline_Herfurth/p6rSnUzQGCw_0000016 356.0 360.9 
Karoline_Herfurth/p6rSnUzQGCw_0000017 361.0 368.4 
Karoline_Herfurth/p6rSnUzQGCw_0000018 369.7 373.6 
Karoline_Herfurth/p6rSnUzQGCw_0000019 398.1 405.7 
Karoline_Herfurth/p6rSnUzQGCw_0000020 422.6 428.2 
Karoline_Herfurth/p6rSnUzQGCw_0000021 401.0 405.6 
Karoline_Herfurth/p6rSnUzQGCw_0000022 411.4 415.4 
Karoline_Herfurth/p6rSnUzQGCw_0000023 422.6 438.7 
