POI: 			Karoline_Herfurth 
Youtube ID: 	31ZR8xeMUCA 
Video length: 	400.7 sec 
Set (V): 		dev 
 
Karoline_Herfurth/31ZR8xeMUCA_0000001 18.6 23.4 
Karoline_Herfurth/31ZR8xeMUCA_0000002 29.2 35.8 
Karoline_Herfurth/31ZR8xeMUCA_0000003 40.4 48.8 
Karoline_Herfurth/31ZR8xeMUCA_0000004 51.2 56.1 
Karoline_Herfurth/31ZR8xeMUCA_0000005 69.1 75.8 
Karoline_Herfurth/31ZR8xeMUCA_0000006 98.3 103.8 
Karoline_Herfurth/31ZR8xeMUCA_0000007 122.1 127.4 
Karoline_Herfurth/31ZR8xeMUCA_0000008 141.2 146.1 
Karoline_Herfurth/31ZR8xeMUCA_0000009 161.5 166.4 
Karoline_Herfurth/31ZR8xeMUCA_0000010 188.7 198.0 
Karoline_Herfurth/31ZR8xeMUCA_0000011 220.4 226.8 
Karoline_Herfurth/31ZR8xeMUCA_0000012 256.6 260.7 
Karoline_Herfurth/31ZR8xeMUCA_0000013 266.0 270.0 
Karoline_Herfurth/31ZR8xeMUCA_0000014 271.0 277.3 
Karoline_Herfurth/31ZR8xeMUCA_0000015 288.8 292.7 
Karoline_Herfurth/31ZR8xeMUCA_0000016 378.2 382.2 
Karoline_Herfurth/31ZR8xeMUCA_0000017 383.3 390.3 
