POI: 			Karoline_Herfurth 
Youtube ID: 	5ogrwZ800Uo 
Video length: 	391.5 sec 
Set (V): 		dev 
 
Karoline_Herfurth/5ogrwZ800Uo_0000001 27.0 33.0 
Karoline_Herfurth/5ogrwZ800Uo_0000002 33.6 44.8 
Karoline_Herfurth/5ogrwZ800Uo_0000003 45.1 53.2 
Karoline_Herfurth/5ogrwZ800Uo_0000004 58.2 70.2 
Karoline_Herfurth/5ogrwZ800Uo_0000005 88.9 95.0 
Karoline_Herfurth/5ogrwZ800Uo_0000006 96.0 105.7 
Karoline_Herfurth/5ogrwZ800Uo_0000007 121.4 128.7 
Karoline_Herfurth/5ogrwZ800Uo_0000008 130.6 140.7 
Karoline_Herfurth/5ogrwZ800Uo_0000009 140.9 159.2 
Karoline_Herfurth/5ogrwZ800Uo_0000010 202.2 206.4 
Karoline_Herfurth/5ogrwZ800Uo_0000011 206.8 212.6 
Karoline_Herfurth/5ogrwZ800Uo_0000012 218.6 222.9 
Karoline_Herfurth/5ogrwZ800Uo_0000013 271.7 277.0 
Karoline_Herfurth/5ogrwZ800Uo_0000014 281.6 286.2 
Karoline_Herfurth/5ogrwZ800Uo_0000015 299.2 311.8 
Karoline_Herfurth/5ogrwZ800Uo_0000016 341.2 345.8 
Karoline_Herfurth/5ogrwZ800Uo_0000017 361.4 366.5 
Karoline_Herfurth/5ogrwZ800Uo_0000018 373.0 376.9 
