POI: 			Mary_Lynn_Rajskub 
Youtube ID: 	aLZVHnQIVYw 
Video length: 	542.3 sec 
Set (V): 		dev 
 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000001 41.3 46.7 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000002 61.5 66.1 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000003 69.3 75.0 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000004 84.3 90.4 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000005 91.9 108.6 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000006 112.5 117.1 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000007 125.0 135.4 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000008 136.8 149.2 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000009 152.0 156.5 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000010 160.1 167.3 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000011 183.5 189.4 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000012 190.2 194.5 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000013 195.4 200.7 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000014 204.6 213.0 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000015 215.3 219.5 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000016 243.1 251.0 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000017 268.0 274.9 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000018 302.3 308.9 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000019 342.3 348.2 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000020 365.4 373.0 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000021 385.2 390.6 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000022 401.8 407.6 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000023 410.6 416.9 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000024 418.9 423.2 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000025 430.0 437.3 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000026 447.4 452.3 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000027 456.8 461.2 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000028 462.0 468.0 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000029 491.7 496.0 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000030 514.0 519.3 
Mary_Lynn_Rajskub/aLZVHnQIVYw_0000031 519.4 526.0 
