POI: 			Hannah_Spearritt 
Youtube ID: 	yVWutBwaJME 
Video length: 	384.1 sec 
Set (V): 		dev 
 
Hannah_Spearritt/yVWutBwaJME_0000001 12.3 16.3 
Hannah_Spearritt/yVWutBwaJME_0000002 17.0 33.8 
Hannah_Spearritt/yVWutBwaJME_0000003 51.4 69.5 
Hannah_Spearritt/yVWutBwaJME_0000004 86.7 91.8 
Hannah_Spearritt/yVWutBwaJME_0000005 92.4 96.7 
Hannah_Spearritt/yVWutBwaJME_0000006 97.9 104.0 
Hannah_Spearritt/yVWutBwaJME_0000007 114.2 126.0 
Hannah_Spearritt/yVWutBwaJME_0000008 126.3 130.4 
Hannah_Spearritt/yVWutBwaJME_0000009 130.4 145.1 
Hannah_Spearritt/yVWutBwaJME_0000010 147.9 162.0 
Hannah_Spearritt/yVWutBwaJME_0000011 162.6 168.3 
Hannah_Spearritt/yVWutBwaJME_0000012 175.5 187.0 
Hannah_Spearritt/yVWutBwaJME_0000013 188.0 206.6 
Hannah_Spearritt/yVWutBwaJME_0000014 210.8 219.9 
Hannah_Spearritt/yVWutBwaJME_0000015 220.0 228.3 
Hannah_Spearritt/yVWutBwaJME_0000016 228.4 234.4 
Hannah_Spearritt/yVWutBwaJME_0000017 251.2 257.0 
Hannah_Spearritt/yVWutBwaJME_0000018 259.6 272.3 
Hannah_Spearritt/yVWutBwaJME_0000019 278.9 287.4 
Hannah_Spearritt/yVWutBwaJME_0000020 291.0 314.5 
Hannah_Spearritt/yVWutBwaJME_0000021 324.3 332.4 
Hannah_Spearritt/yVWutBwaJME_0000022 333.3 349.0 
