POI: 			Rob_Reiner 
Youtube ID: 	Vzqmi3MAixQ 
Video length: 	1693.9 sec 
Set (V): 		dev 
 
Rob_Reiner/Vzqmi3MAixQ_0000001 29.2 35.4 
Rob_Reiner/Vzqmi3MAixQ_0000002 35.7 42.4 
Rob_Reiner/Vzqmi3MAixQ_0000003 56.2 63.2 
Rob_Reiner/Vzqmi3MAixQ_0000004 78.3 84.2 
Rob_Reiner/Vzqmi3MAixQ_0000005 85.2 90.6 
Rob_Reiner/Vzqmi3MAixQ_0000006 91.0 97.5 
Rob_Reiner/Vzqmi3MAixQ_0000007 109.7 114.8 
Rob_Reiner/Vzqmi3MAixQ_0000008 130.1 135.1 
Rob_Reiner/Vzqmi3MAixQ_0000009 146.8 151.8 
Rob_Reiner/Vzqmi3MAixQ_0000010 159.9 166.2 
Rob_Reiner/Vzqmi3MAixQ_0000011 173.6 178.6 
Rob_Reiner/Vzqmi3MAixQ_0000012 120.8 141.6 
Rob_Reiner/Vzqmi3MAixQ_0000013 142.8 152.2 
Rob_Reiner/Vzqmi3MAixQ_0000014 158.9 166.9 
Rob_Reiner/Vzqmi3MAixQ_0000015 167.1 181.4 
Rob_Reiner/Vzqmi3MAixQ_0000016 182.9 195.0 
Rob_Reiner/Vzqmi3MAixQ_0000017 197.3 203.2 
Rob_Reiner/Vzqmi3MAixQ_0000018 205.2 217.5 
Rob_Reiner/Vzqmi3MAixQ_0000019 220.3 230.2 
Rob_Reiner/Vzqmi3MAixQ_0000020 231.1 238.6 
Rob_Reiner/Vzqmi3MAixQ_0000021 239.1 243.2 
Rob_Reiner/Vzqmi3MAixQ_0000022 244.1 268.8 
Rob_Reiner/Vzqmi3MAixQ_0000023 271.7 276.2 
Rob_Reiner/Vzqmi3MAixQ_0000024 280.4 286.9 
Rob_Reiner/Vzqmi3MAixQ_0000025 293.2 297.8 
Rob_Reiner/Vzqmi3MAixQ_0000026 299.0 305.3 
Rob_Reiner/Vzqmi3MAixQ_0000027 315.7 330.5 
Rob_Reiner/Vzqmi3MAixQ_0000028 332.4 337.6 
Rob_Reiner/Vzqmi3MAixQ_0000029 356.3 365.2 
Rob_Reiner/Vzqmi3MAixQ_0000030 368.6 372.7 
Rob_Reiner/Vzqmi3MAixQ_0000031 377.7 384.9 
Rob_Reiner/Vzqmi3MAixQ_0000032 392.2 397.5 
Rob_Reiner/Vzqmi3MAixQ_0000033 392.4 397.2 
Rob_Reiner/Vzqmi3MAixQ_0000034 399.9 409.1 
Rob_Reiner/Vzqmi3MAixQ_0000035 415.2 422.6 
Rob_Reiner/Vzqmi3MAixQ_0000036 431.5 437.2 
Rob_Reiner/Vzqmi3MAixQ_0000037 437.4 443.6 
Rob_Reiner/Vzqmi3MAixQ_0000038 447.3 458.2 
Rob_Reiner/Vzqmi3MAixQ_0000039 460.6 481.4 
Rob_Reiner/Vzqmi3MAixQ_0000040 486.6 492.4 
Rob_Reiner/Vzqmi3MAixQ_0000041 496.9 501.7 
Rob_Reiner/Vzqmi3MAixQ_0000042 505.7 512.2 
Rob_Reiner/Vzqmi3MAixQ_0000043 512.3 522.8 
Rob_Reiner/Vzqmi3MAixQ_0000044 525.6 530.8 
Rob_Reiner/Vzqmi3MAixQ_0000045 536.7 547.3 
Rob_Reiner/Vzqmi3MAixQ_0000046 553.4 557.5 
Rob_Reiner/Vzqmi3MAixQ_0000047 563.3 570.2 
Rob_Reiner/Vzqmi3MAixQ_0000048 571.8 578.3 
Rob_Reiner/Vzqmi3MAixQ_0000049 583.5 597.4 
Rob_Reiner/Vzqmi3MAixQ_0000050 632.7 640.2 
Rob_Reiner/Vzqmi3MAixQ_0000051 632.9 639.9 
Rob_Reiner/Vzqmi3MAixQ_0000052 642.8 670.0 
Rob_Reiner/Vzqmi3MAixQ_0000053 672.6 680.5 
Rob_Reiner/Vzqmi3MAixQ_0000054 685.2 701.2 
Rob_Reiner/Vzqmi3MAixQ_0000055 667.2 675.2 
Rob_Reiner/Vzqmi3MAixQ_0000056 703.7 711.0 
Rob_Reiner/Vzqmi3MAixQ_0000057 713.0 721.2 
Rob_Reiner/Vzqmi3MAixQ_0000058 722.0 728.1 
Rob_Reiner/Vzqmi3MAixQ_0000059 729.3 734.0 
Rob_Reiner/Vzqmi3MAixQ_0000060 734.2 743.2 
Rob_Reiner/Vzqmi3MAixQ_0000061 754.8 760.4 
Rob_Reiner/Vzqmi3MAixQ_0000062 763.0 768.4 
Rob_Reiner/Vzqmi3MAixQ_0000063 768.8 784.6 
Rob_Reiner/Vzqmi3MAixQ_0000064 785.3 789.3 
Rob_Reiner/Vzqmi3MAixQ_0000065 796.4 800.4 
Rob_Reiner/Vzqmi3MAixQ_0000066 804.4 808.3 
Rob_Reiner/Vzqmi3MAixQ_0000067 814.0 819.6 
Rob_Reiner/Vzqmi3MAixQ_0000068 820.1 824.3 
Rob_Reiner/Vzqmi3MAixQ_0000069 826.6 831.4 
Rob_Reiner/Vzqmi3MAixQ_0000070 839.3 846.5 
Rob_Reiner/Vzqmi3MAixQ_0000071 864.6 872.9 
Rob_Reiner/Vzqmi3MAixQ_0000072 874.7 878.9 
Rob_Reiner/Vzqmi3MAixQ_0000073 880.1 893.5 
Rob_Reiner/Vzqmi3MAixQ_0000074 905.2 910.0 
Rob_Reiner/Vzqmi3MAixQ_0000075 912.8 937.2 
Rob_Reiner/Vzqmi3MAixQ_0000076 940.9 946.8 
Rob_Reiner/Vzqmi3MAixQ_0000077 948.8 956.3 
Rob_Reiner/Vzqmi3MAixQ_0000078 957.3 965.5 
Rob_Reiner/Vzqmi3MAixQ_0000079 969.7 975.5 
Rob_Reiner/Vzqmi3MAixQ_0000080 950.8 955.7 
Rob_Reiner/Vzqmi3MAixQ_0000081 958.8 965.5 
Rob_Reiner/Vzqmi3MAixQ_0000082 969.6 983.0 
Rob_Reiner/Vzqmi3MAixQ_0000083 983.8 993.6 
Rob_Reiner/Vzqmi3MAixQ_0000084 996.1 1002.3 
Rob_Reiner/Vzqmi3MAixQ_0000085 996.1 1002.3 
Rob_Reiner/Vzqmi3MAixQ_0000086 1019.9 1037.4 
Rob_Reiner/Vzqmi3MAixQ_0000087 1027.6 1037.6 
Rob_Reiner/Vzqmi3MAixQ_0000088 1044.2 1058.7 
Rob_Reiner/Vzqmi3MAixQ_0000089 1071.9 1090.0 
Rob_Reiner/Vzqmi3MAixQ_0000090 1090.8 1100.8 
Rob_Reiner/Vzqmi3MAixQ_0000091 1122.5 1129.6 
Rob_Reiner/Vzqmi3MAixQ_0000092 1144.8 1150.4 
Rob_Reiner/Vzqmi3MAixQ_0000093 1150.8 1161.0 
Rob_Reiner/Vzqmi3MAixQ_0000094 1178.8 1190.4 
Rob_Reiner/Vzqmi3MAixQ_0000095 1194.4 1199.0 
Rob_Reiner/Vzqmi3MAixQ_0000096 1199.8 1204.3 
