POI: 			Rob_Reiner 
Youtube ID: 	sOlWHKGy-SY 
Video length: 	1713.1 sec 
Set (V): 		dev 
 
Rob_Reiner/sOlWHKGy-SY_0000001 14.7 21.6 
Rob_Reiner/sOlWHKGy-SY_0000002 29.1 37.0 
Rob_Reiner/sOlWHKGy-SY_0000003 40.9 51.6 
Rob_Reiner/sOlWHKGy-SY_0000004 52.3 57.2 
Rob_Reiner/sOlWHKGy-SY_0000005 71.8 77.0 
Rob_Reiner/sOlWHKGy-SY_0000006 85.4 91.6 
Rob_Reiner/sOlWHKGy-SY_0000007 92.0 97.5 
Rob_Reiner/sOlWHKGy-SY_0000008 99.1 103.9 
Rob_Reiner/sOlWHKGy-SY_0000009 104.7 112.2 
Rob_Reiner/sOlWHKGy-SY_0000010 115.6 122.3 
Rob_Reiner/sOlWHKGy-SY_0000011 123.3 131.4 
Rob_Reiner/sOlWHKGy-SY_0000012 137.4 144.0 
Rob_Reiner/sOlWHKGy-SY_0000013 146.5 155.7 
Rob_Reiner/sOlWHKGy-SY_0000014 162.1 166.3 
Rob_Reiner/sOlWHKGy-SY_0000015 182.1 186.6 
Rob_Reiner/sOlWHKGy-SY_0000016 187.6 193.1 
Rob_Reiner/sOlWHKGy-SY_0000017 211.8 217.1 
Rob_Reiner/sOlWHKGy-SY_0000018 225.9 229.9 
Rob_Reiner/sOlWHKGy-SY_0000019 231.3 238.2 
Rob_Reiner/sOlWHKGy-SY_0000020 312.4 318.2 
Rob_Reiner/sOlWHKGy-SY_0000021 332.0 347.5 
Rob_Reiner/sOlWHKGy-SY_0000022 347.7 352.4 
Rob_Reiner/sOlWHKGy-SY_0000023 352.6 366.4 
Rob_Reiner/sOlWHKGy-SY_0000024 369.8 377.0 
Rob_Reiner/sOlWHKGy-SY_0000025 381.3 391.1 
Rob_Reiner/sOlWHKGy-SY_0000026 400.5 436.4 
Rob_Reiner/sOlWHKGy-SY_0000027 437.2 441.7 
Rob_Reiner/sOlWHKGy-SY_0000028 425.8 431.8 
Rob_Reiner/sOlWHKGy-SY_0000029 448.2 453.2 
Rob_Reiner/sOlWHKGy-SY_0000030 468.2 483.6 
Rob_Reiner/sOlWHKGy-SY_0000031 485.2 491.9 
Rob_Reiner/sOlWHKGy-SY_0000032 496.4 507.7 
Rob_Reiner/sOlWHKGy-SY_0000033 509.4 518.5 
Rob_Reiner/sOlWHKGy-SY_0000034 518.8 523.6 
Rob_Reiner/sOlWHKGy-SY_0000035 527.0 536.0 
Rob_Reiner/sOlWHKGy-SY_0000036 539.2 546.7 
Rob_Reiner/sOlWHKGy-SY_0000037 550.3 558.4 
Rob_Reiner/sOlWHKGy-SY_0000038 567.6 571.6 
Rob_Reiner/sOlWHKGy-SY_0000039 576.0 580.5 
Rob_Reiner/sOlWHKGy-SY_0000040 581.6 589.1 
Rob_Reiner/sOlWHKGy-SY_0000041 589.8 604.5 
Rob_Reiner/sOlWHKGy-SY_0000042 599.1 605.1 
Rob_Reiner/sOlWHKGy-SY_0000043 607.1 612.6 
Rob_Reiner/sOlWHKGy-SY_0000044 625.6 635.9 
Rob_Reiner/sOlWHKGy-SY_0000045 636.7 642.1 
Rob_Reiner/sOlWHKGy-SY_0000046 652.2 657.0 
Rob_Reiner/sOlWHKGy-SY_0000047 663.6 670.0 
Rob_Reiner/sOlWHKGy-SY_0000048 670.4 677.3 
Rob_Reiner/sOlWHKGy-SY_0000049 682.6 691.7 
Rob_Reiner/sOlWHKGy-SY_0000050 692.2 701.0 
Rob_Reiner/sOlWHKGy-SY_0000051 701.9 717.2 
Rob_Reiner/sOlWHKGy-SY_0000052 722.6 737.1 
Rob_Reiner/sOlWHKGy-SY_0000053 749.4 753.9 
Rob_Reiner/sOlWHKGy-SY_0000054 755.3 762.1 
Rob_Reiner/sOlWHKGy-SY_0000055 770.5 776.9 
Rob_Reiner/sOlWHKGy-SY_0000056 786.4 792.7 
Rob_Reiner/sOlWHKGy-SY_0000057 794.9 802.8 
Rob_Reiner/sOlWHKGy-SY_0000058 808.0 813.7 
Rob_Reiner/sOlWHKGy-SY_0000059 815.8 822.0 
Rob_Reiner/sOlWHKGy-SY_0000060 832.6 855.1 
Rob_Reiner/sOlWHKGy-SY_0000061 856.7 861.7 
Rob_Reiner/sOlWHKGy-SY_0000062 862.1 867.1 
Rob_Reiner/sOlWHKGy-SY_0000063 887.8 896.4 
Rob_Reiner/sOlWHKGy-SY_0000064 904.3 909.4 
Rob_Reiner/sOlWHKGy-SY_0000065 910.7 921.3 
Rob_Reiner/sOlWHKGy-SY_0000066 921.5 930.5 
Rob_Reiner/sOlWHKGy-SY_0000067 932.1 936.0 
Rob_Reiner/sOlWHKGy-SY_0000068 942.6 947.6 
Rob_Reiner/sOlWHKGy-SY_0000069 974.6 982.2 
Rob_Reiner/sOlWHKGy-SY_0000070 985.9 990.0 
Rob_Reiner/sOlWHKGy-SY_0000071 1003.8 1008.8 
Rob_Reiner/sOlWHKGy-SY_0000072 1012.4 1021.2 
Rob_Reiner/sOlWHKGy-SY_0000073 1023.6 1029.9 
Rob_Reiner/sOlWHKGy-SY_0000074 1057.6 1065.8 
Rob_Reiner/sOlWHKGy-SY_0000075 1066.7 1074.7 
Rob_Reiner/sOlWHKGy-SY_0000076 1091.7 1097.1 
Rob_Reiner/sOlWHKGy-SY_0000077 1098.6 1108.5 
Rob_Reiner/sOlWHKGy-SY_0000078 1119.7 1123.6 
Rob_Reiner/sOlWHKGy-SY_0000079 1146.8 1152.6 
Rob_Reiner/sOlWHKGy-SY_0000080 1167.4 1172.0 
Rob_Reiner/sOlWHKGy-SY_0000081 1188.8 1195.4 
Rob_Reiner/sOlWHKGy-SY_0000082 1196.0 1200.9 
Rob_Reiner/sOlWHKGy-SY_0000083 1203.4 1208.9 
Rob_Reiner/sOlWHKGy-SY_0000084 1212.9 1217.0 
Rob_Reiner/sOlWHKGy-SY_0000085 1223.2 1228.8 
Rob_Reiner/sOlWHKGy-SY_0000086 1229.7 1234.4 
Rob_Reiner/sOlWHKGy-SY_0000087 1242.0 1247.9 
Rob_Reiner/sOlWHKGy-SY_0000088 1248.2 1262.9 
Rob_Reiner/sOlWHKGy-SY_0000089 1273.1 1277.2 
Rob_Reiner/sOlWHKGy-SY_0000090 1278.3 1282.8 
Rob_Reiner/sOlWHKGy-SY_0000091 1288.6 1296.1 
