POI: 			Rob_Reiner 
Youtube ID: 	w7DmOHDIMQ8 
Video length: 	1740.6 sec 
Set (V): 		dev 
 
Rob_Reiner/w7DmOHDIMQ8_0000001 12.1 17.1 
Rob_Reiner/w7DmOHDIMQ8_0000002 20.5 24.8 
Rob_Reiner/w7DmOHDIMQ8_0000003 25.9 31.2 
Rob_Reiner/w7DmOHDIMQ8_0000004 35.9 42.7 
Rob_Reiner/w7DmOHDIMQ8_0000005 46.0 50.5 
Rob_Reiner/w7DmOHDIMQ8_0000006 75.7 80.0 
Rob_Reiner/w7DmOHDIMQ8_0000007 83.7 88.8 
Rob_Reiner/w7DmOHDIMQ8_0000008 90.1 94.6 
Rob_Reiner/w7DmOHDIMQ8_0000009 113.8 121.6 
Rob_Reiner/w7DmOHDIMQ8_0000010 150.2 155.8 
Rob_Reiner/w7DmOHDIMQ8_0000011 157.4 162.2 
Rob_Reiner/w7DmOHDIMQ8_0000012 260.9 266.1 
Rob_Reiner/w7DmOHDIMQ8_0000013 264.8 269.6 
Rob_Reiner/w7DmOHDIMQ8_0000014 300.4 305.3 
Rob_Reiner/w7DmOHDIMQ8_0000015 309.4 321.7 
Rob_Reiner/w7DmOHDIMQ8_0000016 325.1 329.3 
Rob_Reiner/w7DmOHDIMQ8_0000017 337.5 343.5 
Rob_Reiner/w7DmOHDIMQ8_0000018 347.3 353.3 
Rob_Reiner/w7DmOHDIMQ8_0000019 353.8 360.4 
Rob_Reiner/w7DmOHDIMQ8_0000020 371.8 375.9 
Rob_Reiner/w7DmOHDIMQ8_0000021 389.6 395.8 
Rob_Reiner/w7DmOHDIMQ8_0000022 456.5 465.0 
Rob_Reiner/w7DmOHDIMQ8_0000023 477.0 483.7 
Rob_Reiner/w7DmOHDIMQ8_0000024 506.1 513.0 
Rob_Reiner/w7DmOHDIMQ8_0000025 648.1 652.6 
Rob_Reiner/w7DmOHDIMQ8_0000026 674.8 678.8 
Rob_Reiner/w7DmOHDIMQ8_0000027 679.1 685.5 
Rob_Reiner/w7DmOHDIMQ8_0000028 685.7 692.4 
Rob_Reiner/w7DmOHDIMQ8_0000029 696.8 702.7 
Rob_Reiner/w7DmOHDIMQ8_0000030 709.6 718.8 
Rob_Reiner/w7DmOHDIMQ8_0000031 720.1 724.5 
Rob_Reiner/w7DmOHDIMQ8_0000032 744.2 750.2 
Rob_Reiner/w7DmOHDIMQ8_0000033 751.2 756.0 
Rob_Reiner/w7DmOHDIMQ8_0000034 767.4 772.2 
Rob_Reiner/w7DmOHDIMQ8_0000035 773.8 782.9 
Rob_Reiner/w7DmOHDIMQ8_0000036 793.0 798.3 
Rob_Reiner/w7DmOHDIMQ8_0000037 799.0 808.6 
Rob_Reiner/w7DmOHDIMQ8_0000038 812.8 816.7 
Rob_Reiner/w7DmOHDIMQ8_0000039 819.4 827.8 
Rob_Reiner/w7DmOHDIMQ8_0000040 832.4 847.1 
Rob_Reiner/w7DmOHDIMQ8_0000041 850.0 854.4 
Rob_Reiner/w7DmOHDIMQ8_0000042 860.5 865.9 
Rob_Reiner/w7DmOHDIMQ8_0000043 867.6 884.8 
Rob_Reiner/w7DmOHDIMQ8_0000044 917.7 922.9 
Rob_Reiner/w7DmOHDIMQ8_0000045 926.5 930.8 
Rob_Reiner/w7DmOHDIMQ8_0000046 931.7 936.7 
Rob_Reiner/w7DmOHDIMQ8_0000047 946.6 951.5 
Rob_Reiner/w7DmOHDIMQ8_0000048 956.6 961.6 
Rob_Reiner/w7DmOHDIMQ8_0000049 964.9 969.5 
Rob_Reiner/w7DmOHDIMQ8_0000050 979.1 983.6 
Rob_Reiner/w7DmOHDIMQ8_0000051 1004.6 1009.5 
Rob_Reiner/w7DmOHDIMQ8_0000052 1016.2 1020.3 
Rob_Reiner/w7DmOHDIMQ8_0000053 1020.4 1025.1 
Rob_Reiner/w7DmOHDIMQ8_0000054 1026.2 1035.6 
Rob_Reiner/w7DmOHDIMQ8_0000055 1036.6 1040.8 
