POI: 			Rob_Reiner 
Youtube ID: 	eWvntayRfe8 
Video length: 	1709.8 sec 
Set (V): 		dev 
 
Rob_Reiner/eWvntayRfe8_0000001 02.3 06.9 
Rob_Reiner/eWvntayRfe8_0000002 26.2 40.8 
Rob_Reiner/eWvntayRfe8_0000003 43.4 47.6 
Rob_Reiner/eWvntayRfe8_0000004 56.2 61.7 
Rob_Reiner/eWvntayRfe8_0000005 63.2 68.7 
Rob_Reiner/eWvntayRfe8_0000006 92.2 97.4 
Rob_Reiner/eWvntayRfe8_0000007 100.2 104.8 
Rob_Reiner/eWvntayRfe8_0000008 113.3 119.7 
Rob_Reiner/eWvntayRfe8_0000009 124.9 136.4 
Rob_Reiner/eWvntayRfe8_0000010 158.7 167.7 
Rob_Reiner/eWvntayRfe8_0000011 177.8 182.7 
Rob_Reiner/eWvntayRfe8_0000012 189.7 196.1 
Rob_Reiner/eWvntayRfe8_0000013 206.8 211.3 
Rob_Reiner/eWvntayRfe8_0000014 227.5 231.8 
Rob_Reiner/eWvntayRfe8_0000015 232.8 242.9 
Rob_Reiner/eWvntayRfe8_0000016 252.8 257.5 
Rob_Reiner/eWvntayRfe8_0000017 265.5 270.8 
Rob_Reiner/eWvntayRfe8_0000018 275.2 279.5 
Rob_Reiner/eWvntayRfe8_0000019 280.2 300.2 
Rob_Reiner/eWvntayRfe8_0000020 293.0 300.3 
Rob_Reiner/eWvntayRfe8_0000021 303.7 311.2 
Rob_Reiner/eWvntayRfe8_0000022 332.4 336.7 
Rob_Reiner/eWvntayRfe8_0000023 341.4 348.8 
Rob_Reiner/eWvntayRfe8_0000024 368.6 373.1 
Rob_Reiner/eWvntayRfe8_0000025 405.5 411.5 
Rob_Reiner/eWvntayRfe8_0000026 412.3 418.2 
Rob_Reiner/eWvntayRfe8_0000027 419.5 427.5 
Rob_Reiner/eWvntayRfe8_0000028 444.8 450.3 
Rob_Reiner/eWvntayRfe8_0000029 457.6 462.4 
Rob_Reiner/eWvntayRfe8_0000030 469.4 473.4 
Rob_Reiner/eWvntayRfe8_0000031 473.6 477.6 
Rob_Reiner/eWvntayRfe8_0000032 484.6 491.8 
Rob_Reiner/eWvntayRfe8_0000033 505.5 510.2 
Rob_Reiner/eWvntayRfe8_0000034 549.0 553.1 
Rob_Reiner/eWvntayRfe8_0000035 586.9 591.0 
Rob_Reiner/eWvntayRfe8_0000036 598.8 603.8 
Rob_Reiner/eWvntayRfe8_0000037 615.2 624.7 
Rob_Reiner/eWvntayRfe8_0000038 628.8 636.6 
Rob_Reiner/eWvntayRfe8_0000039 644.0 655.1 
Rob_Reiner/eWvntayRfe8_0000040 662.1 667.0 
Rob_Reiner/eWvntayRfe8_0000041 691.8 700.4 
Rob_Reiner/eWvntayRfe8_0000042 724.4 728.4 
Rob_Reiner/eWvntayRfe8_0000043 729.1 742.6 
Rob_Reiner/eWvntayRfe8_0000044 749.6 758.8 
Rob_Reiner/eWvntayRfe8_0000045 773.2 786.4 
Rob_Reiner/eWvntayRfe8_0000046 797.8 803.6 
Rob_Reiner/eWvntayRfe8_0000047 804.4 815.1 
Rob_Reiner/eWvntayRfe8_0000048 816.2 825.6 
Rob_Reiner/eWvntayRfe8_0000049 826.6 831.1 
Rob_Reiner/eWvntayRfe8_0000050 837.3 842.1 
Rob_Reiner/eWvntayRfe8_0000051 847.0 869.8 
Rob_Reiner/eWvntayRfe8_0000052 882.6 887.2 
Rob_Reiner/eWvntayRfe8_0000053 914.4 918.6 
Rob_Reiner/eWvntayRfe8_0000054 967.4 972.1 
Rob_Reiner/eWvntayRfe8_0000055 976.6 985.2 
Rob_Reiner/eWvntayRfe8_0000056 986.3 990.6 
Rob_Reiner/eWvntayRfe8_0000057 998.0 1003.2 
Rob_Reiner/eWvntayRfe8_0000058 1011.4 1022.4 
Rob_Reiner/eWvntayRfe8_0000059 1031.8 1037.4 
Rob_Reiner/eWvntayRfe8_0000060 1043.7 1048.3 
Rob_Reiner/eWvntayRfe8_0000061 1146.2 1151.0 
Rob_Reiner/eWvntayRfe8_0000062 1153.9 1161.3 
Rob_Reiner/eWvntayRfe8_0000063 1179.8 1184.8 
Rob_Reiner/eWvntayRfe8_0000064 1188.2 1197.6 
Rob_Reiner/eWvntayRfe8_0000065 1207.0 1211.0 
Rob_Reiner/eWvntayRfe8_0000066 1262.0 1266.7 
Rob_Reiner/eWvntayRfe8_0000067 1274.8 1279.2 
Rob_Reiner/eWvntayRfe8_0000068 1291.5 1296.2 
Rob_Reiner/eWvntayRfe8_0000069 1309.0 1314.1 
Rob_Reiner/eWvntayRfe8_0000070 1314.8 1319.3 
Rob_Reiner/eWvntayRfe8_0000071 1323.2 1327.2 
Rob_Reiner/eWvntayRfe8_0000072 1339.9 1346.3 
Rob_Reiner/eWvntayRfe8_0000073 1355.2 1359.4 
Rob_Reiner/eWvntayRfe8_0000074 1360.0 1366.7 
Rob_Reiner/eWvntayRfe8_0000075 1377.7 1384.4 
Rob_Reiner/eWvntayRfe8_0000076 1451.9 1457.4 
Rob_Reiner/eWvntayRfe8_0000077 1498.5 1503.4 
Rob_Reiner/eWvntayRfe8_0000078 1519.6 1524.2 
Rob_Reiner/eWvntayRfe8_0000079 1527.2 1537.0 
Rob_Reiner/eWvntayRfe8_0000080 1537.7 1543.2 
Rob_Reiner/eWvntayRfe8_0000081 1543.2 1551.5 
Rob_Reiner/eWvntayRfe8_0000082 1561.5 1567.3 
Rob_Reiner/eWvntayRfe8_0000083 1593.6 1604.2 
Rob_Reiner/eWvntayRfe8_0000084 1613.8 1622.8 
Rob_Reiner/eWvntayRfe8_0000085 1624.7 1630.8 
Rob_Reiner/eWvntayRfe8_0000086 1632.9 1637.8 
Rob_Reiner/eWvntayRfe8_0000087 1645.9 1652.5 
Rob_Reiner/eWvntayRfe8_0000088 1683.7 1690.0 
Rob_Reiner/eWvntayRfe8_0000089 1693.5 1700.5 
