POI: 			Rob_Reiner 
Youtube ID: 	lFEBeMFuL_M 
Video length: 	1721.5 sec 
Set (V): 		dev 
 
Rob_Reiner/lFEBeMFuL_M_0000001 11.0 15.2 
Rob_Reiner/lFEBeMFuL_M_0000002 18.4 23.9 
Rob_Reiner/lFEBeMFuL_M_0000003 55.2 65.1 
Rob_Reiner/lFEBeMFuL_M_0000004 67.6 79.5 
Rob_Reiner/lFEBeMFuL_M_0000005 89.9 95.9 
Rob_Reiner/lFEBeMFuL_M_0000006 96.4 104.5 
Rob_Reiner/lFEBeMFuL_M_0000007 111.6 119.2 
Rob_Reiner/lFEBeMFuL_M_0000008 131.4 141.6 
Rob_Reiner/lFEBeMFuL_M_0000009 145.7 151.1 
Rob_Reiner/lFEBeMFuL_M_0000010 151.2 163.4 
Rob_Reiner/lFEBeMFuL_M_0000011 183.9 190.9 
Rob_Reiner/lFEBeMFuL_M_0000012 204.6 210.0 
Rob_Reiner/lFEBeMFuL_M_0000013 210.0 227.2 
Rob_Reiner/lFEBeMFuL_M_0000014 232.3 245.2 
Rob_Reiner/lFEBeMFuL_M_0000015 251.3 262.9 
Rob_Reiner/lFEBeMFuL_M_0000016 269.8 278.3 
Rob_Reiner/lFEBeMFuL_M_0000017 283.9 289.4 
Rob_Reiner/lFEBeMFuL_M_0000018 289.9 294.0 
Rob_Reiner/lFEBeMFuL_M_0000019 294.3 303.8 
Rob_Reiner/lFEBeMFuL_M_0000020 305.2 309.9 
Rob_Reiner/lFEBeMFuL_M_0000021 311.4 316.8 
Rob_Reiner/lFEBeMFuL_M_0000022 322.6 336.1 
Rob_Reiner/lFEBeMFuL_M_0000023 340.6 348.3 
Rob_Reiner/lFEBeMFuL_M_0000024 349.0 367.7 
Rob_Reiner/lFEBeMFuL_M_0000025 371.2 383.8 
Rob_Reiner/lFEBeMFuL_M_0000026 413.7 420.5 
Rob_Reiner/lFEBeMFuL_M_0000027 423.4 427.4 
Rob_Reiner/lFEBeMFuL_M_0000028 450.9 455.4 
Rob_Reiner/lFEBeMFuL_M_0000029 469.9 476.7 
Rob_Reiner/lFEBeMFuL_M_0000030 477.6 481.8 
Rob_Reiner/lFEBeMFuL_M_0000031 488.2 495.8 
Rob_Reiner/lFEBeMFuL_M_0000032 496.6 507.7 
Rob_Reiner/lFEBeMFuL_M_0000033 511.5 521.4 
Rob_Reiner/lFEBeMFuL_M_0000034 522.4 529.1 
Rob_Reiner/lFEBeMFuL_M_0000035 406.2 411.9 
Rob_Reiner/lFEBeMFuL_M_0000036 413.5 420.4 
Rob_Reiner/lFEBeMFuL_M_0000037 423.6 430.7 
Rob_Reiner/lFEBeMFuL_M_0000038 533.2 539.0 
Rob_Reiner/lFEBeMFuL_M_0000039 543.1 551.2 
Rob_Reiner/lFEBeMFuL_M_0000040 551.6 557.2 
Rob_Reiner/lFEBeMFuL_M_0000041 563.0 573.0 
Rob_Reiner/lFEBeMFuL_M_0000042 577.9 589.5 
Rob_Reiner/lFEBeMFuL_M_0000043 589.9 603.2 
Rob_Reiner/lFEBeMFuL_M_0000044 606.5 618.0 
Rob_Reiner/lFEBeMFuL_M_0000045 619.0 625.0 
Rob_Reiner/lFEBeMFuL_M_0000046 627.7 643.0 
Rob_Reiner/lFEBeMFuL_M_0000047 646.3 651.5 
Rob_Reiner/lFEBeMFuL_M_0000048 659.3 668.1 
Rob_Reiner/lFEBeMFuL_M_0000049 663.8 672.1 
Rob_Reiner/lFEBeMFuL_M_0000050 685.5 701.4 
Rob_Reiner/lFEBeMFuL_M_0000051 705.1 720.7 
Rob_Reiner/lFEBeMFuL_M_0000052 723.5 733.8 
Rob_Reiner/lFEBeMFuL_M_0000053 734.5 740.6 
Rob_Reiner/lFEBeMFuL_M_0000054 741.3 745.8 
Rob_Reiner/lFEBeMFuL_M_0000055 750.8 770.4 
Rob_Reiner/lFEBeMFuL_M_0000056 771.2 783.3 
Rob_Reiner/lFEBeMFuL_M_0000057 787.9 792.2 
Rob_Reiner/lFEBeMFuL_M_0000058 801.6 807.6 
Rob_Reiner/lFEBeMFuL_M_0000059 814.9 825.7 
Rob_Reiner/lFEBeMFuL_M_0000060 825.8 839.4 
Rob_Reiner/lFEBeMFuL_M_0000061 845.0 850.8 
Rob_Reiner/lFEBeMFuL_M_0000062 859.9 866.2 
Rob_Reiner/lFEBeMFuL_M_0000063 872.6 877.6 
Rob_Reiner/lFEBeMFuL_M_0000064 884.8 891.3 
Rob_Reiner/lFEBeMFuL_M_0000065 896.2 903.1 
Rob_Reiner/lFEBeMFuL_M_0000066 904.5 910.4 
Rob_Reiner/lFEBeMFuL_M_0000067 935.9 959.9 
Rob_Reiner/lFEBeMFuL_M_0000068 961.2 968.8 
Rob_Reiner/lFEBeMFuL_M_0000069 950.2 959.8 
Rob_Reiner/lFEBeMFuL_M_0000070 961.7 972.6 
Rob_Reiner/lFEBeMFuL_M_0000071 973.4 978.1 
Rob_Reiner/lFEBeMFuL_M_0000072 983.8 989.1 
Rob_Reiner/lFEBeMFuL_M_0000073 989.2 1004.8 
Rob_Reiner/lFEBeMFuL_M_0000074 995.6 1001.6 
Rob_Reiner/lFEBeMFuL_M_0000075 1016.8 1023.1 
Rob_Reiner/lFEBeMFuL_M_0000076 1023.3 1027.6 
Rob_Reiner/lFEBeMFuL_M_0000077 1036.0 1063.2 
Rob_Reiner/lFEBeMFuL_M_0000078 1073.8 1078.8 
Rob_Reiner/lFEBeMFuL_M_0000079 1082.0 1088.4 
Rob_Reiner/lFEBeMFuL_M_0000080 1103.4 1127.0 
Rob_Reiner/lFEBeMFuL_M_0000081 1129.5 1139.8 
Rob_Reiner/lFEBeMFuL_M_0000082 1145.7 1152.2 
Rob_Reiner/lFEBeMFuL_M_0000083 1152.6 1161.2 
Rob_Reiner/lFEBeMFuL_M_0000084 1162.2 1172.8 
Rob_Reiner/lFEBeMFuL_M_0000085 1180.3 1193.8 
Rob_Reiner/lFEBeMFuL_M_0000086 1194.4 1204.0 
