POI: 			Rob_Reiner 
Youtube ID: 	6SBGrr4iFp0 
Video length: 	825.7 sec 
Set (V): 		dev 
 
Rob_Reiner/6SBGrr4iFp0_0000001 15.7 21.3 
Rob_Reiner/6SBGrr4iFp0_0000002 75.4 85.0 
Rob_Reiner/6SBGrr4iFp0_0000003 93.2 99.2 
Rob_Reiner/6SBGrr4iFp0_0000004 114.6 120.5 
Rob_Reiner/6SBGrr4iFp0_0000005 128.6 138.7 
Rob_Reiner/6SBGrr4iFp0_0000006 155.1 160.8 
Rob_Reiner/6SBGrr4iFp0_0000007 165.5 175.9 
Rob_Reiner/6SBGrr4iFp0_0000008 176.7 186.2 
Rob_Reiner/6SBGrr4iFp0_0000009 217.0 221.2 
Rob_Reiner/6SBGrr4iFp0_0000010 230.0 236.2 
Rob_Reiner/6SBGrr4iFp0_0000011 236.3 244.8 
Rob_Reiner/6SBGrr4iFp0_0000012 245.8 250.4 
Rob_Reiner/6SBGrr4iFp0_0000013 264.2 275.4 
Rob_Reiner/6SBGrr4iFp0_0000014 278.4 283.4 
Rob_Reiner/6SBGrr4iFp0_0000015 289.4 294.4 
Rob_Reiner/6SBGrr4iFp0_0000016 295.4 300.9 
Rob_Reiner/6SBGrr4iFp0_0000017 301.8 312.6 
Rob_Reiner/6SBGrr4iFp0_0000018 341.2 345.8 
Rob_Reiner/6SBGrr4iFp0_0000019 351.0 356.6 
Rob_Reiner/6SBGrr4iFp0_0000020 368.8 374.0 
Rob_Reiner/6SBGrr4iFp0_0000021 374.1 380.3 
Rob_Reiner/6SBGrr4iFp0_0000022 389.9 395.4 
Rob_Reiner/6SBGrr4iFp0_0000023 398.1 409.5 
Rob_Reiner/6SBGrr4iFp0_0000024 410.7 417.7 
Rob_Reiner/6SBGrr4iFp0_0000025 424.5 439.3 
Rob_Reiner/6SBGrr4iFp0_0000026 445.0 463.0 
Rob_Reiner/6SBGrr4iFp0_0000027 467.6 473.2 
Rob_Reiner/6SBGrr4iFp0_0000028 475.1 479.7 
Rob_Reiner/6SBGrr4iFp0_0000029 490.2 497.6 
Rob_Reiner/6SBGrr4iFp0_0000030 501.2 505.3 
Rob_Reiner/6SBGrr4iFp0_0000031 508.1 512.6 
Rob_Reiner/6SBGrr4iFp0_0000032 515.4 519.9 
Rob_Reiner/6SBGrr4iFp0_0000033 531.6 536.7 
Rob_Reiner/6SBGrr4iFp0_0000034 537.0 545.2 
Rob_Reiner/6SBGrr4iFp0_0000035 556.8 563.5 
Rob_Reiner/6SBGrr4iFp0_0000036 568.3 574.0 
Rob_Reiner/6SBGrr4iFp0_0000037 581.4 591.8 
Rob_Reiner/6SBGrr4iFp0_0000038 600.6 605.7 
Rob_Reiner/6SBGrr4iFp0_0000039 625.2 630.8 
Rob_Reiner/6SBGrr4iFp0_0000040 640.8 645.9 
Rob_Reiner/6SBGrr4iFp0_0000041 676.7 684.6 
Rob_Reiner/6SBGrr4iFp0_0000042 691.0 696.5 
Rob_Reiner/6SBGrr4iFp0_0000043 699.4 703.6 
Rob_Reiner/6SBGrr4iFp0_0000044 718.2 723.6 
Rob_Reiner/6SBGrr4iFp0_0000045 724.1 729.1 
Rob_Reiner/6SBGrr4iFp0_0000046 738.5 743.7 
Rob_Reiner/6SBGrr4iFp0_0000047 754.2 765.0 
Rob_Reiner/6SBGrr4iFp0_0000048 770.2 775.7 
Rob_Reiner/6SBGrr4iFp0_0000049 780.3 789.0 
Rob_Reiner/6SBGrr4iFp0_0000050 798.2 803.2 
