POI: 			Rob_Reiner 
Youtube ID: 	xFTIClN5z70 
Video length: 	1730.8 sec 
Set (V): 		dev 
 
Rob_Reiner/xFTIClN5z70_0000001 07.7 14.8 
Rob_Reiner/xFTIClN5z70_0000002 84.0 88.5 
Rob_Reiner/xFTIClN5z70_0000003 89.7 100.0 
Rob_Reiner/xFTIClN5z70_0000004 102.7 107.7 
Rob_Reiner/xFTIClN5z70_0000005 133.6 142.3 
Rob_Reiner/xFTIClN5z70_0000006 142.9 154.0 
Rob_Reiner/xFTIClN5z70_0000007 155.6 165.8 
Rob_Reiner/xFTIClN5z70_0000008 168.7 173.7 
Rob_Reiner/xFTIClN5z70_0000009 207.2 215.9 
Rob_Reiner/xFTIClN5z70_0000010 219.6 226.4 
Rob_Reiner/xFTIClN5z70_0000011 227.4 231.4 
Rob_Reiner/xFTIClN5z70_0000012 236.9 247.4 
Rob_Reiner/xFTIClN5z70_0000013 252.6 263.2 
Rob_Reiner/xFTIClN5z70_0000014 269.3 275.3 
Rob_Reiner/xFTIClN5z70_0000015 286.8 294.2 
Rob_Reiner/xFTIClN5z70_0000016 307.8 313.3 
Rob_Reiner/xFTIClN5z70_0000017 318.5 326.8 
Rob_Reiner/xFTIClN5z70_0000018 326.9 334.4 
Rob_Reiner/xFTIClN5z70_0000019 352.5 360.4 
Rob_Reiner/xFTIClN5z70_0000020 367.0 376.8 
Rob_Reiner/xFTIClN5z70_0000021 378.2 383.0 
Rob_Reiner/xFTIClN5z70_0000022 392.3 397.1 
Rob_Reiner/xFTIClN5z70_0000023 398.4 403.3 
Rob_Reiner/xFTIClN5z70_0000024 404.2 408.4 
Rob_Reiner/xFTIClN5z70_0000025 417.0 434.1 
Rob_Reiner/xFTIClN5z70_0000026 458.7 465.8 
Rob_Reiner/xFTIClN5z70_0000027 469.4 478.2 
Rob_Reiner/xFTIClN5z70_0000028 496.3 503.1 
Rob_Reiner/xFTIClN5z70_0000029 512.8 516.7 
Rob_Reiner/xFTIClN5z70_0000030 522.4 534.8 
Rob_Reiner/xFTIClN5z70_0000031 536.4 548.0 
Rob_Reiner/xFTIClN5z70_0000032 564.1 571.8 
Rob_Reiner/xFTIClN5z70_0000033 572.3 578.3 
Rob_Reiner/xFTIClN5z70_0000034 579.2 584.6 
Rob_Reiner/xFTIClN5z70_0000035 592.5 599.0 
Rob_Reiner/xFTIClN5z70_0000036 599.7 605.0 
Rob_Reiner/xFTIClN5z70_0000037 615.1 619.4 
Rob_Reiner/xFTIClN5z70_0000038 622.4 628.6 
Rob_Reiner/xFTIClN5z70_0000039 629.2 642.6 
Rob_Reiner/xFTIClN5z70_0000040 643.4 647.4 
Rob_Reiner/xFTIClN5z70_0000041 652.0 666.1 
Rob_Reiner/xFTIClN5z70_0000042 666.8 675.4 
Rob_Reiner/xFTIClN5z70_0000043 685.3 692.5 
Rob_Reiner/xFTIClN5z70_0000044 693.2 728.1 
Rob_Reiner/xFTIClN5z70_0000045 737.5 751.0 
Rob_Reiner/xFTIClN5z70_0000046 752.4 765.8 
Rob_Reiner/xFTIClN5z70_0000047 768.4 776.6 
Rob_Reiner/xFTIClN5z70_0000048 777.6 787.2 
Rob_Reiner/xFTIClN5z70_0000049 796.6 805.6 
Rob_Reiner/xFTIClN5z70_0000050 808.8 829.3 
Rob_Reiner/xFTIClN5z70_0000051 830.8 838.8 
Rob_Reiner/xFTIClN5z70_0000052 839.9 847.3 
Rob_Reiner/xFTIClN5z70_0000053 849.2 857.0 
