POI: 			Abigail_Breslin 
Youtube ID: 	CzQPAaPrC-E 
Video length: 	708.0 sec 
Set (V): 		dev 
 
Abigail_Breslin/CzQPAaPrC-E_0000001 77.6 81.9 
Abigail_Breslin/CzQPAaPrC-E_0000002 82.9 88.3 
Abigail_Breslin/CzQPAaPrC-E_0000003 103.4 125.9 
Abigail_Breslin/CzQPAaPrC-E_0000004 157.6 165.6 
Abigail_Breslin/CzQPAaPrC-E_0000005 166.0 176.0 
Abigail_Breslin/CzQPAaPrC-E_0000006 195.1 201.8 
Abigail_Breslin/CzQPAaPrC-E_0000007 203.7 211.4 
Abigail_Breslin/CzQPAaPrC-E_0000008 212.1 220.1 
Abigail_Breslin/CzQPAaPrC-E_0000009 220.8 242.5 
Abigail_Breslin/CzQPAaPrC-E_0000010 249.4 276.6 
Abigail_Breslin/CzQPAaPrC-E_0000011 307.3 316.1 
Abigail_Breslin/CzQPAaPrC-E_0000012 316.7 327.7 
Abigail_Breslin/CzQPAaPrC-E_0000013 339.4 348.3 
Abigail_Breslin/CzQPAaPrC-E_0000014 387.2 399.3 
Abigail_Breslin/CzQPAaPrC-E_0000015 406.0 412.2 
Abigail_Breslin/CzQPAaPrC-E_0000016 449.8 458.6 
Abigail_Breslin/CzQPAaPrC-E_0000017 459.7 467.8 
Abigail_Breslin/CzQPAaPrC-E_0000018 480.1 488.5 
Abigail_Breslin/CzQPAaPrC-E_0000019 506.4 518.6 
Abigail_Breslin/CzQPAaPrC-E_0000020 518.7 527.9 
Abigail_Breslin/CzQPAaPrC-E_0000021 528.2 532.5 
Abigail_Breslin/CzQPAaPrC-E_0000022 533.6 540.8 
Abigail_Breslin/CzQPAaPrC-E_0000023 544.7 548.8 
Abigail_Breslin/CzQPAaPrC-E_0000024 580.4 587.4 
Abigail_Breslin/CzQPAaPrC-E_0000025 589.2 598.6 
Abigail_Breslin/CzQPAaPrC-E_0000026 599.4 603.4 
Abigail_Breslin/CzQPAaPrC-E_0000027 621.3 631.6 
Abigail_Breslin/CzQPAaPrC-E_0000028 650.2 661.0 
Abigail_Breslin/CzQPAaPrC-E_0000029 669.1 678.4 
