POI: 			Christopher_Mintz-Plasse 
Youtube ID: 	5nUwVGiD2JY 
Video length: 	321.0 sec 
Set (V): 		dev 
 
Christopher_Mintz-Plasse/5nUwVGiD2JY_0000001 13.7 18.6 
Christopher_Mintz-Plasse/5nUwVGiD2JY_0000002 34.9 42.2 
Christopher_Mintz-Plasse/5nUwVGiD2JY_0000003 55.9 62.5 
Christopher_Mintz-Plasse/5nUwVGiD2JY_0000004 62.8 70.8 
Christopher_Mintz-Plasse/5nUwVGiD2JY_0000005 85.6 89.7 
Christopher_Mintz-Plasse/5nUwVGiD2JY_0000006 104.8 109.9 
Christopher_Mintz-Plasse/5nUwVGiD2JY_0000007 125.9 132.1 
Christopher_Mintz-Plasse/5nUwVGiD2JY_0000008 161.3 168.7 
Christopher_Mintz-Plasse/5nUwVGiD2JY_0000009 183.8 188.4 
Christopher_Mintz-Plasse/5nUwVGiD2JY_0000010 207.2 214.6 
Christopher_Mintz-Plasse/5nUwVGiD2JY_0000011 223.8 230.4 
Christopher_Mintz-Plasse/5nUwVGiD2JY_0000012 241.9 246.0 
Christopher_Mintz-Plasse/5nUwVGiD2JY_0000013 247.8 254.6 
Christopher_Mintz-Plasse/5nUwVGiD2JY_0000014 270.4 274.6 
Christopher_Mintz-Plasse/5nUwVGiD2JY_0000015 275.5 279.7 
Christopher_Mintz-Plasse/5nUwVGiD2JY_0000016 290.4 296.8 
Christopher_Mintz-Plasse/5nUwVGiD2JY_0000017 305.4 310.7 
