POI: 			Rainn_Wilson 
Youtube ID: 	tfa1q-630gs 
Video length: 	312.4 sec 
Set (V): 		dev 
 
Rainn_Wilson/tfa1q-630gs_0000001 01.4 07.8 
Rainn_Wilson/tfa1q-630gs_0000002 07.9 12.1 
Rainn_Wilson/tfa1q-630gs_0000003 14.2 22.5 
Rainn_Wilson/tfa1q-630gs_0000004 28.1 34.0 
Rainn_Wilson/tfa1q-630gs_0000005 64.1 68.7 
Rainn_Wilson/tfa1q-630gs_0000006 69.7 76.0 
Rainn_Wilson/tfa1q-630gs_0000007 98.4 102.6 
Rainn_Wilson/tfa1q-630gs_0000008 128.4 134.9 
Rainn_Wilson/tfa1q-630gs_0000009 139.6 143.7 
Rainn_Wilson/tfa1q-630gs_0000010 165.2 170.8 
Rainn_Wilson/tfa1q-630gs_0000011 179.2 193.4 
Rainn_Wilson/tfa1q-630gs_0000012 222.2 227.7 
Rainn_Wilson/tfa1q-630gs_0000013 231.1 235.8 
Rainn_Wilson/tfa1q-630gs_0000014 247.7 263.5 
Rainn_Wilson/tfa1q-630gs_0000015 268.8 273.3 
Rainn_Wilson/tfa1q-630gs_0000016 281.4 289.8 
Rainn_Wilson/tfa1q-630gs_0000017 290.9 297.0 
Rainn_Wilson/tfa1q-630gs_0000018 300.6 310.7 
