POI: 			Danielle_Panabaker 
Youtube ID: 	sXapU-vWaNE 
Video length: 	1821.0 sec 
Set (V): 		dev 
 
Danielle_Panabaker/sXapU-vWaNE_0000001 84.4 97.4 
Danielle_Panabaker/sXapU-vWaNE_0000002 161.8 176.3 
Danielle_Panabaker/sXapU-vWaNE_0000003 180.0 186.6 
Danielle_Panabaker/sXapU-vWaNE_0000004 252.4 257.7 
Danielle_Panabaker/sXapU-vWaNE_0000005 324.6 331.8 
Danielle_Panabaker/sXapU-vWaNE_0000006 359.8 377.4 
Danielle_Panabaker/sXapU-vWaNE_0000007 423.0 427.0 
Danielle_Panabaker/sXapU-vWaNE_0000008 503.8 516.0 
Danielle_Panabaker/sXapU-vWaNE_0000009 528.3 534.9 
Danielle_Panabaker/sXapU-vWaNE_0000010 567.4 583.5 
Danielle_Panabaker/sXapU-vWaNE_0000011 605.0 616.0 
Danielle_Panabaker/sXapU-vWaNE_0000012 616.5 628.3 
Danielle_Panabaker/sXapU-vWaNE_0000013 628.4 632.6 
Danielle_Panabaker/sXapU-vWaNE_0000014 634.4 642.3 
Danielle_Panabaker/sXapU-vWaNE_0000015 656.0 661.0 
Danielle_Panabaker/sXapU-vWaNE_0000016 666.8 673.0 
Danielle_Panabaker/sXapU-vWaNE_0000017 753.6 762.5 
Danielle_Panabaker/sXapU-vWaNE_0000018 805.8 817.4 
Danielle_Panabaker/sXapU-vWaNE_0000019 936.4 952.3 
Danielle_Panabaker/sXapU-vWaNE_0000020 952.6 957.4 
Danielle_Panabaker/sXapU-vWaNE_0000021 957.7 962.2 
Danielle_Panabaker/sXapU-vWaNE_0000022 965.7 971.8 
Danielle_Panabaker/sXapU-vWaNE_0000023 1012.0 1016.5 
Danielle_Panabaker/sXapU-vWaNE_0000024 1054.7 1060.6 
Danielle_Panabaker/sXapU-vWaNE_0000025 1122.7 1127.4 
Danielle_Panabaker/sXapU-vWaNE_0000026 1130.4 1135.8 
Danielle_Panabaker/sXapU-vWaNE_0000027 1191.8 1208.5 
Danielle_Panabaker/sXapU-vWaNE_0000028 1215.1 1222.9 
Danielle_Panabaker/sXapU-vWaNE_0000029 1226.1 1234.8 
Danielle_Panabaker/sXapU-vWaNE_0000030 1235.0 1239.8 
Danielle_Panabaker/sXapU-vWaNE_0000031 1255.4 1259.4 
Danielle_Panabaker/sXapU-vWaNE_0000032 1284.9 1295.3 
Danielle_Panabaker/sXapU-vWaNE_0000033 1332.7 1336.9 
Danielle_Panabaker/sXapU-vWaNE_0000034 1349.9 1354.3 
Danielle_Panabaker/sXapU-vWaNE_0000035 1397.3 1408.0 
Danielle_Panabaker/sXapU-vWaNE_0000036 1408.6 1415.0 
Danielle_Panabaker/sXapU-vWaNE_0000037 1452.8 1465.0 
Danielle_Panabaker/sXapU-vWaNE_0000038 1490.9 1498.3 
Danielle_Panabaker/sXapU-vWaNE_0000039 1516.0 1541.8 
Danielle_Panabaker/sXapU-vWaNE_0000040 1597.0 1602.0 
Danielle_Panabaker/sXapU-vWaNE_0000041 1604.6 1611.3 
Danielle_Panabaker/sXapU-vWaNE_0000042 1636.7 1643.6 
Danielle_Panabaker/sXapU-vWaNE_0000043 1721.4 1735.3 
Danielle_Panabaker/sXapU-vWaNE_0000044 1753.8 1759.3 
