POI: 			Janeane_Garofalo 
Youtube ID: 	3JCakTroF88 
Video length: 	541.1 sec 
Set (V): 		dev 
 
Janeane_Garofalo/3JCakTroF88_0000001 20.1 25.8 
Janeane_Garofalo/3JCakTroF88_0000002 26.1 40.6 
Janeane_Garofalo/3JCakTroF88_0000003 67.4 75.8 
Janeane_Garofalo/3JCakTroF88_0000004 106.3 110.7 
Janeane_Garofalo/3JCakTroF88_0000005 111.6 123.0 
Janeane_Garofalo/3JCakTroF88_0000006 127.6 162.3 
Janeane_Garofalo/3JCakTroF88_0000007 162.9 174.4 
Janeane_Garofalo/3JCakTroF88_0000008 188.4 192.6 
Janeane_Garofalo/3JCakTroF88_0000009 203.9 208.0 
Janeane_Garofalo/3JCakTroF88_0000010 219.2 224.0 
Janeane_Garofalo/3JCakTroF88_0000011 228.2 232.7 
Janeane_Garofalo/3JCakTroF88_0000012 261.3 266.3 
Janeane_Garofalo/3JCakTroF88_0000013 306.5 316.4 
Janeane_Garofalo/3JCakTroF88_0000014 327.4 333.9 
Janeane_Garofalo/3JCakTroF88_0000015 358.0 363.5 
Janeane_Garofalo/3JCakTroF88_0000016 403.2 407.6 
Janeane_Garofalo/3JCakTroF88_0000017 419.4 427.1 
Janeane_Garofalo/3JCakTroF88_0000018 440.9 446.3 
