POI: 			Janeane_Garofalo 
Youtube ID: 	euCFWBbLTAs 
Video length: 	1621.7 sec 
Set (V): 		dev 
 
Janeane_Garofalo/euCFWBbLTAs_0000001 82.8 86.9 
Janeane_Garofalo/euCFWBbLTAs_0000002 104.4 109.2 
Janeane_Garofalo/euCFWBbLTAs_0000003 194.5 199.7 
Janeane_Garofalo/euCFWBbLTAs_0000004 271.2 279.4 
Janeane_Garofalo/euCFWBbLTAs_0000005 288.9 293.7 
Janeane_Garofalo/euCFWBbLTAs_0000006 294.3 308.1 
Janeane_Garofalo/euCFWBbLTAs_0000007 309.2 314.5 
Janeane_Garofalo/euCFWBbLTAs_0000008 325.6 333.4 
Janeane_Garofalo/euCFWBbLTAs_0000009 396.7 406.7 
Janeane_Garofalo/euCFWBbLTAs_0000010 422.1 438.9 
Janeane_Garofalo/euCFWBbLTAs_0000011 447.9 465.3 
Janeane_Garofalo/euCFWBbLTAs_0000012 529.1 539.9 
Janeane_Garofalo/euCFWBbLTAs_0000013 542.2 557.9 
Janeane_Garofalo/euCFWBbLTAs_0000014 586.4 592.1 
Janeane_Garofalo/euCFWBbLTAs_0000015 620.0 627.5 
Janeane_Garofalo/euCFWBbLTAs_0000016 684.6 689.9 
Janeane_Garofalo/euCFWBbLTAs_0000017 720.6 727.4 
Janeane_Garofalo/euCFWBbLTAs_0000018 727.6 733.6 
Janeane_Garofalo/euCFWBbLTAs_0000019 758.4 767.6 
Janeane_Garofalo/euCFWBbLTAs_0000020 768.9 776.4 
Janeane_Garofalo/euCFWBbLTAs_0000021 781.0 789.3 
Janeane_Garofalo/euCFWBbLTAs_0000022 812.4 817.3 
Janeane_Garofalo/euCFWBbLTAs_0000023 865.5 880.1 
Janeane_Garofalo/euCFWBbLTAs_0000024 882.1 889.4 
Janeane_Garofalo/euCFWBbLTAs_0000025 893.9 910.7 
Janeane_Garofalo/euCFWBbLTAs_0000026 992.7 1000.6 
Janeane_Garofalo/euCFWBbLTAs_0000027 1000.6 1005.6 
Janeane_Garofalo/euCFWBbLTAs_0000028 1023.4 1034.0 
Janeane_Garofalo/euCFWBbLTAs_0000029 1040.5 1045.4 
Janeane_Garofalo/euCFWBbLTAs_0000030 1095.8 1108.2 
Janeane_Garofalo/euCFWBbLTAs_0000031 1108.5 1112.7 
Janeane_Garofalo/euCFWBbLTAs_0000032 1254.0 1277.6 
Janeane_Garofalo/euCFWBbLTAs_0000033 1278.4 1290.7 
Janeane_Garofalo/euCFWBbLTAs_0000034 1291.7 1302.1 
Janeane_Garofalo/euCFWBbLTAs_0000035 1395.0 1404.3 
Janeane_Garofalo/euCFWBbLTAs_0000036 1404.5 1417.8 
Janeane_Garofalo/euCFWBbLTAs_0000037 1419.0 1440.6 
Janeane_Garofalo/euCFWBbLTAs_0000038 1441.2 1446.3 
Janeane_Garofalo/euCFWBbLTAs_0000039 1454.3 1460.0 
Janeane_Garofalo/euCFWBbLTAs_0000040 1467.0 1487.1 
Janeane_Garofalo/euCFWBbLTAs_0000041 1548.4 1552.4 
