POI: 			Katherine_Jenkins 
Youtube ID: 	cHbO-tXjg4Y 
Video length: 	467.5 sec 
Set (V): 		dev 
 
Katherine_Jenkins/cHbO-tXjg4Y_0000001 20.6 25.7 
Katherine_Jenkins/cHbO-tXjg4Y_0000002 140.3 148.6 
Katherine_Jenkins/cHbO-tXjg4Y_0000003 162.5 168.4 
Katherine_Jenkins/cHbO-tXjg4Y_0000004 180.0 184.7 
Katherine_Jenkins/cHbO-tXjg4Y_0000005 193.3 207.3 
Katherine_Jenkins/cHbO-tXjg4Y_0000006 217.0 233.1 
Katherine_Jenkins/cHbO-tXjg4Y_0000007 240.2 253.0 
Katherine_Jenkins/cHbO-tXjg4Y_0000008 265.9 280.5 
Katherine_Jenkins/cHbO-tXjg4Y_0000009 321.5 330.9 
Katherine_Jenkins/cHbO-tXjg4Y_0000010 346.0 352.8 
Katherine_Jenkins/cHbO-tXjg4Y_0000011 353.7 362.8 
Katherine_Jenkins/cHbO-tXjg4Y_0000012 378.6 385.2 
Katherine_Jenkins/cHbO-tXjg4Y_0000013 386.0 396.4 
Katherine_Jenkins/cHbO-tXjg4Y_0000014 407.0 413.7 
Katherine_Jenkins/cHbO-tXjg4Y_0000015 420.9 426.8 
Katherine_Jenkins/cHbO-tXjg4Y_0000016 432.5 437.1 
