POI: 			Katherine_Jenkins 
Youtube ID: 	pyZmIIfRmvw 
Video length: 	776.2 sec 
Set (V): 		dev 
 
Katherine_Jenkins/pyZmIIfRmvw_0000001 16.6 29.8 
Katherine_Jenkins/pyZmIIfRmvw_0000002 30.6 41.6 
Katherine_Jenkins/pyZmIIfRmvw_0000003 44.2 54.1 
Katherine_Jenkins/pyZmIIfRmvw_0000004 60.5 69.6 
Katherine_Jenkins/pyZmIIfRmvw_0000005 94.9 119.9 
Katherine_Jenkins/pyZmIIfRmvw_0000006 120.8 124.9 
Katherine_Jenkins/pyZmIIfRmvw_0000007 132.3 156.5 
Katherine_Jenkins/pyZmIIfRmvw_0000008 166.8 186.3 
Katherine_Jenkins/pyZmIIfRmvw_0000009 193.1 209.6 
Katherine_Jenkins/pyZmIIfRmvw_0000010 210.0 218.3 
Katherine_Jenkins/pyZmIIfRmvw_0000011 218.4 226.8 
Katherine_Jenkins/pyZmIIfRmvw_0000012 230.2 257.1 
Katherine_Jenkins/pyZmIIfRmvw_0000013 264.0 277.1 
Katherine_Jenkins/pyZmIIfRmvw_0000014 278.7 291.9 
Katherine_Jenkins/pyZmIIfRmvw_0000015 292.3 298.3 
Katherine_Jenkins/pyZmIIfRmvw_0000016 300.1 306.6 
Katherine_Jenkins/pyZmIIfRmvw_0000017 307.4 317.4 
Katherine_Jenkins/pyZmIIfRmvw_0000018 323.9 332.9 
Katherine_Jenkins/pyZmIIfRmvw_0000019 333.9 348.4 
Katherine_Jenkins/pyZmIIfRmvw_0000020 355.0 377.1 
Katherine_Jenkins/pyZmIIfRmvw_0000021 378.2 382.7 
Katherine_Jenkins/pyZmIIfRmvw_0000022 388.9 412.4 
Katherine_Jenkins/pyZmIIfRmvw_0000023 412.7 424.7 
Katherine_Jenkins/pyZmIIfRmvw_0000024 430.8 437.1 
Katherine_Jenkins/pyZmIIfRmvw_0000025 437.8 452.4 
Katherine_Jenkins/pyZmIIfRmvw_0000026 452.9 462.8 
Katherine_Jenkins/pyZmIIfRmvw_0000027 471.5 496.8 
Katherine_Jenkins/pyZmIIfRmvw_0000028 498.7 504.0 
Katherine_Jenkins/pyZmIIfRmvw_0000029 504.2 514.3 
Katherine_Jenkins/pyZmIIfRmvw_0000030 520.6 525.0 
Katherine_Jenkins/pyZmIIfRmvw_0000031 526.4 535.6 
Katherine_Jenkins/pyZmIIfRmvw_0000032 537.4 542.6 
Katherine_Jenkins/pyZmIIfRmvw_0000033 544.0 550.2 
Katherine_Jenkins/pyZmIIfRmvw_0000034 556.6 565.1 
Katherine_Jenkins/pyZmIIfRmvw_0000035 566.5 576.2 
Katherine_Jenkins/pyZmIIfRmvw_0000036 581.7 588.8 
Katherine_Jenkins/pyZmIIfRmvw_0000037 595.7 620.9 
Katherine_Jenkins/pyZmIIfRmvw_0000038 621.2 630.2 
Katherine_Jenkins/pyZmIIfRmvw_0000039 636.6 657.6 
Katherine_Jenkins/pyZmIIfRmvw_0000040 665.8 670.3 
Katherine_Jenkins/pyZmIIfRmvw_0000041 677.1 682.8 
Katherine_Jenkins/pyZmIIfRmvw_0000042 682.9 688.4 
Katherine_Jenkins/pyZmIIfRmvw_0000043 692.0 696.6 
Katherine_Jenkins/pyZmIIfRmvw_0000044 713.6 723.1 
Katherine_Jenkins/pyZmIIfRmvw_0000045 743.5 758.0 
Katherine_Jenkins/pyZmIIfRmvw_0000046 760.6 772.2 
