POI: 			Katherine_Jenkins 
Youtube ID: 	IMfe7r3iVds 
Video length: 	1534.1 sec 
Set (V): 		dev 
 
Katherine_Jenkins/IMfe7r3iVds_0000001 03.3 11.5 
Katherine_Jenkins/IMfe7r3iVds_0000002 33.6 40.2 
Katherine_Jenkins/IMfe7r3iVds_0000003 89.9 94.1 
Katherine_Jenkins/IMfe7r3iVds_0000004 94.3 105.7 
Katherine_Jenkins/IMfe7r3iVds_0000005 107.0 113.6 
Katherine_Jenkins/IMfe7r3iVds_0000006 131.2 136.0 
Katherine_Jenkins/IMfe7r3iVds_0000007 202.2 214.0 
Katherine_Jenkins/IMfe7r3iVds_0000008 214.8 225.9 
Katherine_Jenkins/IMfe7r3iVds_0000009 270.7 276.0 
Katherine_Jenkins/IMfe7r3iVds_0000010 276.8 281.1 
Katherine_Jenkins/IMfe7r3iVds_0000011 288.0 302.2 
Katherine_Jenkins/IMfe7r3iVds_0000012 302.6 310.3 
Katherine_Jenkins/IMfe7r3iVds_0000013 311.1 315.3 
Katherine_Jenkins/IMfe7r3iVds_0000014 320.3 340.0 
Katherine_Jenkins/IMfe7r3iVds_0000015 344.8 349.5 
Katherine_Jenkins/IMfe7r3iVds_0000016 358.6 366.3 
Katherine_Jenkins/IMfe7r3iVds_0000017 367.6 379.6 
Katherine_Jenkins/IMfe7r3iVds_0000018 379.8 399.9 
Katherine_Jenkins/IMfe7r3iVds_0000019 400.1 405.5 
Katherine_Jenkins/IMfe7r3iVds_0000020 433.2 437.8 
Katherine_Jenkins/IMfe7r3iVds_0000021 479.9 485.1 
Katherine_Jenkins/IMfe7r3iVds_0000022 486.0 510.9 
Katherine_Jenkins/IMfe7r3iVds_0000023 513.5 524.0 
Katherine_Jenkins/IMfe7r3iVds_0000024 598.3 613.4 
Katherine_Jenkins/IMfe7r3iVds_0000025 616.8 637.0 
Katherine_Jenkins/IMfe7r3iVds_0000026 639.0 650.4 
Katherine_Jenkins/IMfe7r3iVds_0000027 668.0 681.0 
Katherine_Jenkins/IMfe7r3iVds_0000028 761.8 768.4 
Katherine_Jenkins/IMfe7r3iVds_0000029 791.9 796.8 
Katherine_Jenkins/IMfe7r3iVds_0000030 966.4 977.4 
Katherine_Jenkins/IMfe7r3iVds_0000031 1086.3 1091.4 
Katherine_Jenkins/IMfe7r3iVds_0000032 1121.3 1126.3 
Katherine_Jenkins/IMfe7r3iVds_0000033 1126.8 1132.4 
Katherine_Jenkins/IMfe7r3iVds_0000034 1172.9 1180.9 
Katherine_Jenkins/IMfe7r3iVds_0000035 1194.8 1201.4 
Katherine_Jenkins/IMfe7r3iVds_0000036 1202.1 1208.1 
Katherine_Jenkins/IMfe7r3iVds_0000037 1274.7 1279.3 
Katherine_Jenkins/IMfe7r3iVds_0000038 1281.4 1287.0 
Katherine_Jenkins/IMfe7r3iVds_0000039 1306.8 1318.6 
Katherine_Jenkins/IMfe7r3iVds_0000040 1331.9 1336.1 
Katherine_Jenkins/IMfe7r3iVds_0000041 1375.6 1393.4 
Katherine_Jenkins/IMfe7r3iVds_0000042 1393.8 1400.6 
Katherine_Jenkins/IMfe7r3iVds_0000043 1403.8 1408.0 
Katherine_Jenkins/IMfe7r3iVds_0000044 1465.6 1474.9 
Katherine_Jenkins/IMfe7r3iVds_0000045 1478.0 1486.3 
