POI: 			Brett_Davern 
Youtube ID: 	wrHyTrC37FQ 
Video length: 	3861.3 sec 
Set (V): 		dev 
 
Brett_Davern/wrHyTrC37FQ_0000001 93.9 98.4 
Brett_Davern/wrHyTrC37FQ_0000002 108.9 114.1 
Brett_Davern/wrHyTrC37FQ_0000003 122.2 127.5 
Brett_Davern/wrHyTrC37FQ_0000004 166.6 170.6 
Brett_Davern/wrHyTrC37FQ_0000005 179.4 196.6 
Brett_Davern/wrHyTrC37FQ_0000006 197.0 201.8 
Brett_Davern/wrHyTrC37FQ_0000007 216.4 244.7 
Brett_Davern/wrHyTrC37FQ_0000008 249.4 256.4 
Brett_Davern/wrHyTrC37FQ_0000009 309.9 314.4 
Brett_Davern/wrHyTrC37FQ_0000010 333.4 339.0 
Brett_Davern/wrHyTrC37FQ_0000011 343.0 347.6 
Brett_Davern/wrHyTrC37FQ_0000012 349.5 358.0 
Brett_Davern/wrHyTrC37FQ_0000013 367.8 375.8 
Brett_Davern/wrHyTrC37FQ_0000014 405.9 450.0 
Brett_Davern/wrHyTrC37FQ_0000015 451.9 457.0 
Brett_Davern/wrHyTrC37FQ_0000016 457.5 461.7 
Brett_Davern/wrHyTrC37FQ_0000017 462.9 469.5 
Brett_Davern/wrHyTrC37FQ_0000018 470.8 479.1 
Brett_Davern/wrHyTrC37FQ_0000019 490.8 504.7 
Brett_Davern/wrHyTrC37FQ_0000020 508.1 513.6 
Brett_Davern/wrHyTrC37FQ_0000021 513.9 521.4 
Brett_Davern/wrHyTrC37FQ_0000022 528.5 533.0 
Brett_Davern/wrHyTrC37FQ_0000023 533.6 539.0 
Brett_Davern/wrHyTrC37FQ_0000024 541.2 549.7 
Brett_Davern/wrHyTrC37FQ_0000025 558.2 568.6 
Brett_Davern/wrHyTrC37FQ_0000026 583.5 589.8 
Brett_Davern/wrHyTrC37FQ_0000027 598.0 602.8 
Brett_Davern/wrHyTrC37FQ_0000028 603.9 611.0 
Brett_Davern/wrHyTrC37FQ_0000029 617.0 622.8 
Brett_Davern/wrHyTrC37FQ_0000030 638.4 643.4 
Brett_Davern/wrHyTrC37FQ_0000031 644.9 649.8 
Brett_Davern/wrHyTrC37FQ_0000032 650.2 655.3 
Brett_Davern/wrHyTrC37FQ_0000033 666.7 679.6 
Brett_Davern/wrHyTrC37FQ_0000034 698.8 706.6 
Brett_Davern/wrHyTrC37FQ_0000035 707.8 727.6 
Brett_Davern/wrHyTrC37FQ_0000036 728.0 732.0 
Brett_Davern/wrHyTrC37FQ_0000037 726.8 735.5 
Brett_Davern/wrHyTrC37FQ_0000038 748.3 755.6 
Brett_Davern/wrHyTrC37FQ_0000039 770.6 777.8 
Brett_Davern/wrHyTrC37FQ_0000040 780.6 791.4 
Brett_Davern/wrHyTrC37FQ_0000041 793.3 797.6 
Brett_Davern/wrHyTrC37FQ_0000042 821.8 827.0 
Brett_Davern/wrHyTrC37FQ_0000043 848.2 861.2 
Brett_Davern/wrHyTrC37FQ_0000044 867.8 875.3 
Brett_Davern/wrHyTrC37FQ_0000045 879.5 888.8 
Brett_Davern/wrHyTrC37FQ_0000046 891.0 900.8 
Brett_Davern/wrHyTrC37FQ_0000047 912.6 919.2 
Brett_Davern/wrHyTrC37FQ_0000048 920.9 928.8 
Brett_Davern/wrHyTrC37FQ_0000049 947.5 955.0 
Brett_Davern/wrHyTrC37FQ_0000050 966.4 975.1 
Brett_Davern/wrHyTrC37FQ_0000051 975.7 988.8 
Brett_Davern/wrHyTrC37FQ_0000052 1059.6 1064.8 
Brett_Davern/wrHyTrC37FQ_0000053 1065.6 1078.0 
Brett_Davern/wrHyTrC37FQ_0000054 1119.9 1125.9 
Brett_Davern/wrHyTrC37FQ_0000055 1133.4 1143.8 
Brett_Davern/wrHyTrC37FQ_0000056 1152.2 1159.9 
Brett_Davern/wrHyTrC37FQ_0000057 1177.3 1181.4 
Brett_Davern/wrHyTrC37FQ_0000058 1184.5 1191.2 
Brett_Davern/wrHyTrC37FQ_0000059 1197.5 1201.5 
Brett_Davern/wrHyTrC37FQ_0000060 1206.1 1214.6 
Brett_Davern/wrHyTrC37FQ_0000061 1247.2 1256.8 
Brett_Davern/wrHyTrC37FQ_0000062 1262.4 1273.0 
Brett_Davern/wrHyTrC37FQ_0000063 1274.4 1282.8 
Brett_Davern/wrHyTrC37FQ_0000064 1283.1 1287.5 
Brett_Davern/wrHyTrC37FQ_0000065 1315.0 1337.6 
Brett_Davern/wrHyTrC37FQ_0000066 1339.6 1349.9 
Brett_Davern/wrHyTrC37FQ_0000067 1354.7 1359.2 
Brett_Davern/wrHyTrC37FQ_0000068 1361.2 1366.2 
Brett_Davern/wrHyTrC37FQ_0000069 1374.8 1402.0 
Brett_Davern/wrHyTrC37FQ_0000070 1428.0 1433.8 
Brett_Davern/wrHyTrC37FQ_0000071 1453.6 1458.2 
Brett_Davern/wrHyTrC37FQ_0000072 1478.6 1486.9 
Brett_Davern/wrHyTrC37FQ_0000073 1487.6 1494.4 
Brett_Davern/wrHyTrC37FQ_0000074 1497.0 1507.5 
Brett_Davern/wrHyTrC37FQ_0000075 1532.6 1548.7 
Brett_Davern/wrHyTrC37FQ_0000076 1552.7 1563.5 
Brett_Davern/wrHyTrC37FQ_0000077 1582.1 1591.6 
Brett_Davern/wrHyTrC37FQ_0000078 1605.6 1616.6 
Brett_Davern/wrHyTrC37FQ_0000079 1678.9 1684.0 
Brett_Davern/wrHyTrC37FQ_0000080 1684.4 1690.1 
Brett_Davern/wrHyTrC37FQ_0000081 1696.5 1703.7 
Brett_Davern/wrHyTrC37FQ_0000082 1716.7 1722.9 
Brett_Davern/wrHyTrC37FQ_0000083 1757.2 1762.4 
Brett_Davern/wrHyTrC37FQ_0000084 1769.9 1778.4 
Brett_Davern/wrHyTrC37FQ_0000085 1782.5 1788.3 
Brett_Davern/wrHyTrC37FQ_0000086 1798.6 1807.2 
Brett_Davern/wrHyTrC37FQ_0000087 1823.0 1828.4 
Brett_Davern/wrHyTrC37FQ_0000088 1833.3 1846.0 
Brett_Davern/wrHyTrC37FQ_0000089 1849.7 1858.3 
Brett_Davern/wrHyTrC37FQ_0000090 1865.8 1870.7 
Brett_Davern/wrHyTrC37FQ_0000091 1881.5 1893.7 
Brett_Davern/wrHyTrC37FQ_0000092 1924.8 1932.3 
Brett_Davern/wrHyTrC37FQ_0000093 1940.7 1944.9 
Brett_Davern/wrHyTrC37FQ_0000094 1957.2 1962.4 
Brett_Davern/wrHyTrC37FQ_0000095 1965.2 1975.3 
Brett_Davern/wrHyTrC37FQ_0000096 1978.0 1983.6 
Brett_Davern/wrHyTrC37FQ_0000097 2021.9 2030.0 
Brett_Davern/wrHyTrC37FQ_0000098 2031.8 2036.3 
Brett_Davern/wrHyTrC37FQ_0000099 2055.2 2062.0 
Brett_Davern/wrHyTrC37FQ_0000100 2110.7 2122.7 
Brett_Davern/wrHyTrC37FQ_0000101 2124.8 2150.5 
Brett_Davern/wrHyTrC37FQ_0000102 2190.7 2195.2 
Brett_Davern/wrHyTrC37FQ_0000103 2197.4 2201.6 
Brett_Davern/wrHyTrC37FQ_0000104 2203.9 2208.3 
Brett_Davern/wrHyTrC37FQ_0000105 2209.2 2218.0 
Brett_Davern/wrHyTrC37FQ_0000106 2223.8 2235.4 
Brett_Davern/wrHyTrC37FQ_0000107 2240.5 2246.3 
Brett_Davern/wrHyTrC37FQ_0000108 2253.7 2268.1 
Brett_Davern/wrHyTrC37FQ_0000109 2274.2 2288.4 
Brett_Davern/wrHyTrC37FQ_0000110 2295.9 2312.1 
Brett_Davern/wrHyTrC37FQ_0000111 2313.2 2322.0 
Brett_Davern/wrHyTrC37FQ_0000112 2349.5 2356.0 
Brett_Davern/wrHyTrC37FQ_0000113 2358.2 2370.6 
Brett_Davern/wrHyTrC37FQ_0000114 2384.9 2398.0 
Brett_Davern/wrHyTrC37FQ_0000115 2402.9 2407.7 
Brett_Davern/wrHyTrC37FQ_0000116 2415.7 2433.1 
Brett_Davern/wrHyTrC37FQ_0000117 2436.3 2442.4 
Brett_Davern/wrHyTrC37FQ_0000118 2474.8 2480.8 
Brett_Davern/wrHyTrC37FQ_0000119 2492.8 2506.4 
Brett_Davern/wrHyTrC37FQ_0000120 2507.2 2523.1 
Brett_Davern/wrHyTrC37FQ_0000121 2523.6 2529.3 
Brett_Davern/wrHyTrC37FQ_0000122 2529.4 2538.7 
Brett_Davern/wrHyTrC37FQ_0000123 2553.0 2559.1 
Brett_Davern/wrHyTrC37FQ_0000124 2572.1 2585.2 
Brett_Davern/wrHyTrC37FQ_0000125 2602.2 2606.4 
Brett_Davern/wrHyTrC37FQ_0000126 2609.6 2616.2 
Brett_Davern/wrHyTrC37FQ_0000127 2636.9 2651.1 
Brett_Davern/wrHyTrC37FQ_0000128 2663.1 2670.3 
Brett_Davern/wrHyTrC37FQ_0000129 2704.2 2712.9 
Brett_Davern/wrHyTrC37FQ_0000130 2717.5 2722.4 
Brett_Davern/wrHyTrC37FQ_0000131 2737.2 2743.0 
Brett_Davern/wrHyTrC37FQ_0000132 2743.7 2750.2 
Brett_Davern/wrHyTrC37FQ_0000133 2751.5 2756.0 
Brett_Davern/wrHyTrC37FQ_0000134 2760.5 2766.6 
Brett_Davern/wrHyTrC37FQ_0000135 2770.2 2780.6 
Brett_Davern/wrHyTrC37FQ_0000136 2782.3 2788.9 
Brett_Davern/wrHyTrC37FQ_0000137 2812.1 2820.6 
Brett_Davern/wrHyTrC37FQ_0000138 2821.4 2825.6 
Brett_Davern/wrHyTrC37FQ_0000139 2825.8 2830.0 
Brett_Davern/wrHyTrC37FQ_0000140 2853.9 2859.2 
Brett_Davern/wrHyTrC37FQ_0000141 2875.0 2892.7 
Brett_Davern/wrHyTrC37FQ_0000142 2903.4 2921.0 
Brett_Davern/wrHyTrC37FQ_0000143 2915.3 2927.5 
Brett_Davern/wrHyTrC37FQ_0000144 2935.0 2944.3 
Brett_Davern/wrHyTrC37FQ_0000145 2993.0 3001.4 
Brett_Davern/wrHyTrC37FQ_0000146 3003.8 3008.1 
Brett_Davern/wrHyTrC37FQ_0000147 3010.0 3015.3 
Brett_Davern/wrHyTrC37FQ_0000148 3016.4 3031.0 
Brett_Davern/wrHyTrC37FQ_0000149 3035.8 3043.3 
Brett_Davern/wrHyTrC37FQ_0000150 3043.5 3058.5 
Brett_Davern/wrHyTrC37FQ_0000151 3078.8 3084.1 
Brett_Davern/wrHyTrC37FQ_0000152 3091.9 3101.8 
Brett_Davern/wrHyTrC37FQ_0000153 3102.2 3124.1 
Brett_Davern/wrHyTrC37FQ_0000154 3132.0 3142.6 
Brett_Davern/wrHyTrC37FQ_0000155 3144.6 3152.3 
Brett_Davern/wrHyTrC37FQ_0000156 3159.8 3166.6 
Brett_Davern/wrHyTrC37FQ_0000157 3190.6 3199.3 
Brett_Davern/wrHyTrC37FQ_0000158 3241.3 3247.0 
Brett_Davern/wrHyTrC37FQ_0000159 3252.2 3261.3 
Brett_Davern/wrHyTrC37FQ_0000160 3270.2 3292.0 
Brett_Davern/wrHyTrC37FQ_0000161 3296.8 3305.0 
Brett_Davern/wrHyTrC37FQ_0000162 3322.4 3328.4 
Brett_Davern/wrHyTrC37FQ_0000163 3335.0 3347.9 
Brett_Davern/wrHyTrC37FQ_0000164 3374.1 3382.4 
Brett_Davern/wrHyTrC37FQ_0000165 3388.4 3393.6 
Brett_Davern/wrHyTrC37FQ_0000166 3403.4 3441.9 
Brett_Davern/wrHyTrC37FQ_0000167 3449.7 3455.2 
Brett_Davern/wrHyTrC37FQ_0000168 3456.2 3462.4 
Brett_Davern/wrHyTrC37FQ_0000169 3477.8 3490.4 
Brett_Davern/wrHyTrC37FQ_0000170 3502.1 3509.2 
Brett_Davern/wrHyTrC37FQ_0000171 3510.1 3516.1 
Brett_Davern/wrHyTrC37FQ_0000172 3520.5 3526.5 
Brett_Davern/wrHyTrC37FQ_0000173 3568.8 3583.6 
Brett_Davern/wrHyTrC37FQ_0000174 3594.2 3600.3 
Brett_Davern/wrHyTrC37FQ_0000175 3600.7 3612.5 
Brett_Davern/wrHyTrC37FQ_0000176 3637.0 3644.9 
Brett_Davern/wrHyTrC37FQ_0000177 3646.8 3654.5 
Brett_Davern/wrHyTrC37FQ_0000178 3668.0 3675.6 
Brett_Davern/wrHyTrC37FQ_0000179 3684.9 3699.3 
Brett_Davern/wrHyTrC37FQ_0000180 3716.7 3730.6 
Brett_Davern/wrHyTrC37FQ_0000181 3731.7 3739.1 
Brett_Davern/wrHyTrC37FQ_0000182 3749.4 3754.4 
Brett_Davern/wrHyTrC37FQ_0000183 3759.0 3765.5 
Brett_Davern/wrHyTrC37FQ_0000184 3775.5 3781.2 
