POI: 			Brett_Davern 
Youtube ID: 	vJSc3FB4US0 
Video length: 	2720.4 sec 
Set (V): 		dev 
 
Brett_Davern/vJSc3FB4US0_0000001 04.5 19.6 
Brett_Davern/vJSc3FB4US0_0000002 21.2 35.8 
Brett_Davern/vJSc3FB4US0_0000003 141.0 148.4 
Brett_Davern/vJSc3FB4US0_0000004 160.9 194.6 
Brett_Davern/vJSc3FB4US0_0000005 195.0 232.0 
Brett_Davern/vJSc3FB4US0_0000006 263.6 299.2 
Brett_Davern/vJSc3FB4US0_0000007 307.5 313.0 
Brett_Davern/vJSc3FB4US0_0000008 313.8 318.7 
Brett_Davern/vJSc3FB4US0_0000009 332.0 345.7 
Brett_Davern/vJSc3FB4US0_0000010 357.6 364.4 
Brett_Davern/vJSc3FB4US0_0000011 378.0 382.2 
Brett_Davern/vJSc3FB4US0_0000012 382.4 386.5 
Brett_Davern/vJSc3FB4US0_0000013 388.4 403.0 
Brett_Davern/vJSc3FB4US0_0000014 403.4 407.6 
Brett_Davern/vJSc3FB4US0_0000015 409.2 414.6 
Brett_Davern/vJSc3FB4US0_0000016 418.3 434.6 
Brett_Davern/vJSc3FB4US0_0000017 434.9 442.6 
Brett_Davern/vJSc3FB4US0_0000018 407.4 412.2 
Brett_Davern/vJSc3FB4US0_0000019 444.6 456.6 
Brett_Davern/vJSc3FB4US0_0000020 594.8 608.2 
Brett_Davern/vJSc3FB4US0_0000021 618.2 633.4 
Brett_Davern/vJSc3FB4US0_0000022 638.3 679.2 
Brett_Davern/vJSc3FB4US0_0000023 728.0 732.4 
Brett_Davern/vJSc3FB4US0_0000024 777.1 847.8 
Brett_Davern/vJSc3FB4US0_0000025 856.0 887.4 
Brett_Davern/vJSc3FB4US0_0000026 900.4 920.2 
Brett_Davern/vJSc3FB4US0_0000027 946.4 953.3 
Brett_Davern/vJSc3FB4US0_0000028 955.2 976.7 
Brett_Davern/vJSc3FB4US0_0000029 977.2 993.6 
Brett_Davern/vJSc3FB4US0_0000030 998.9 1004.8 
Brett_Davern/vJSc3FB4US0_0000031 1040.3 1051.8 
Brett_Davern/vJSc3FB4US0_0000032 1055.8 1064.1 
Brett_Davern/vJSc3FB4US0_0000033 1121.2 1129.4 
Brett_Davern/vJSc3FB4US0_0000034 1134.2 1138.6 
Brett_Davern/vJSc3FB4US0_0000035 1142.1 1157.0 
Brett_Davern/vJSc3FB4US0_0000036 1190.8 1216.0 
Brett_Davern/vJSc3FB4US0_0000037 1216.6 1220.7 
Brett_Davern/vJSc3FB4US0_0000038 1234.8 1239.9 
Brett_Davern/vJSc3FB4US0_0000039 1299.2 1304.5 
Brett_Davern/vJSc3FB4US0_0000040 1305.1 1311.1 
Brett_Davern/vJSc3FB4US0_0000041 1313.3 1319.0 
Brett_Davern/vJSc3FB4US0_0000042 1322.3 1331.1 
Brett_Davern/vJSc3FB4US0_0000043 1339.4 1354.1 
Brett_Davern/vJSc3FB4US0_0000044 1367.0 1375.6 
Brett_Davern/vJSc3FB4US0_0000045 1408.6 1415.5 
Brett_Davern/vJSc3FB4US0_0000046 1418.2 1433.1 
Brett_Davern/vJSc3FB4US0_0000047 1434.0 1451.4 
Brett_Davern/vJSc3FB4US0_0000048 1492.3 1503.1 
Brett_Davern/vJSc3FB4US0_0000049 1654.8 1678.2 
Brett_Davern/vJSc3FB4US0_0000050 1696.2 1707.1 
Brett_Davern/vJSc3FB4US0_0000051 1714.1 1719.8 
Brett_Davern/vJSc3FB4US0_0000052 1705.8 1723.2 
Brett_Davern/vJSc3FB4US0_0000053 1731.3 1756.5 
Brett_Davern/vJSc3FB4US0_0000054 1785.7 1790.1 
Brett_Davern/vJSc3FB4US0_0000055 1792.0 1805.6 
Brett_Davern/vJSc3FB4US0_0000056 1819.8 1826.2 
Brett_Davern/vJSc3FB4US0_0000057 1828.7 1843.2 
Brett_Davern/vJSc3FB4US0_0000058 1877.6 1883.3 
Brett_Davern/vJSc3FB4US0_0000059 1888.7 1897.5 
Brett_Davern/vJSc3FB4US0_0000060 1949.1 1953.8 
Brett_Davern/vJSc3FB4US0_0000061 1964.3 1971.6 
Brett_Davern/vJSc3FB4US0_0000062 1976.2 1980.6 
Brett_Davern/vJSc3FB4US0_0000063 1982.4 1989.3 
Brett_Davern/vJSc3FB4US0_0000064 1985.5 1990.1 
Brett_Davern/vJSc3FB4US0_0000065 1993.6 1999.1 
Brett_Davern/vJSc3FB4US0_0000066 2022.2 2028.7 
Brett_Davern/vJSc3FB4US0_0000067 2051.2 2058.1 
Brett_Davern/vJSc3FB4US0_0000068 2086.7 2091.4 
Brett_Davern/vJSc3FB4US0_0000069 2116.5 2124.6 
Brett_Davern/vJSc3FB4US0_0000070 2125.8 2139.2 
Brett_Davern/vJSc3FB4US0_0000071 2092.3 2097.3 
Brett_Davern/vJSc3FB4US0_0000072 2097.9 2114.2 
Brett_Davern/vJSc3FB4US0_0000073 2114.4 2144.8 
Brett_Davern/vJSc3FB4US0_0000074 2184.8 2189.2 
Brett_Davern/vJSc3FB4US0_0000075 2189.5 2193.6 
Brett_Davern/vJSc3FB4US0_0000076 2203.7 2217.7 
Brett_Davern/vJSc3FB4US0_0000077 2227.6 2245.4 
Brett_Davern/vJSc3FB4US0_0000078 2249.2 2253.3 
Brett_Davern/vJSc3FB4US0_0000079 2272.6 2277.8 
Brett_Davern/vJSc3FB4US0_0000080 2279.7 2296.4 
Brett_Davern/vJSc3FB4US0_0000081 2305.9 2310.0 
Brett_Davern/vJSc3FB4US0_0000082 2350.7 2366.8 
Brett_Davern/vJSc3FB4US0_0000083 2367.9 2383.2 
Brett_Davern/vJSc3FB4US0_0000084 2400.7 2413.5 
