POI: 			Dougray_Scott 
Youtube ID: 	Ko-rW5RWuOo 
Video length: 	273.4 sec 
Set (V): 		dev 
 
Dougray_Scott/Ko-rW5RWuOo_0000001 07.6 23.0 
Dougray_Scott/Ko-rW5RWuOo_0000002 26.2 46.0 
Dougray_Scott/Ko-rW5RWuOo_0000003 46.6 51.3 
Dougray_Scott/Ko-rW5RWuOo_0000004 51.5 55.6 
Dougray_Scott/Ko-rW5RWuOo_0000005 56.2 64.0 
Dougray_Scott/Ko-rW5RWuOo_0000006 77.3 82.2 
Dougray_Scott/Ko-rW5RWuOo_0000007 91.2 102.5 
Dougray_Scott/Ko-rW5RWuOo_0000008 104.3 113.5 
Dougray_Scott/Ko-rW5RWuOo_0000009 114.5 130.5 
Dougray_Scott/Ko-rW5RWuOo_0000010 145.4 153.2 
Dougray_Scott/Ko-rW5RWuOo_0000011 165.4 170.2 
Dougray_Scott/Ko-rW5RWuOo_0000012 182.8 192.0 
Dougray_Scott/Ko-rW5RWuOo_0000013 194.8 211.9 
Dougray_Scott/Ko-rW5RWuOo_0000014 215.1 224.9 
Dougray_Scott/Ko-rW5RWuOo_0000015 239.4 248.8 
Dougray_Scott/Ko-rW5RWuOo_0000016 260.6 268.6 
