POI: 			Eva_Longoria 
Youtube ID: 	yUv37vQWmzE 
Video length: 	254.6 sec 
Set (V): 		test 
 
Eva_Longoria/yUv37vQWmzE_0000001 08.8 14.7 
Eva_Longoria/yUv37vQWmzE_0000002 15.5 22.7 
Eva_Longoria/yUv37vQWmzE_0000003 24.1 34.8 
Eva_Longoria/yUv37vQWmzE_0000004 37.3 51.8 
Eva_Longoria/yUv37vQWmzE_0000005 54.6 74.1 
Eva_Longoria/yUv37vQWmzE_0000006 76.9 85.4 
Eva_Longoria/yUv37vQWmzE_0000007 86.4 98.2 
Eva_Longoria/yUv37vQWmzE_0000008 114.7 126.7 
Eva_Longoria/yUv37vQWmzE_0000009 128.3 135.0 
Eva_Longoria/yUv37vQWmzE_0000010 135.9 143.7 
Eva_Longoria/yUv37vQWmzE_0000011 150.8 163.0 
Eva_Longoria/yUv37vQWmzE_0000012 164.4 177.3 
Eva_Longoria/yUv37vQWmzE_0000013 179.1 194.9 
Eva_Longoria/yUv37vQWmzE_0000014 206.9 211.1 
Eva_Longoria/yUv37vQWmzE_0000015 214.3 224.0 
Eva_Longoria/yUv37vQWmzE_0000016 231.2 236.3 
