POI: 			Harvey_Keitel 
Youtube ID: 	qSObOdJjRnA 
Video length: 	1382.0 sec 
Set (V): 		dev 
 
Harvey_Keitel/qSObOdJjRnA_0000001 77.3 87.0 
Harvey_Keitel/qSObOdJjRnA_0000002 87.4 97.1 
Harvey_Keitel/qSObOdJjRnA_0000003 100.2 107.6 
Harvey_Keitel/qSObOdJjRnA_0000004 117.4 121.7 
Harvey_Keitel/qSObOdJjRnA_0000005 137.8 147.7 
Harvey_Keitel/qSObOdJjRnA_0000006 256.5 261.8 
Harvey_Keitel/qSObOdJjRnA_0000007 305.3 310.8 
Harvey_Keitel/qSObOdJjRnA_0000008 316.9 320.9 
Harvey_Keitel/qSObOdJjRnA_0000009 329.8 335.2 
Harvey_Keitel/qSObOdJjRnA_0000010 349.8 354.8 
Harvey_Keitel/qSObOdJjRnA_0000011 357.2 378.4 
Harvey_Keitel/qSObOdJjRnA_0000012 394.4 399.5 
Harvey_Keitel/qSObOdJjRnA_0000013 399.6 404.7 
Harvey_Keitel/qSObOdJjRnA_0000014 433.4 443.2 
Harvey_Keitel/qSObOdJjRnA_0000015 452.6 466.0 
Harvey_Keitel/qSObOdJjRnA_0000016 488.2 495.8 
Harvey_Keitel/qSObOdJjRnA_0000017 497.7 502.4 
Harvey_Keitel/qSObOdJjRnA_0000018 509.3 516.9 
Harvey_Keitel/qSObOdJjRnA_0000019 518.5 524.0 
Harvey_Keitel/qSObOdJjRnA_0000020 524.8 529.8 
Harvey_Keitel/qSObOdJjRnA_0000021 539.6 543.7 
Harvey_Keitel/qSObOdJjRnA_0000022 549.8 554.1 
Harvey_Keitel/qSObOdJjRnA_0000023 555.0 561.6 
Harvey_Keitel/qSObOdJjRnA_0000024 618.0 622.4 
Harvey_Keitel/qSObOdJjRnA_0000025 625.8 631.7 
Harvey_Keitel/qSObOdJjRnA_0000026 658.2 662.3 
Harvey_Keitel/qSObOdJjRnA_0000027 676.1 681.3 
Harvey_Keitel/qSObOdJjRnA_0000028 743.8 750.9 
Harvey_Keitel/qSObOdJjRnA_0000029 757.4 762.0 
Harvey_Keitel/qSObOdJjRnA_0000030 766.2 775.0 
Harvey_Keitel/qSObOdJjRnA_0000031 775.7 781.5 
Harvey_Keitel/qSObOdJjRnA_0000032 793.6 797.9 
Harvey_Keitel/qSObOdJjRnA_0000033 808.4 819.0 
Harvey_Keitel/qSObOdJjRnA_0000034 823.2 834.8 
Harvey_Keitel/qSObOdJjRnA_0000035 840.8 845.4 
Harvey_Keitel/qSObOdJjRnA_0000036 858.1 865.8 
Harvey_Keitel/qSObOdJjRnA_0000037 876.3 880.4 
Harvey_Keitel/qSObOdJjRnA_0000038 885.8 890.8 
Harvey_Keitel/qSObOdJjRnA_0000039 907.1 916.6 
Harvey_Keitel/qSObOdJjRnA_0000040 921.0 926.0 
Harvey_Keitel/qSObOdJjRnA_0000041 951.7 959.8 
Harvey_Keitel/qSObOdJjRnA_0000042 963.2 969.6 
Harvey_Keitel/qSObOdJjRnA_0000043 969.7 974.6 
Harvey_Keitel/qSObOdJjRnA_0000044 1017.0 1026.2 
Harvey_Keitel/qSObOdJjRnA_0000045 1028.2 1055.6 
Harvey_Keitel/qSObOdJjRnA_0000046 1062.5 1068.3 
Harvey_Keitel/qSObOdJjRnA_0000047 1068.9 1075.4 
Harvey_Keitel/qSObOdJjRnA_0000048 1079.4 1083.4 
Harvey_Keitel/qSObOdJjRnA_0000049 1085.1 1091.2 
Harvey_Keitel/qSObOdJjRnA_0000050 1092.3 1102.0 
Harvey_Keitel/qSObOdJjRnA_0000051 1161.6 1171.2 
Harvey_Keitel/qSObOdJjRnA_0000052 1187.6 1201.0 
Harvey_Keitel/qSObOdJjRnA_0000053 1269.9 1279.4 
Harvey_Keitel/qSObOdJjRnA_0000054 1291.0 1295.7 
Harvey_Keitel/qSObOdJjRnA_0000055 1334.2 1340.3 
