POI: 			Harvey_Keitel 
Youtube ID: 	oU8-tDn-9Y0 
Video length: 	783.8 sec 
Set (V): 		dev 
 
Harvey_Keitel/oU8-tDn-9Y0_0000001 46.3 62.7 
Harvey_Keitel/oU8-tDn-9Y0_0000002 66.6 87.4 
Harvey_Keitel/oU8-tDn-9Y0_0000003 87.8 99.6 
Harvey_Keitel/oU8-tDn-9Y0_0000004 146.4 168.5 
Harvey_Keitel/oU8-tDn-9Y0_0000005 184.5 191.0 
Harvey_Keitel/oU8-tDn-9Y0_0000006 191.2 200.8 
Harvey_Keitel/oU8-tDn-9Y0_0000007 202.2 207.8 
Harvey_Keitel/oU8-tDn-9Y0_0000008 209.2 217.3 
Harvey_Keitel/oU8-tDn-9Y0_0000009 218.0 224.0 
Harvey_Keitel/oU8-tDn-9Y0_0000010 267.1 276.6 
Harvey_Keitel/oU8-tDn-9Y0_0000011 277.8 287.2 
Harvey_Keitel/oU8-tDn-9Y0_0000012 293.6 307.8 
Harvey_Keitel/oU8-tDn-9Y0_0000013 309.8 315.1 
Harvey_Keitel/oU8-tDn-9Y0_0000014 316.9 336.9 
Harvey_Keitel/oU8-tDn-9Y0_0000015 387.0 392.1 
Harvey_Keitel/oU8-tDn-9Y0_0000016 414.8 429.7 
Harvey_Keitel/oU8-tDn-9Y0_0000017 431.0 439.6 
Harvey_Keitel/oU8-tDn-9Y0_0000018 443.0 458.2 
Harvey_Keitel/oU8-tDn-9Y0_0000019 459.1 466.9 
Harvey_Keitel/oU8-tDn-9Y0_0000020 467.1 471.6 
Harvey_Keitel/oU8-tDn-9Y0_0000021 490.8 496.4 
Harvey_Keitel/oU8-tDn-9Y0_0000022 497.2 509.7 
Harvey_Keitel/oU8-tDn-9Y0_0000023 512.2 519.8 
Harvey_Keitel/oU8-tDn-9Y0_0000024 555.4 560.1 
Harvey_Keitel/oU8-tDn-9Y0_0000025 562.4 569.9 
Harvey_Keitel/oU8-tDn-9Y0_0000026 570.0 583.7 
Harvey_Keitel/oU8-tDn-9Y0_0000027 586.9 596.0 
Harvey_Keitel/oU8-tDn-9Y0_0000028 604.0 608.3 
Harvey_Keitel/oU8-tDn-9Y0_0000029 613.2 620.4 
Harvey_Keitel/oU8-tDn-9Y0_0000030 591.4 596.2 
Harvey_Keitel/oU8-tDn-9Y0_0000031 601.3 620.3 
Harvey_Keitel/oU8-tDn-9Y0_0000032 668.6 681.0 
Harvey_Keitel/oU8-tDn-9Y0_0000033 681.6 688.5 
Harvey_Keitel/oU8-tDn-9Y0_0000034 695.9 703.4 
Harvey_Keitel/oU8-tDn-9Y0_0000035 724.3 734.2 
Harvey_Keitel/oU8-tDn-9Y0_0000036 735.5 744.8 
Harvey_Keitel/oU8-tDn-9Y0_0000037 749.0 753.1 
Harvey_Keitel/oU8-tDn-9Y0_0000038 754.9 759.2 
