POI: 			Susanne_Bier 
Youtube ID: 	G-tc2ifjcDU 
Video length: 	364.9 sec 
Set (V): 		dev 
 
Susanne_Bier/G-tc2ifjcDU_0000001 43.3 47.6 
Susanne_Bier/G-tc2ifjcDU_0000002 63.7 68.0 
Susanne_Bier/G-tc2ifjcDU_0000003 68.6 80.9 
Susanne_Bier/G-tc2ifjcDU_0000004 94.2 100.0 
Susanne_Bier/G-tc2ifjcDU_0000005 102.2 110.4 
Susanne_Bier/G-tc2ifjcDU_0000006 113.0 121.4 
Susanne_Bier/G-tc2ifjcDU_0000007 135.7 152.9 
Susanne_Bier/G-tc2ifjcDU_0000008 163.2 171.9 
Susanne_Bier/G-tc2ifjcDU_0000009 177.4 189.0 
Susanne_Bier/G-tc2ifjcDU_0000010 217.3 250.4 
Susanne_Bier/G-tc2ifjcDU_0000011 261.6 269.2 
Susanne_Bier/G-tc2ifjcDU_0000012 269.9 279.5 
Susanne_Bier/G-tc2ifjcDU_0000013 285.5 289.6 
Susanne_Bier/G-tc2ifjcDU_0000014 290.3 301.2 
Susanne_Bier/G-tc2ifjcDU_0000015 312.5 319.2 
Susanne_Bier/G-tc2ifjcDU_0000016 321.1 328.1 
