POI: 			Zachary_Quinto 
Youtube ID: 	QdBQTHX55yI 
Video length: 	924.6 sec 
Set (V): 		dev 
 
Zachary_Quinto/QdBQTHX55yI_0000001 93.3 102.0 
Zachary_Quinto/QdBQTHX55yI_0000002 187.4 196.3 
Zachary_Quinto/QdBQTHX55yI_0000003 200.0 206.8 
Zachary_Quinto/QdBQTHX55yI_0000004 207.0 216.1 
Zachary_Quinto/QdBQTHX55yI_0000005 304.5 308.4 
Zachary_Quinto/QdBQTHX55yI_0000006 330.8 335.0 
Zachary_Quinto/QdBQTHX55yI_0000007 390.1 397.0 
Zachary_Quinto/QdBQTHX55yI_0000008 403.4 411.2 
Zachary_Quinto/QdBQTHX55yI_0000009 490.2 496.4 
Zachary_Quinto/QdBQTHX55yI_0000010 500.6 508.1 
Zachary_Quinto/QdBQTHX55yI_0000011 509.0 516.6 
Zachary_Quinto/QdBQTHX55yI_0000012 520.9 525.6 
Zachary_Quinto/QdBQTHX55yI_0000013 568.0 575.5 
Zachary_Quinto/QdBQTHX55yI_0000014 588.8 596.2 
Zachary_Quinto/QdBQTHX55yI_0000015 597.5 602.0 
Zachary_Quinto/QdBQTHX55yI_0000016 602.6 610.1 
Zachary_Quinto/QdBQTHX55yI_0000017 619.5 625.1 
Zachary_Quinto/QdBQTHX55yI_0000018 653.5 657.9 
Zachary_Quinto/QdBQTHX55yI_0000019 662.8 666.7 
Zachary_Quinto/QdBQTHX55yI_0000020 739.8 746.0 
Zachary_Quinto/QdBQTHX55yI_0000021 767.8 776.0 
Zachary_Quinto/QdBQTHX55yI_0000022 786.6 791.0 
Zachary_Quinto/QdBQTHX55yI_0000023 791.9 797.4 
Zachary_Quinto/QdBQTHX55yI_0000024 798.9 804.5 
Zachary_Quinto/QdBQTHX55yI_0000025 813.1 817.8 
Zachary_Quinto/QdBQTHX55yI_0000026 819.9 827.3 
Zachary_Quinto/QdBQTHX55yI_0000027 877.3 887.8 
Zachary_Quinto/QdBQTHX55yI_0000028 888.1 892.2 
Zachary_Quinto/QdBQTHX55yI_0000029 892.3 901.6 
Zachary_Quinto/QdBQTHX55yI_0000030 910.8 914.8 
