POI: 			Riley_Smith 
Youtube ID: 	9jsnPvz4stg 
Video length: 	3981.6 sec 
Set (V): 		dev 
 
Riley_Smith/9jsnPvz4stg_0000001 109.5 119.6 
Riley_Smith/9jsnPvz4stg_0000002 120.2 138.4 
Riley_Smith/9jsnPvz4stg_0000003 138.7 148.2 
Riley_Smith/9jsnPvz4stg_0000004 148.7 160.8 
Riley_Smith/9jsnPvz4stg_0000005 162.2 180.6 
Riley_Smith/9jsnPvz4stg_0000006 248.8 256.0 
Riley_Smith/9jsnPvz4stg_0000007 256.9 279.1 
Riley_Smith/9jsnPvz4stg_0000008 281.6 286.9 
Riley_Smith/9jsnPvz4stg_0000009 287.6 299.0 
Riley_Smith/9jsnPvz4stg_0000010 300.9 309.0 
Riley_Smith/9jsnPvz4stg_0000011 311.4 317.4 
Riley_Smith/9jsnPvz4stg_0000012 335.6 356.7 
Riley_Smith/9jsnPvz4stg_0000013 369.6 413.7 
Riley_Smith/9jsnPvz4stg_0000014 418.0 423.1 
Riley_Smith/9jsnPvz4stg_0000015 477.1 495.2 
Riley_Smith/9jsnPvz4stg_0000016 484.0 495.5 
Riley_Smith/9jsnPvz4stg_0000017 496.4 509.6 
Riley_Smith/9jsnPvz4stg_0000018 509.9 517.3 
Riley_Smith/9jsnPvz4stg_0000019 518.6 525.3 
Riley_Smith/9jsnPvz4stg_0000020 573.9 582.4 
Riley_Smith/9jsnPvz4stg_0000021 621.3 649.9 
Riley_Smith/9jsnPvz4stg_0000022 674.2 681.6 
Riley_Smith/9jsnPvz4stg_0000023 729.0 740.4 
Riley_Smith/9jsnPvz4stg_0000024 740.6 746.8 
Riley_Smith/9jsnPvz4stg_0000025 734.2 740.6 
Riley_Smith/9jsnPvz4stg_0000026 740.7 745.4 
Riley_Smith/9jsnPvz4stg_0000027 891.9 906.3 
Riley_Smith/9jsnPvz4stg_0000028 918.4 933.4 
Riley_Smith/9jsnPvz4stg_0000029 933.6 940.7 
Riley_Smith/9jsnPvz4stg_0000030 920.9 933.0 
Riley_Smith/9jsnPvz4stg_0000031 1001.4 1007.4 
Riley_Smith/9jsnPvz4stg_0000032 1007.6 1013.2 
Riley_Smith/9jsnPvz4stg_0000033 1070.1 1075.4 
Riley_Smith/9jsnPvz4stg_0000034 1077.4 1092.5 
Riley_Smith/9jsnPvz4stg_0000035 1112.9 1121.2 
Riley_Smith/9jsnPvz4stg_0000036 1306.0 1312.1 
Riley_Smith/9jsnPvz4stg_0000037 1313.0 1318.6 
Riley_Smith/9jsnPvz4stg_0000038 1362.4 1368.6 
Riley_Smith/9jsnPvz4stg_0000039 1370.9 1375.8 
Riley_Smith/9jsnPvz4stg_0000040 1378.0 1383.3 
Riley_Smith/9jsnPvz4stg_0000041 1449.4 1471.8 
Riley_Smith/9jsnPvz4stg_0000042 1472.3 1484.8 
Riley_Smith/9jsnPvz4stg_0000043 1487.3 1492.7 
Riley_Smith/9jsnPvz4stg_0000044 1591.8 1605.0 
Riley_Smith/9jsnPvz4stg_0000045 1609.2 1616.4 
Riley_Smith/9jsnPvz4stg_0000046 1618.1 1623.5 
Riley_Smith/9jsnPvz4stg_0000047 1677.4 1684.3 
Riley_Smith/9jsnPvz4stg_0000048 1691.6 1696.4 
Riley_Smith/9jsnPvz4stg_0000049 1691.6 1697.6 
Riley_Smith/9jsnPvz4stg_0000050 1792.2 1809.4 
Riley_Smith/9jsnPvz4stg_0000051 1816.4 1825.7 
