POI: 			John_Larroquette 
Youtube ID: 	1znhoCTZ_SQ 
Video length: 	977.4 sec 
Set (V): 		dev 
 
John_Larroquette/1znhoCTZ_SQ_0000001 51.4 68.0 
John_Larroquette/1znhoCTZ_SQ_0000002 68.3 74.2 
John_Larroquette/1znhoCTZ_SQ_0000003 83.9 90.2 
John_Larroquette/1znhoCTZ_SQ_0000004 99.8 104.5 
John_Larroquette/1znhoCTZ_SQ_0000005 110.2 115.1 
John_Larroquette/1znhoCTZ_SQ_0000006 115.3 127.9 
John_Larroquette/1znhoCTZ_SQ_0000007 128.6 134.6 
John_Larroquette/1znhoCTZ_SQ_0000008 153.8 161.8 
John_Larroquette/1znhoCTZ_SQ_0000009 162.6 168.9 
John_Larroquette/1znhoCTZ_SQ_0000010 187.4 193.6 
John_Larroquette/1znhoCTZ_SQ_0000011 193.9 198.6 
John_Larroquette/1znhoCTZ_SQ_0000012 214.7 234.3 
John_Larroquette/1znhoCTZ_SQ_0000013 263.0 277.2 
John_Larroquette/1znhoCTZ_SQ_0000014 310.4 333.2 
John_Larroquette/1znhoCTZ_SQ_0000015 337.8 349.6 
John_Larroquette/1znhoCTZ_SQ_0000016 360.8 367.3 
John_Larroquette/1znhoCTZ_SQ_0000017 374.2 383.9 
John_Larroquette/1znhoCTZ_SQ_0000018 404.3 414.5 
John_Larroquette/1znhoCTZ_SQ_0000019 418.3 425.3 
John_Larroquette/1znhoCTZ_SQ_0000020 425.5 432.1 
John_Larroquette/1znhoCTZ_SQ_0000021 432.8 452.6 
John_Larroquette/1znhoCTZ_SQ_0000022 473.6 486.1 
John_Larroquette/1znhoCTZ_SQ_0000023 505.8 515.0 
John_Larroquette/1znhoCTZ_SQ_0000024 540.2 550.5 
John_Larroquette/1znhoCTZ_SQ_0000025 555.9 570.5 
John_Larroquette/1znhoCTZ_SQ_0000026 570.7 579.5 
John_Larroquette/1znhoCTZ_SQ_0000027 584.2 592.5 
John_Larroquette/1znhoCTZ_SQ_0000028 601.0 607.2 
John_Larroquette/1znhoCTZ_SQ_0000029 610.8 617.9 
John_Larroquette/1znhoCTZ_SQ_0000030 633.2 637.5 
John_Larroquette/1znhoCTZ_SQ_0000031 639.9 644.6 
John_Larroquette/1znhoCTZ_SQ_0000032 679.3 684.8 
John_Larroquette/1znhoCTZ_SQ_0000033 704.7 712.7 
John_Larroquette/1znhoCTZ_SQ_0000034 734.2 746.7 
John_Larroquette/1znhoCTZ_SQ_0000035 754.9 760.2 
John_Larroquette/1znhoCTZ_SQ_0000036 760.4 773.4 
John_Larroquette/1znhoCTZ_SQ_0000037 778.0 784.8 
John_Larroquette/1znhoCTZ_SQ_0000038 785.3 794.9 
John_Larroquette/1znhoCTZ_SQ_0000039 796.9 802.0 
John_Larroquette/1znhoCTZ_SQ_0000040 815.4 823.2 
John_Larroquette/1znhoCTZ_SQ_0000041 859.8 869.8 
John_Larroquette/1znhoCTZ_SQ_0000042 874.9 879.4 
John_Larroquette/1znhoCTZ_SQ_0000043 884.9 908.7 
John_Larroquette/1znhoCTZ_SQ_0000044 913.4 917.4 
John_Larroquette/1znhoCTZ_SQ_0000045 918.0 937.0 
