POI: 			John_Rhys-Davies 
Youtube ID: 	9wbK_QG6jVc 
Video length: 	700.5 sec 
Set (V): 		dev 
 
John_Rhys-Davies/9wbK_QG6jVc_0000001 04.2 08.9 
John_Rhys-Davies/9wbK_QG6jVc_0000002 57.6 65.6 
John_Rhys-Davies/9wbK_QG6jVc_0000003 88.7 93.6 
John_Rhys-Davies/9wbK_QG6jVc_0000004 94.7 99.4 
John_Rhys-Davies/9wbK_QG6jVc_0000005 152.4 156.7 
John_Rhys-Davies/9wbK_QG6jVc_0000006 163.4 170.4 
John_Rhys-Davies/9wbK_QG6jVc_0000007 185.6 189.6 
John_Rhys-Davies/9wbK_QG6jVc_0000008 197.2 201.3 
John_Rhys-Davies/9wbK_QG6jVc_0000009 201.5 210.7 
John_Rhys-Davies/9wbK_QG6jVc_0000010 211.1 224.0 
John_Rhys-Davies/9wbK_QG6jVc_0000011 257.8 265.9 
John_Rhys-Davies/9wbK_QG6jVc_0000012 325.3 341.2 
John_Rhys-Davies/9wbK_QG6jVc_0000013 373.2 378.6 
John_Rhys-Davies/9wbK_QG6jVc_0000014 391.0 397.3 
John_Rhys-Davies/9wbK_QG6jVc_0000015 400.0 406.5 
John_Rhys-Davies/9wbK_QG6jVc_0000016 414.2 424.5 
John_Rhys-Davies/9wbK_QG6jVc_0000017 430.4 437.2 
John_Rhys-Davies/9wbK_QG6jVc_0000018 438.0 442.7 
John_Rhys-Davies/9wbK_QG6jVc_0000019 443.2 447.6 
John_Rhys-Davies/9wbK_QG6jVc_0000020 448.2 453.5 
John_Rhys-Davies/9wbK_QG6jVc_0000021 457.2 463.0 
John_Rhys-Davies/9wbK_QG6jVc_0000022 468.5 481.3 
John_Rhys-Davies/9wbK_QG6jVc_0000023 491.3 497.7 
John_Rhys-Davies/9wbK_QG6jVc_0000024 427.8 437.3 
John_Rhys-Davies/9wbK_QG6jVc_0000025 510.7 521.0 
John_Rhys-Davies/9wbK_QG6jVc_0000026 521.4 527.5 
John_Rhys-Davies/9wbK_QG6jVc_0000027 530.8 539.1 
John_Rhys-Davies/9wbK_QG6jVc_0000028 541.9 550.1 
John_Rhys-Davies/9wbK_QG6jVc_0000029 551.8 556.5 
John_Rhys-Davies/9wbK_QG6jVc_0000030 556.9 563.1 
John_Rhys-Davies/9wbK_QG6jVc_0000031 567.6 572.2 
John_Rhys-Davies/9wbK_QG6jVc_0000032 574.2 581.7 
John_Rhys-Davies/9wbK_QG6jVc_0000033 582.0 586.5 
John_Rhys-Davies/9wbK_QG6jVc_0000034 588.5 600.0 
John_Rhys-Davies/9wbK_QG6jVc_0000035 601.1 605.8 
John_Rhys-Davies/9wbK_QG6jVc_0000036 637.8 642.5 
John_Rhys-Davies/9wbK_QG6jVc_0000037 642.6 654.9 
John_Rhys-Davies/9wbK_QG6jVc_0000038 657.4 670.7 
John_Rhys-Davies/9wbK_QG6jVc_0000039 671.6 678.8 
John_Rhys-Davies/9wbK_QG6jVc_0000040 538.3 545.0 
