POI: 			Brian_Dennehy 
Youtube ID: 	gCLMDAsEsUM 
Video length: 	1203.5 sec 
Set (V): 		dev 
 
Brian_Dennehy/gCLMDAsEsUM_0000001 202.7 217.2 
Brian_Dennehy/gCLMDAsEsUM_0000002 246.6 251.2 
Brian_Dennehy/gCLMDAsEsUM_0000003 263.6 269.8 
Brian_Dennehy/gCLMDAsEsUM_0000004 276.7 281.9 
Brian_Dennehy/gCLMDAsEsUM_0000005 288.0 292.0 
Brian_Dennehy/gCLMDAsEsUM_0000006 320.4 331.4 
Brian_Dennehy/gCLMDAsEsUM_0000007 352.6 357.4 
Brian_Dennehy/gCLMDAsEsUM_0000008 361.0 366.1 
Brian_Dennehy/gCLMDAsEsUM_0000009 369.6 373.8 
Brian_Dennehy/gCLMDAsEsUM_0000010 375.3 381.2 
Brian_Dennehy/gCLMDAsEsUM_0000011 387.2 400.2 
Brian_Dennehy/gCLMDAsEsUM_0000012 470.6 477.0 
Brian_Dennehy/gCLMDAsEsUM_0000013 493.2 497.7 
Brian_Dennehy/gCLMDAsEsUM_0000014 524.5 528.7 
Brian_Dennehy/gCLMDAsEsUM_0000015 529.3 533.6 
Brian_Dennehy/gCLMDAsEsUM_0000016 548.2 554.8 
Brian_Dennehy/gCLMDAsEsUM_0000017 581.6 590.9 
Brian_Dennehy/gCLMDAsEsUM_0000018 613.9 618.2 
Brian_Dennehy/gCLMDAsEsUM_0000019 631.4 635.9 
Brian_Dennehy/gCLMDAsEsUM_0000020 641.8 651.1 
Brian_Dennehy/gCLMDAsEsUM_0000021 651.8 658.9 
Brian_Dennehy/gCLMDAsEsUM_0000022 680.0 694.9 
Brian_Dennehy/gCLMDAsEsUM_0000023 716.9 721.8 
Brian_Dennehy/gCLMDAsEsUM_0000024 767.6 772.9 
Brian_Dennehy/gCLMDAsEsUM_0000025 778.6 783.2 
Brian_Dennehy/gCLMDAsEsUM_0000026 808.1 812.1 
Brian_Dennehy/gCLMDAsEsUM_0000027 880.9 886.6 
Brian_Dennehy/gCLMDAsEsUM_0000028 900.8 906.8 
Brian_Dennehy/gCLMDAsEsUM_0000029 911.8 916.4 
Brian_Dennehy/gCLMDAsEsUM_0000030 916.9 922.6 
Brian_Dennehy/gCLMDAsEsUM_0000031 926.9 938.8 
Brian_Dennehy/gCLMDAsEsUM_0000032 943.6 950.8 
Brian_Dennehy/gCLMDAsEsUM_0000033 952.8 962.5 
Brian_Dennehy/gCLMDAsEsUM_0000034 1001.7 1006.5 
Brian_Dennehy/gCLMDAsEsUM_0000035 1086.4 1090.5 
Brian_Dennehy/gCLMDAsEsUM_0000036 1104.7 1112.7 
Brian_Dennehy/gCLMDAsEsUM_0000037 1180.3 1186.4 
