POI: 			Zac_Efron 
Youtube ID: 	ZCY9rFPmLkE 
Video length: 	1359.4 sec 
Set (V): 		dev 
 
Zac_Efron/ZCY9rFPmLkE_0000001 15.9 20.0 
Zac_Efron/ZCY9rFPmLkE_0000002 20.9 25.3 
Zac_Efron/ZCY9rFPmLkE_0000003 88.2 92.5 
Zac_Efron/ZCY9rFPmLkE_0000004 96.9 108.0 
Zac_Efron/ZCY9rFPmLkE_0000005 111.9 120.5 
Zac_Efron/ZCY9rFPmLkE_0000006 165.7 182.8 
Zac_Efron/ZCY9rFPmLkE_0000007 183.6 187.8 
Zac_Efron/ZCY9rFPmLkE_0000008 193.0 197.8 
Zac_Efron/ZCY9rFPmLkE_0000009 198.0 202.3 
Zac_Efron/ZCY9rFPmLkE_0000010 205.5 210.7 
Zac_Efron/ZCY9rFPmLkE_0000011 257.7 264.5 
Zac_Efron/ZCY9rFPmLkE_0000012 285.1 294.2 
Zac_Efron/ZCY9rFPmLkE_0000013 311.4 321.5 
Zac_Efron/ZCY9rFPmLkE_0000014 326.0 359.6 
Zac_Efron/ZCY9rFPmLkE_0000015 384.5 388.6 
Zac_Efron/ZCY9rFPmLkE_0000016 403.5 408.0 
Zac_Efron/ZCY9rFPmLkE_0000017 427.1 431.8 
Zac_Efron/ZCY9rFPmLkE_0000018 431.9 436.3 
Zac_Efron/ZCY9rFPmLkE_0000019 440.6 444.7 
Zac_Efron/ZCY9rFPmLkE_0000020 449.2 455.1 
Zac_Efron/ZCY9rFPmLkE_0000021 460.7 466.1 
Zac_Efron/ZCY9rFPmLkE_0000022 510.5 516.0 
Zac_Efron/ZCY9rFPmLkE_0000023 538.7 545.4 
Zac_Efron/ZCY9rFPmLkE_0000024 615.1 622.0 
Zac_Efron/ZCY9rFPmLkE_0000025 644.9 651.2 
Zac_Efron/ZCY9rFPmLkE_0000026 674.3 678.6 
Zac_Efron/ZCY9rFPmLkE_0000027 679.6 685.4 
Zac_Efron/ZCY9rFPmLkE_0000028 690.8 695.0 
Zac_Efron/ZCY9rFPmLkE_0000029 713.3 718.0 
Zac_Efron/ZCY9rFPmLkE_0000030 718.3 723.8 
Zac_Efron/ZCY9rFPmLkE_0000031 747.4 756.8 
Zac_Efron/ZCY9rFPmLkE_0000032 760.0 765.6 
Zac_Efron/ZCY9rFPmLkE_0000033 785.2 789.5 
Zac_Efron/ZCY9rFPmLkE_0000034 795.0 804.2 
Zac_Efron/ZCY9rFPmLkE_0000035 837.8 842.8 
Zac_Efron/ZCY9rFPmLkE_0000036 844.2 848.6 
Zac_Efron/ZCY9rFPmLkE_0000037 853.1 860.0 
Zac_Efron/ZCY9rFPmLkE_0000038 900.5 906.3 
Zac_Efron/ZCY9rFPmLkE_0000039 943.4 947.4 
Zac_Efron/ZCY9rFPmLkE_0000040 962.4 966.8 
Zac_Efron/ZCY9rFPmLkE_0000041 973.2 977.2 
Zac_Efron/ZCY9rFPmLkE_0000042 977.9 990.4 
Zac_Efron/ZCY9rFPmLkE_0000043 991.5 996.1 
Zac_Efron/ZCY9rFPmLkE_0000044 1031.1 1035.4 
Zac_Efron/ZCY9rFPmLkE_0000045 1037.8 1046.7 
Zac_Efron/ZCY9rFPmLkE_0000046 1077.4 1084.2 
Zac_Efron/ZCY9rFPmLkE_0000047 1087.0 1096.5 
Zac_Efron/ZCY9rFPmLkE_0000048 1102.8 1109.0 
Zac_Efron/ZCY9rFPmLkE_0000049 1113.8 1127.8 
Zac_Efron/ZCY9rFPmLkE_0000050 1128.9 1133.2 
Zac_Efron/ZCY9rFPmLkE_0000051 1134.2 1139.4 
Zac_Efron/ZCY9rFPmLkE_0000052 1141.4 1146.6 
Zac_Efron/ZCY9rFPmLkE_0000053 1169.4 1175.3 
Zac_Efron/ZCY9rFPmLkE_0000054 1175.6 1180.7 
Zac_Efron/ZCY9rFPmLkE_0000055 1229.9 1249.6 
Zac_Efron/ZCY9rFPmLkE_0000056 1254.2 1267.6 
Zac_Efron/ZCY9rFPmLkE_0000057 1273.5 1278.0 
Zac_Efron/ZCY9rFPmLkE_0000058 1292.1 1296.6 
Zac_Efron/ZCY9rFPmLkE_0000059 1343.6 1350.0 
