POI: 			Ruth_Wilson 
Youtube ID: 	oVtC7dKBBDs 
Video length: 	1978.5 sec 
Set (V): 		dev 
 
Ruth_Wilson/oVtC7dKBBDs_0000001 91.2 99.2 
Ruth_Wilson/oVtC7dKBBDs_0000002 99.4 104.9 
Ruth_Wilson/oVtC7dKBBDs_0000003 106.2 110.9 
Ruth_Wilson/oVtC7dKBBDs_0000004 112.9 128.8 
Ruth_Wilson/oVtC7dKBBDs_0000005 130.5 135.4 
Ruth_Wilson/oVtC7dKBBDs_0000006 138.2 142.8 
Ruth_Wilson/oVtC7dKBBDs_0000007 171.3 179.4 
Ruth_Wilson/oVtC7dKBBDs_0000008 243.3 255.7 
Ruth_Wilson/oVtC7dKBBDs_0000009 259.4 275.2 
Ruth_Wilson/oVtC7dKBBDs_0000010 288.6 311.8 
Ruth_Wilson/oVtC7dKBBDs_0000011 278.3 285.9 
Ruth_Wilson/oVtC7dKBBDs_0000012 359.2 363.7 
Ruth_Wilson/oVtC7dKBBDs_0000013 375.1 382.4 
Ruth_Wilson/oVtC7dKBBDs_0000014 383.6 388.6 
Ruth_Wilson/oVtC7dKBBDs_0000015 468.0 474.9 
Ruth_Wilson/oVtC7dKBBDs_0000016 475.8 483.6 
Ruth_Wilson/oVtC7dKBBDs_0000017 487.2 500.6 
Ruth_Wilson/oVtC7dKBBDs_0000018 548.2 555.0 
Ruth_Wilson/oVtC7dKBBDs_0000019 556.2 568.6 
Ruth_Wilson/oVtC7dKBBDs_0000020 569.5 574.9 
Ruth_Wilson/oVtC7dKBBDs_0000021 673.0 678.6 
Ruth_Wilson/oVtC7dKBBDs_0000022 695.5 715.2 
Ruth_Wilson/oVtC7dKBBDs_0000023 716.0 729.9 
Ruth_Wilson/oVtC7dKBBDs_0000024 769.5 777.4 
Ruth_Wilson/oVtC7dKBBDs_0000025 922.5 931.0 
Ruth_Wilson/oVtC7dKBBDs_0000026 934.3 953.0 
Ruth_Wilson/oVtC7dKBBDs_0000027 953.8 965.7 
Ruth_Wilson/oVtC7dKBBDs_0000028 1166.3 1175.6 
Ruth_Wilson/oVtC7dKBBDs_0000029 1213.8 1225.8 
Ruth_Wilson/oVtC7dKBBDs_0000030 1229.9 1235.8 
Ruth_Wilson/oVtC7dKBBDs_0000031 1236.6 1244.6 
Ruth_Wilson/oVtC7dKBBDs_0000032 1250.4 1254.8 
Ruth_Wilson/oVtC7dKBBDs_0000033 1255.0 1262.7 
Ruth_Wilson/oVtC7dKBBDs_0000034 1264.1 1271.4 
Ruth_Wilson/oVtC7dKBBDs_0000035 1272.1 1285.4 
Ruth_Wilson/oVtC7dKBBDs_0000036 1319.5 1328.1 
Ruth_Wilson/oVtC7dKBBDs_0000037 1329.4 1338.5 
Ruth_Wilson/oVtC7dKBBDs_0000038 1391.3 1423.2 
Ruth_Wilson/oVtC7dKBBDs_0000039 1423.5 1432.7 
Ruth_Wilson/oVtC7dKBBDs_0000040 1440.8 1450.6 
Ruth_Wilson/oVtC7dKBBDs_0000041 1454.9 1462.3 
Ruth_Wilson/oVtC7dKBBDs_0000042 1715.4 1721.2 
Ruth_Wilson/oVtC7dKBBDs_0000043 1730.4 1738.2 
Ruth_Wilson/oVtC7dKBBDs_0000044 1743.4 1749.5 
Ruth_Wilson/oVtC7dKBBDs_0000045 1750.3 1760.3 
Ruth_Wilson/oVtC7dKBBDs_0000046 1767.5 1775.9 
Ruth_Wilson/oVtC7dKBBDs_0000047 1840.1 1853.0 
Ruth_Wilson/oVtC7dKBBDs_0000048 1859.1 1868.2 
Ruth_Wilson/oVtC7dKBBDs_0000049 1870.9 1876.7 
Ruth_Wilson/oVtC7dKBBDs_0000050 1885.9 1890.4 
Ruth_Wilson/oVtC7dKBBDs_0000051 1901.2 1906.5 
