POI: 			Mila_Kunis 
Youtube ID: 	VjAhMRwQY6M 
Video length: 	1587.0 sec 
Set (V): 		dev 
 
Mila_Kunis/VjAhMRwQY6M_0000001 27.6 37.8 
Mila_Kunis/VjAhMRwQY6M_0000002 63.6 68.9 
Mila_Kunis/VjAhMRwQY6M_0000003 71.0 76.6 
Mila_Kunis/VjAhMRwQY6M_0000004 98.2 107.7 
Mila_Kunis/VjAhMRwQY6M_0000005 136.6 141.6 
Mila_Kunis/VjAhMRwQY6M_0000006 157.1 162.2 
Mila_Kunis/VjAhMRwQY6M_0000007 166.4 175.6 
Mila_Kunis/VjAhMRwQY6M_0000008 181.6 195.0 
Mila_Kunis/VjAhMRwQY6M_0000009 238.8 243.5 
Mila_Kunis/VjAhMRwQY6M_0000010 270.7 278.5 
Mila_Kunis/VjAhMRwQY6M_0000011 309.7 315.3 
Mila_Kunis/VjAhMRwQY6M_0000012 322.8 327.0 
Mila_Kunis/VjAhMRwQY6M_0000013 332.4 340.6 
Mila_Kunis/VjAhMRwQY6M_0000014 349.7 356.5 
Mila_Kunis/VjAhMRwQY6M_0000015 360.3 364.3 
Mila_Kunis/VjAhMRwQY6M_0000016 370.2 377.3 
Mila_Kunis/VjAhMRwQY6M_0000017 390.0 399.6 
Mila_Kunis/VjAhMRwQY6M_0000018 400.0 408.4 
Mila_Kunis/VjAhMRwQY6M_0000019 416.0 435.7 
Mila_Kunis/VjAhMRwQY6M_0000020 437.6 453.9 
Mila_Kunis/VjAhMRwQY6M_0000021 454.4 460.9 
Mila_Kunis/VjAhMRwQY6M_0000022 489.5 493.9 
Mila_Kunis/VjAhMRwQY6M_0000023 496.0 513.6 
Mila_Kunis/VjAhMRwQY6M_0000024 543.5 552.8 
Mila_Kunis/VjAhMRwQY6M_0000025 553.5 558.5 
Mila_Kunis/VjAhMRwQY6M_0000026 558.8 565.5 
Mila_Kunis/VjAhMRwQY6M_0000027 681.0 685.5 
Mila_Kunis/VjAhMRwQY6M_0000028 690.2 694.5 
Mila_Kunis/VjAhMRwQY6M_0000029 697.4 705.1 
Mila_Kunis/VjAhMRwQY6M_0000030 709.1 715.2 
Mila_Kunis/VjAhMRwQY6M_0000031 719.8 731.4 
Mila_Kunis/VjAhMRwQY6M_0000032 731.6 743.2 
Mila_Kunis/VjAhMRwQY6M_0000033 751.2 757.1 
Mila_Kunis/VjAhMRwQY6M_0000034 760.9 765.8 
Mila_Kunis/VjAhMRwQY6M_0000035 783.8 788.0 
Mila_Kunis/VjAhMRwQY6M_0000036 825.6 833.0 
Mila_Kunis/VjAhMRwQY6M_0000037 861.9 870.4 
Mila_Kunis/VjAhMRwQY6M_0000038 963.2 969.3 
Mila_Kunis/VjAhMRwQY6M_0000039 1002.9 1009.0 
Mila_Kunis/VjAhMRwQY6M_0000040 1010.0 1023.4 
Mila_Kunis/VjAhMRwQY6M_0000041 1033.8 1040.0 
Mila_Kunis/VjAhMRwQY6M_0000042 1052.4 1060.9 
Mila_Kunis/VjAhMRwQY6M_0000043 1076.5 1086.2 
Mila_Kunis/VjAhMRwQY6M_0000044 1087.7 1092.6 
Mila_Kunis/VjAhMRwQY6M_0000045 1098.0 1108.2 
Mila_Kunis/VjAhMRwQY6M_0000046 1130.2 1135.0 
Mila_Kunis/VjAhMRwQY6M_0000047 1160.5 1166.5 
Mila_Kunis/VjAhMRwQY6M_0000048 1174.3 1178.6 
Mila_Kunis/VjAhMRwQY6M_0000049 1183.8 1191.0 
Mila_Kunis/VjAhMRwQY6M_0000050 1144.3 1166.6 
Mila_Kunis/VjAhMRwQY6M_0000051 1241.0 1253.4 
Mila_Kunis/VjAhMRwQY6M_0000052 1256.2 1260.6 
Mila_Kunis/VjAhMRwQY6M_0000053 1275.3 1291.6 
Mila_Kunis/VjAhMRwQY6M_0000054 1330.9 1334.8 
Mila_Kunis/VjAhMRwQY6M_0000055 1337.6 1342.0 
Mila_Kunis/VjAhMRwQY6M_0000056 1357.8 1363.6 
Mila_Kunis/VjAhMRwQY6M_0000057 1366.8 1376.5 
Mila_Kunis/VjAhMRwQY6M_0000058 1392.2 1396.8 
Mila_Kunis/VjAhMRwQY6M_0000059 1396.9 1412.8 
Mila_Kunis/VjAhMRwQY6M_0000060 1444.6 1450.0 
Mila_Kunis/VjAhMRwQY6M_0000061 1485.2 1490.8 
Mila_Kunis/VjAhMRwQY6M_0000062 1491.0 1507.1 
Mila_Kunis/VjAhMRwQY6M_0000063 1532.8 1539.7 
Mila_Kunis/VjAhMRwQY6M_0000064 1542.6 1548.6 
Mila_Kunis/VjAhMRwQY6M_0000065 1550.2 1556.0 
Mila_Kunis/VjAhMRwQY6M_0000066 1556.8 1561.2 
Mila_Kunis/VjAhMRwQY6M_0000067 1565.1 1575.6 
