POI: 			Meat_Loaf 
Youtube ID: 	h8sOdjKVPLA 
Video length: 	1199.6 sec 
Set (V): 		dev 
 
Meat_Loaf/h8sOdjKVPLA_0000001 56.3 61.3 
Meat_Loaf/h8sOdjKVPLA_0000002 99.5 106.4 
Meat_Loaf/h8sOdjKVPLA_0000003 126.2 131.2 
Meat_Loaf/h8sOdjKVPLA_0000004 134.2 138.6 
Meat_Loaf/h8sOdjKVPLA_0000005 140.1 151.6 
Meat_Loaf/h8sOdjKVPLA_0000006 155.3 163.0 
Meat_Loaf/h8sOdjKVPLA_0000007 164.0 175.0 
Meat_Loaf/h8sOdjKVPLA_0000008 155.4 174.8 
Meat_Loaf/h8sOdjKVPLA_0000009 204.6 209.3 
Meat_Loaf/h8sOdjKVPLA_0000010 220.6 226.7 
Meat_Loaf/h8sOdjKVPLA_0000011 227.2 239.1 
Meat_Loaf/h8sOdjKVPLA_0000012 253.3 259.3 
Meat_Loaf/h8sOdjKVPLA_0000013 272.7 281.6 
Meat_Loaf/h8sOdjKVPLA_0000014 289.1 298.3 
Meat_Loaf/h8sOdjKVPLA_0000015 304.6 311.1 
Meat_Loaf/h8sOdjKVPLA_0000016 344.0 349.4 
Meat_Loaf/h8sOdjKVPLA_0000017 359.1 367.0 
Meat_Loaf/h8sOdjKVPLA_0000018 367.9 373.8 
Meat_Loaf/h8sOdjKVPLA_0000019 416.3 422.7 
Meat_Loaf/h8sOdjKVPLA_0000020 423.5 427.7 
Meat_Loaf/h8sOdjKVPLA_0000021 428.2 432.2 
Meat_Loaf/h8sOdjKVPLA_0000022 449.0 458.4 
Meat_Loaf/h8sOdjKVPLA_0000023 507.3 518.4 
Meat_Loaf/h8sOdjKVPLA_0000024 540.5 545.2 
Meat_Loaf/h8sOdjKVPLA_0000025 593.7 597.8 
Meat_Loaf/h8sOdjKVPLA_0000026 598.1 602.5 
Meat_Loaf/h8sOdjKVPLA_0000027 629.0 637.6 
Meat_Loaf/h8sOdjKVPLA_0000028 662.2 666.3 
Meat_Loaf/h8sOdjKVPLA_0000029 672.6 677.4 
Meat_Loaf/h8sOdjKVPLA_0000030 687.0 694.3 
Meat_Loaf/h8sOdjKVPLA_0000031 700.1 711.5 
Meat_Loaf/h8sOdjKVPLA_0000032 738.9 743.2 
Meat_Loaf/h8sOdjKVPLA_0000033 803.7 808.8 
Meat_Loaf/h8sOdjKVPLA_0000034 834.0 840.3 
Meat_Loaf/h8sOdjKVPLA_0000035 841.3 847.7 
Meat_Loaf/h8sOdjKVPLA_0000036 847.8 853.7 
Meat_Loaf/h8sOdjKVPLA_0000037 849.4 853.7 
Meat_Loaf/h8sOdjKVPLA_0000038 861.9 866.3 
Meat_Loaf/h8sOdjKVPLA_0000039 898.0 904.5 
Meat_Loaf/h8sOdjKVPLA_0000040 905.4 911.2 
Meat_Loaf/h8sOdjKVPLA_0000041 925.5 932.9 
Meat_Loaf/h8sOdjKVPLA_0000042 987.3 1004.7 
Meat_Loaf/h8sOdjKVPLA_0000043 1007.8 1011.7 
Meat_Loaf/h8sOdjKVPLA_0000044 1023.9 1029.6 
Meat_Loaf/h8sOdjKVPLA_0000045 1033.5 1039.8 
Meat_Loaf/h8sOdjKVPLA_0000046 1066.5 1073.5 
Meat_Loaf/h8sOdjKVPLA_0000047 1075.2 1081.6 
Meat_Loaf/h8sOdjKVPLA_0000048 1084.0 1091.4 
Meat_Loaf/h8sOdjKVPLA_0000049 1133.9 1146.4 
Meat_Loaf/h8sOdjKVPLA_0000050 1147.8 1161.3 
Meat_Loaf/h8sOdjKVPLA_0000051 1170.5 1175.7 
