POI: 			Meat_Loaf 
Youtube ID: 	VFqmLvxORzQ 
Video length: 	595.4 sec 
Set (V): 		dev 
 
Meat_Loaf/VFqmLvxORzQ_0000001 12.7 17.5 
Meat_Loaf/VFqmLvxORzQ_0000002 23.6 33.4 
Meat_Loaf/VFqmLvxORzQ_0000003 34.2 46.2 
Meat_Loaf/VFqmLvxORzQ_0000004 62.7 78.6 
Meat_Loaf/VFqmLvxORzQ_0000005 78.8 84.6 
Meat_Loaf/VFqmLvxORzQ_0000006 84.9 89.8 
Meat_Loaf/VFqmLvxORzQ_0000007 92.5 100.8 
Meat_Loaf/VFqmLvxORzQ_0000008 102.7 108.2 
Meat_Loaf/VFqmLvxORzQ_0000009 111.0 116.1 
Meat_Loaf/VFqmLvxORzQ_0000010 120.8 131.0 
Meat_Loaf/VFqmLvxORzQ_0000011 136.6 165.6 
Meat_Loaf/VFqmLvxORzQ_0000012 167.1 179.7 
Meat_Loaf/VFqmLvxORzQ_0000013 179.9 196.0 
Meat_Loaf/VFqmLvxORzQ_0000014 201.5 208.8 
Meat_Loaf/VFqmLvxORzQ_0000015 213.7 221.0 
Meat_Loaf/VFqmLvxORzQ_0000016 224.3 229.3 
Meat_Loaf/VFqmLvxORzQ_0000017 229.8 237.6 
Meat_Loaf/VFqmLvxORzQ_0000018 230.5 241.1 
Meat_Loaf/VFqmLvxORzQ_0000019 247.1 257.9 
Meat_Loaf/VFqmLvxORzQ_0000020 258.0 262.2 
Meat_Loaf/VFqmLvxORzQ_0000021 264.1 287.8 
Meat_Loaf/VFqmLvxORzQ_0000022 288.0 296.8 
Meat_Loaf/VFqmLvxORzQ_0000023 300.3 307.9 
Meat_Loaf/VFqmLvxORzQ_0000024 315.7 321.5 
Meat_Loaf/VFqmLvxORzQ_0000025 323.7 330.3 
Meat_Loaf/VFqmLvxORzQ_0000026 336.4 345.9 
Meat_Loaf/VFqmLvxORzQ_0000027 346.8 376.5 
Meat_Loaf/VFqmLvxORzQ_0000028 377.3 384.0 
Meat_Loaf/VFqmLvxORzQ_0000029 390.8 397.7 
Meat_Loaf/VFqmLvxORzQ_0000030 398.8 403.1 
Meat_Loaf/VFqmLvxORzQ_0000031 403.6 408.8 
Meat_Loaf/VFqmLvxORzQ_0000032 418.0 430.2 
Meat_Loaf/VFqmLvxORzQ_0000033 430.7 435.2 
Meat_Loaf/VFqmLvxORzQ_0000034 436.0 442.6 
Meat_Loaf/VFqmLvxORzQ_0000035 443.4 460.0 
Meat_Loaf/VFqmLvxORzQ_0000036 488.3 498.0 
Meat_Loaf/VFqmLvxORzQ_0000037 500.1 513.2 
Meat_Loaf/VFqmLvxORzQ_0000038 519.5 528.0 
Meat_Loaf/VFqmLvxORzQ_0000039 528.4 536.7 
Meat_Loaf/VFqmLvxORzQ_0000040 541.9 552.0 
Meat_Loaf/VFqmLvxORzQ_0000041 553.8 566.3 
Meat_Loaf/VFqmLvxORzQ_0000042 580.2 584.2 
