POI: 			Meat_Loaf 
Youtube ID: 	bW6NQ7_tDTs 
Video length: 	638.3 sec 
Set (V): 		dev 
 
Meat_Loaf/bW6NQ7_tDTs_0000001 10.0 15.1 
Meat_Loaf/bW6NQ7_tDTs_0000002 22.4 40.3 
Meat_Loaf/bW6NQ7_tDTs_0000003 46.4 54.0 
Meat_Loaf/bW6NQ7_tDTs_0000004 54.8 62.4 
Meat_Loaf/bW6NQ7_tDTs_0000005 70.8 84.2 
Meat_Loaf/bW6NQ7_tDTs_0000006 86.4 100.8 
Meat_Loaf/bW6NQ7_tDTs_0000007 101.8 105.9 
Meat_Loaf/bW6NQ7_tDTs_0000008 117.7 124.1 
Meat_Loaf/bW6NQ7_tDTs_0000009 139.8 145.6 
Meat_Loaf/bW6NQ7_tDTs_0000010 146.5 151.2 
Meat_Loaf/bW6NQ7_tDTs_0000011 152.1 160.9 
Meat_Loaf/bW6NQ7_tDTs_0000012 176.6 184.7 
Meat_Loaf/bW6NQ7_tDTs_0000013 186.2 193.8 
Meat_Loaf/bW6NQ7_tDTs_0000014 196.0 201.8 
Meat_Loaf/bW6NQ7_tDTs_0000015 207.0 211.9 
Meat_Loaf/bW6NQ7_tDTs_0000016 213.0 219.1 
Meat_Loaf/bW6NQ7_tDTs_0000017 226.4 231.0 
Meat_Loaf/bW6NQ7_tDTs_0000018 231.6 237.4 
Meat_Loaf/bW6NQ7_tDTs_0000019 242.4 249.4 
Meat_Loaf/bW6NQ7_tDTs_0000020 249.8 254.5 
Meat_Loaf/bW6NQ7_tDTs_0000021 257.9 280.6 
Meat_Loaf/bW6NQ7_tDTs_0000022 281.1 286.2 
Meat_Loaf/bW6NQ7_tDTs_0000023 259.8 265.3 
Meat_Loaf/bW6NQ7_tDTs_0000024 306.0 312.9 
Meat_Loaf/bW6NQ7_tDTs_0000025 314.0 319.1 
Meat_Loaf/bW6NQ7_tDTs_0000026 324.9 337.5 
Meat_Loaf/bW6NQ7_tDTs_0000027 342.7 347.0 
Meat_Loaf/bW6NQ7_tDTs_0000028 351.4 357.2 
Meat_Loaf/bW6NQ7_tDTs_0000029 359.4 375.4 
Meat_Loaf/bW6NQ7_tDTs_0000030 383.2 390.2 
Meat_Loaf/bW6NQ7_tDTs_0000031 391.7 396.4 
Meat_Loaf/bW6NQ7_tDTs_0000032 399.8 404.7 
Meat_Loaf/bW6NQ7_tDTs_0000033 408.6 423.0 
Meat_Loaf/bW6NQ7_tDTs_0000034 426.9 431.6 
Meat_Loaf/bW6NQ7_tDTs_0000035 432.0 453.4 
Meat_Loaf/bW6NQ7_tDTs_0000036 457.6 469.5 
Meat_Loaf/bW6NQ7_tDTs_0000037 469.7 475.6 
Meat_Loaf/bW6NQ7_tDTs_0000038 475.9 488.7 
Meat_Loaf/bW6NQ7_tDTs_0000039 489.8 497.8 
Meat_Loaf/bW6NQ7_tDTs_0000040 499.3 506.7 
Meat_Loaf/bW6NQ7_tDTs_0000041 508.0 518.2 
Meat_Loaf/bW6NQ7_tDTs_0000042 549.6 561.4 
Meat_Loaf/bW6NQ7_tDTs_0000043 572.6 586.3 
Meat_Loaf/bW6NQ7_tDTs_0000044 572.6 586.3 
Meat_Loaf/bW6NQ7_tDTs_0000045 594.8 614.8 
Meat_Loaf/bW6NQ7_tDTs_0000046 626.0 632.4 
