POI: 			David_Morrissey 
Youtube ID: 	wGmvwR67Uag 
Video length: 	1429.5 sec 
Set (V): 		dev 
 
David_Morrissey/wGmvwR67Uag_0000001 100.8 110.6 
David_Morrissey/wGmvwR67Uag_0000002 111.8 117.8 
David_Morrissey/wGmvwR67Uag_0000003 118.2 122.2 
David_Morrissey/wGmvwR67Uag_0000004 123.1 132.4 
David_Morrissey/wGmvwR67Uag_0000005 168.8 176.3 
David_Morrissey/wGmvwR67Uag_0000006 178.1 185.0 
David_Morrissey/wGmvwR67Uag_0000007 274.8 279.8 
David_Morrissey/wGmvwR67Uag_0000008 280.7 287.4 
David_Morrissey/wGmvwR67Uag_0000009 313.9 323.8 
David_Morrissey/wGmvwR67Uag_0000010 327.4 334.8 
David_Morrissey/wGmvwR67Uag_0000011 335.5 348.7 
David_Morrissey/wGmvwR67Uag_0000012 376.0 385.4 
David_Morrissey/wGmvwR67Uag_0000013 385.5 389.7 
David_Morrissey/wGmvwR67Uag_0000014 390.4 395.4 
David_Morrissey/wGmvwR67Uag_0000015 416.1 421.3 
David_Morrissey/wGmvwR67Uag_0000016 428.8 435.6 
David_Morrissey/wGmvwR67Uag_0000017 467.9 477.3 
David_Morrissey/wGmvwR67Uag_0000018 486.1 490.1 
David_Morrissey/wGmvwR67Uag_0000019 490.8 505.3 
David_Morrissey/wGmvwR67Uag_0000020 506.4 513.9 
David_Morrissey/wGmvwR67Uag_0000021 647.2 669.2 
David_Morrissey/wGmvwR67Uag_0000022 672.8 678.5 
David_Morrissey/wGmvwR67Uag_0000023 1056.9 1061.1 
David_Morrissey/wGmvwR67Uag_0000024 1083.5 1088.8 
David_Morrissey/wGmvwR67Uag_0000025 1171.2 1177.3 
David_Morrissey/wGmvwR67Uag_0000026 1195.4 1199.7 
David_Morrissey/wGmvwR67Uag_0000027 1213.8 1218.2 
David_Morrissey/wGmvwR67Uag_0000028 1218.3 1223.8 
David_Morrissey/wGmvwR67Uag_0000029 1226.0 1230.1 
David_Morrissey/wGmvwR67Uag_0000030 1276.2 1283.4 
David_Morrissey/wGmvwR67Uag_0000031 1312.8 1323.1 
David_Morrissey/wGmvwR67Uag_0000032 1325.7 1330.6 
David_Morrissey/wGmvwR67Uag_0000033 1368.4 1378.8 
David_Morrissey/wGmvwR67Uag_0000034 1380.5 1384.9 
