POI: 			Veronica_Ferres 
Youtube ID: 	iVMFwnEPwLA 
Video length: 	1904.8 sec 
Set (V): 		dev 
 
Veronica_Ferres/iVMFwnEPwLA_0000001 53.8 82.6 
Veronica_Ferres/iVMFwnEPwLA_0000002 83.5 89.2 
Veronica_Ferres/iVMFwnEPwLA_0000003 130.8 139.2 
Veronica_Ferres/iVMFwnEPwLA_0000004 151.5 162.2 
Veronica_Ferres/iVMFwnEPwLA_0000005 164.2 168.9 
Veronica_Ferres/iVMFwnEPwLA_0000006 204.0 214.5 
Veronica_Ferres/iVMFwnEPwLA_0000007 223.0 230.0 
Veronica_Ferres/iVMFwnEPwLA_0000008 230.2 234.5 
Veronica_Ferres/iVMFwnEPwLA_0000009 235.6 242.4 
Veronica_Ferres/iVMFwnEPwLA_0000010 260.4 265.1 
Veronica_Ferres/iVMFwnEPwLA_0000011 284.5 293.8 
Veronica_Ferres/iVMFwnEPwLA_0000012 309.3 315.9 
Veronica_Ferres/iVMFwnEPwLA_0000013 316.0 325.6 
Veronica_Ferres/iVMFwnEPwLA_0000014 343.3 363.4 
Veronica_Ferres/iVMFwnEPwLA_0000015 375.2 380.4 
Veronica_Ferres/iVMFwnEPwLA_0000016 407.7 412.5 
Veronica_Ferres/iVMFwnEPwLA_0000017 413.1 417.2 
Veronica_Ferres/iVMFwnEPwLA_0000018 423.2 432.4 
Veronica_Ferres/iVMFwnEPwLA_0000019 460.7 465.5 
Veronica_Ferres/iVMFwnEPwLA_0000020 473.8 490.0 
Veronica_Ferres/iVMFwnEPwLA_0000021 490.7 516.9 
Veronica_Ferres/iVMFwnEPwLA_0000022 542.0 548.2 
Veronica_Ferres/iVMFwnEPwLA_0000023 571.7 578.6 
Veronica_Ferres/iVMFwnEPwLA_0000024 590.9 595.3 
Veronica_Ferres/iVMFwnEPwLA_0000025 596.7 600.8 
Veronica_Ferres/iVMFwnEPwLA_0000026 645.4 659.6 
Veronica_Ferres/iVMFwnEPwLA_0000027 680.0 685.2 
Veronica_Ferres/iVMFwnEPwLA_0000028 687.8 693.1 
Veronica_Ferres/iVMFwnEPwLA_0000029 698.1 703.4 
Veronica_Ferres/iVMFwnEPwLA_0000030 958.3 967.2 
Veronica_Ferres/iVMFwnEPwLA_0000031 980.2 993.0 
Veronica_Ferres/iVMFwnEPwLA_0000032 994.0 1000.6 
Veronica_Ferres/iVMFwnEPwLA_0000033 1025.4 1032.7 
Veronica_Ferres/iVMFwnEPwLA_0000034 1038.9 1046.2 
Veronica_Ferres/iVMFwnEPwLA_0000035 1048.4 1054.5 
Veronica_Ferres/iVMFwnEPwLA_0000036 1055.4 1061.4 
Veronica_Ferres/iVMFwnEPwLA_0000037 1071.9 1078.3 
Veronica_Ferres/iVMFwnEPwLA_0000038 1078.7 1089.1 
Veronica_Ferres/iVMFwnEPwLA_0000039 1104.2 1111.9 
Veronica_Ferres/iVMFwnEPwLA_0000040 1114.8 1119.6 
Veronica_Ferres/iVMFwnEPwLA_0000041 1119.8 1123.7 
Veronica_Ferres/iVMFwnEPwLA_0000042 1156.6 1162.6 
Veronica_Ferres/iVMFwnEPwLA_0000043 1165.2 1172.8 
Veronica_Ferres/iVMFwnEPwLA_0000044 1485.1 1490.9 
Veronica_Ferres/iVMFwnEPwLA_0000045 1510.8 1523.0 
Veronica_Ferres/iVMFwnEPwLA_0000046 1529.4 1548.3 
Veronica_Ferres/iVMFwnEPwLA_0000047 1557.9 1563.4 
Veronica_Ferres/iVMFwnEPwLA_0000048 1585.0 1590.7 
