POI: 			Gloria_Steinem 
Youtube ID: 	Wy8sFgdylRc 
Video length: 	3161.9 sec 
Set (V): 		dev 
 
Gloria_Steinem/Wy8sFgdylRc_0000001 13.9 19.9 
Gloria_Steinem/Wy8sFgdylRc_0000002 23.2 32.0 
Gloria_Steinem/Wy8sFgdylRc_0000003 32.5 37.3 
Gloria_Steinem/Wy8sFgdylRc_0000004 39.3 43.8 
Gloria_Steinem/Wy8sFgdylRc_0000005 44.7 49.2 
Gloria_Steinem/Wy8sFgdylRc_0000006 68.0 73.5 
Gloria_Steinem/Wy8sFgdylRc_0000007 74.2 81.0 
Gloria_Steinem/Wy8sFgdylRc_0000008 104.9 112.6 
Gloria_Steinem/Wy8sFgdylRc_0000009 119.4 126.0 
Gloria_Steinem/Wy8sFgdylRc_0000010 140.6 145.2 
Gloria_Steinem/Wy8sFgdylRc_0000011 158.6 163.6 
Gloria_Steinem/Wy8sFgdylRc_0000012 171.4 182.1 
Gloria_Steinem/Wy8sFgdylRc_0000013 185.5 192.5 
Gloria_Steinem/Wy8sFgdylRc_0000014 288.9 294.2 
Gloria_Steinem/Wy8sFgdylRc_0000015 307.4 313.9 
Gloria_Steinem/Wy8sFgdylRc_0000016 317.9 323.5 
Gloria_Steinem/Wy8sFgdylRc_0000017 333.0 339.1 
Gloria_Steinem/Wy8sFgdylRc_0000018 400.3 404.4 
Gloria_Steinem/Wy8sFgdylRc_0000019 410.1 414.1 
Gloria_Steinem/Wy8sFgdylRc_0000020 415.8 423.0 
Gloria_Steinem/Wy8sFgdylRc_0000021 428.2 444.1 
Gloria_Steinem/Wy8sFgdylRc_0000022 444.6 450.1 
Gloria_Steinem/Wy8sFgdylRc_0000023 507.1 511.2 
Gloria_Steinem/Wy8sFgdylRc_0000024 512.9 520.0 
Gloria_Steinem/Wy8sFgdylRc_0000025 525.0 531.7 
Gloria_Steinem/Wy8sFgdylRc_0000026 536.5 550.9 
Gloria_Steinem/Wy8sFgdylRc_0000027 553.1 567.3 
Gloria_Steinem/Wy8sFgdylRc_0000028 568.2 574.4 
Gloria_Steinem/Wy8sFgdylRc_0000029 665.7 670.2 
Gloria_Steinem/Wy8sFgdylRc_0000030 671.1 687.4 
Gloria_Steinem/Wy8sFgdylRc_0000031 689.0 694.7 
Gloria_Steinem/Wy8sFgdylRc_0000032 701.4 706.1 
Gloria_Steinem/Wy8sFgdylRc_0000033 707.0 717.3 
Gloria_Steinem/Wy8sFgdylRc_0000034 741.3 746.0 
Gloria_Steinem/Wy8sFgdylRc_0000035 746.5 755.2 
Gloria_Steinem/Wy8sFgdylRc_0000036 757.8 770.3 
Gloria_Steinem/Wy8sFgdylRc_0000037 774.8 785.5 
Gloria_Steinem/Wy8sFgdylRc_0000038 792.8 797.2 
Gloria_Steinem/Wy8sFgdylRc_0000039 798.1 803.3 
Gloria_Steinem/Wy8sFgdylRc_0000040 816.2 821.0 
Gloria_Steinem/Wy8sFgdylRc_0000041 837.6 843.7 
Gloria_Steinem/Wy8sFgdylRc_0000042 874.1 878.3 
Gloria_Steinem/Wy8sFgdylRc_0000043 890.9 897.4 
Gloria_Steinem/Wy8sFgdylRc_0000044 943.9 949.6 
Gloria_Steinem/Wy8sFgdylRc_0000045 950.6 962.5 
Gloria_Steinem/Wy8sFgdylRc_0000046 969.4 975.0 
Gloria_Steinem/Wy8sFgdylRc_0000047 986.5 992.2 
Gloria_Steinem/Wy8sFgdylRc_0000048 992.7 1002.2 
Gloria_Steinem/Wy8sFgdylRc_0000049 1024.8 1031.2 
Gloria_Steinem/Wy8sFgdylRc_0000050 1037.2 1041.8 
Gloria_Steinem/Wy8sFgdylRc_0000051 1043.9 1048.8 
Gloria_Steinem/Wy8sFgdylRc_0000052 1101.4 1112.4 
Gloria_Steinem/Wy8sFgdylRc_0000053 1133.6 1137.6 
Gloria_Steinem/Wy8sFgdylRc_0000054 1141.7 1148.0 
Gloria_Steinem/Wy8sFgdylRc_0000055 1148.2 1153.8 
Gloria_Steinem/Wy8sFgdylRc_0000056 1154.5 1169.7 
Gloria_Steinem/Wy8sFgdylRc_0000057 1176.4 1183.0 
Gloria_Steinem/Wy8sFgdylRc_0000058 1185.2 1194.3 
Gloria_Steinem/Wy8sFgdylRc_0000059 1203.8 1207.9 
Gloria_Steinem/Wy8sFgdylRc_0000060 1223.4 1232.5 
Gloria_Steinem/Wy8sFgdylRc_0000061 1389.9 1407.8 
Gloria_Steinem/Wy8sFgdylRc_0000062 1411.0 1415.4 
Gloria_Steinem/Wy8sFgdylRc_0000063 1417.2 1426.2 
Gloria_Steinem/Wy8sFgdylRc_0000064 1444.4 1461.1 
Gloria_Steinem/Wy8sFgdylRc_0000065 1461.6 1467.6 
Gloria_Steinem/Wy8sFgdylRc_0000066 1474.9 1483.6 
Gloria_Steinem/Wy8sFgdylRc_0000067 1509.7 1515.0 
Gloria_Steinem/Wy8sFgdylRc_0000068 1520.1 1526.0 
Gloria_Steinem/Wy8sFgdylRc_0000069 1526.7 1531.0 
Gloria_Steinem/Wy8sFgdylRc_0000070 1531.3 1538.8 
Gloria_Steinem/Wy8sFgdylRc_0000071 1540.0 1547.0 
Gloria_Steinem/Wy8sFgdylRc_0000072 1547.6 1551.5 
Gloria_Steinem/Wy8sFgdylRc_0000073 1618.7 1632.6 
Gloria_Steinem/Wy8sFgdylRc_0000074 1634.8 1652.6 
Gloria_Steinem/Wy8sFgdylRc_0000075 1653.6 1675.8 
Gloria_Steinem/Wy8sFgdylRc_0000076 1676.2 1687.6 
Gloria_Steinem/Wy8sFgdylRc_0000077 1700.2 1711.2 
Gloria_Steinem/Wy8sFgdylRc_0000078 1719.5 1736.4 
Gloria_Steinem/Wy8sFgdylRc_0000079 1736.8 1742.9 
Gloria_Steinem/Wy8sFgdylRc_0000080 1745.3 1751.7 
Gloria_Steinem/Wy8sFgdylRc_0000081 1800.9 1805.3 
Gloria_Steinem/Wy8sFgdylRc_0000082 1808.2 1815.6 
Gloria_Steinem/Wy8sFgdylRc_0000083 1817.9 1824.0 
Gloria_Steinem/Wy8sFgdylRc_0000084 1852.4 1864.6 
Gloria_Steinem/Wy8sFgdylRc_0000085 1865.4 1873.1 
Gloria_Steinem/Wy8sFgdylRc_0000086 1873.6 1880.6 
Gloria_Steinem/Wy8sFgdylRc_0000087 1884.5 1889.4 
Gloria_Steinem/Wy8sFgdylRc_0000088 1890.7 1899.8 
Gloria_Steinem/Wy8sFgdylRc_0000089 1903.2 1912.8 
Gloria_Steinem/Wy8sFgdylRc_0000090 1913.4 1917.8 
Gloria_Steinem/Wy8sFgdylRc_0000091 1950.2 1972.7 
Gloria_Steinem/Wy8sFgdylRc_0000092 1973.8 1978.1 
Gloria_Steinem/Wy8sFgdylRc_0000093 1981.0 1985.0 
Gloria_Steinem/Wy8sFgdylRc_0000094 1996.5 2003.9 
Gloria_Steinem/Wy8sFgdylRc_0000095 2117.8 2122.5 
Gloria_Steinem/Wy8sFgdylRc_0000096 2131.2 2135.7 
Gloria_Steinem/Wy8sFgdylRc_0000097 2137.6 2142.4 
Gloria_Steinem/Wy8sFgdylRc_0000098 2156.3 2162.8 
Gloria_Steinem/Wy8sFgdylRc_0000099 2163.8 2167.9 
Gloria_Steinem/Wy8sFgdylRc_0000100 2250.9 2255.6 
Gloria_Steinem/Wy8sFgdylRc_0000101 2284.6 2288.9 
Gloria_Steinem/Wy8sFgdylRc_0000102 2295.5 2304.2 
Gloria_Steinem/Wy8sFgdylRc_0000103 2311.9 2317.2 
Gloria_Steinem/Wy8sFgdylRc_0000104 2382.7 2389.4 
Gloria_Steinem/Wy8sFgdylRc_0000105 2424.1 2429.3 
Gloria_Steinem/Wy8sFgdylRc_0000106 2438.8 2444.2 
Gloria_Steinem/Wy8sFgdylRc_0000107 2452.4 2458.1 
Gloria_Steinem/Wy8sFgdylRc_0000108 2458.3 2467.2 
Gloria_Steinem/Wy8sFgdylRc_0000109 2477.2 2481.7 
Gloria_Steinem/Wy8sFgdylRc_0000110 2482.5 2493.3 
Gloria_Steinem/Wy8sFgdylRc_0000111 2494.1 2504.2 
Gloria_Steinem/Wy8sFgdylRc_0000112 2509.0 2518.5 
Gloria_Steinem/Wy8sFgdylRc_0000113 2646.3 2656.2 
Gloria_Steinem/Wy8sFgdylRc_0000114 2660.2 2665.1 
Gloria_Steinem/Wy8sFgdylRc_0000115 2676.8 2681.2 
Gloria_Steinem/Wy8sFgdylRc_0000116 2697.4 2704.4 
Gloria_Steinem/Wy8sFgdylRc_0000117 2705.1 2710.8 
Gloria_Steinem/Wy8sFgdylRc_0000118 2713.7 2718.6 
Gloria_Steinem/Wy8sFgdylRc_0000119 2729.6 2735.4 
Gloria_Steinem/Wy8sFgdylRc_0000120 2784.8 2790.2 
Gloria_Steinem/Wy8sFgdylRc_0000121 2805.8 2813.3 
Gloria_Steinem/Wy8sFgdylRc_0000122 2814.4 2819.2 
Gloria_Steinem/Wy8sFgdylRc_0000123 2825.7 2836.8 
Gloria_Steinem/Wy8sFgdylRc_0000124 2841.9 2847.8 
Gloria_Steinem/Wy8sFgdylRc_0000125 2864.0 2868.9 
Gloria_Steinem/Wy8sFgdylRc_0000126 2871.4 2891.9 
Gloria_Steinem/Wy8sFgdylRc_0000127 2898.7 2903.3 
Gloria_Steinem/Wy8sFgdylRc_0000128 2974.4 2980.8 
Gloria_Steinem/Wy8sFgdylRc_0000129 2986.1 2990.4 
Gloria_Steinem/Wy8sFgdylRc_0000130 3021.6 3028.5 
Gloria_Steinem/Wy8sFgdylRc_0000131 3040.1 3055.1 
Gloria_Steinem/Wy8sFgdylRc_0000132 3056.2 3062.2 
Gloria_Steinem/Wy8sFgdylRc_0000133 3084.2 3093.1 
Gloria_Steinem/Wy8sFgdylRc_0000134 3105.0 3110.7 
