POI: 			Chazz_Palminteri 
Youtube ID: 	XseYDfLdjmc 
Video length: 	1551.2 sec 
Set (V): 		dev 
 
Chazz_Palminteri/XseYDfLdjmc_0000001 65.9 91.1 
Chazz_Palminteri/XseYDfLdjmc_0000002 98.2 104.8 
Chazz_Palminteri/XseYDfLdjmc_0000003 150.1 155.0 
Chazz_Palminteri/XseYDfLdjmc_0000004 180.0 190.4 
Chazz_Palminteri/XseYDfLdjmc_0000005 211.2 221.1 
Chazz_Palminteri/XseYDfLdjmc_0000006 229.9 236.2 
Chazz_Palminteri/XseYDfLdjmc_0000007 236.4 242.7 
Chazz_Palminteri/XseYDfLdjmc_0000008 229.9 236.1 
Chazz_Palminteri/XseYDfLdjmc_0000009 247.6 263.4 
Chazz_Palminteri/XseYDfLdjmc_0000010 289.7 301.4 
Chazz_Palminteri/XseYDfLdjmc_0000011 301.9 323.6 
Chazz_Palminteri/XseYDfLdjmc_0000012 326.7 336.0 
Chazz_Palminteri/XseYDfLdjmc_0000013 324.7 330.2 
Chazz_Palminteri/XseYDfLdjmc_0000014 338.9 347.2 
Chazz_Palminteri/XseYDfLdjmc_0000015 350.4 361.5 
Chazz_Palminteri/XseYDfLdjmc_0000016 362.5 369.4 
Chazz_Palminteri/XseYDfLdjmc_0000017 370.1 375.5 
Chazz_Palminteri/XseYDfLdjmc_0000018 401.3 409.4 
Chazz_Palminteri/XseYDfLdjmc_0000019 419.8 427.2 
Chazz_Palminteri/XseYDfLdjmc_0000020 437.5 442.0 
Chazz_Palminteri/XseYDfLdjmc_0000021 454.3 458.5 
Chazz_Palminteri/XseYDfLdjmc_0000022 485.2 492.2 
Chazz_Palminteri/XseYDfLdjmc_0000023 501.8 506.6 
Chazz_Palminteri/XseYDfLdjmc_0000024 518.7 535.8 
Chazz_Palminteri/XseYDfLdjmc_0000025 536.2 540.7 
Chazz_Palminteri/XseYDfLdjmc_0000026 541.9 546.0 
Chazz_Palminteri/XseYDfLdjmc_0000027 558.5 565.8 
Chazz_Palminteri/XseYDfLdjmc_0000028 572.0 578.3 
Chazz_Palminteri/XseYDfLdjmc_0000029 592.6 600.0 
Chazz_Palminteri/XseYDfLdjmc_0000030 610.7 620.6 
Chazz_Palminteri/XseYDfLdjmc_0000031 648.4 652.8 
Chazz_Palminteri/XseYDfLdjmc_0000032 654.6 673.1 
Chazz_Palminteri/XseYDfLdjmc_0000033 674.7 684.1 
Chazz_Palminteri/XseYDfLdjmc_0000034 685.0 689.5 
Chazz_Palminteri/XseYDfLdjmc_0000035 697.2 706.8 
Chazz_Palminteri/XseYDfLdjmc_0000036 710.1 714.9 
Chazz_Palminteri/XseYDfLdjmc_0000037 728.2 732.1 
Chazz_Palminteri/XseYDfLdjmc_0000038 737.5 742.0 
Chazz_Palminteri/XseYDfLdjmc_0000039 747.2 753.3 
Chazz_Palminteri/XseYDfLdjmc_0000040 767.1 778.8 
Chazz_Palminteri/XseYDfLdjmc_0000041 785.4 792.8 
Chazz_Palminteri/XseYDfLdjmc_0000042 795.8 805.9 
Chazz_Palminteri/XseYDfLdjmc_0000043 837.9 842.2 
Chazz_Palminteri/XseYDfLdjmc_0000044 850.1 862.2 
Chazz_Palminteri/XseYDfLdjmc_0000045 905.4 915.6 
Chazz_Palminteri/XseYDfLdjmc_0000046 941.0 946.9 
Chazz_Palminteri/XseYDfLdjmc_0000047 957.8 965.1 
Chazz_Palminteri/XseYDfLdjmc_0000048 977.1 982.1 
Chazz_Palminteri/XseYDfLdjmc_0000049 992.3 1001.1 
Chazz_Palminteri/XseYDfLdjmc_0000050 1007.1 1019.8 
Chazz_Palminteri/XseYDfLdjmc_0000051 1024.8 1030.4 
Chazz_Palminteri/XseYDfLdjmc_0000052 1033.9 1038.4 
Chazz_Palminteri/XseYDfLdjmc_0000053 1039.3 1043.9 
Chazz_Palminteri/XseYDfLdjmc_0000054 1044.4 1057.5 
Chazz_Palminteri/XseYDfLdjmc_0000055 1061.8 1068.5 
Chazz_Palminteri/XseYDfLdjmc_0000056 1079.7 1084.2 
Chazz_Palminteri/XseYDfLdjmc_0000057 1096.9 1104.2 
Chazz_Palminteri/XseYDfLdjmc_0000058 1120.4 1140.0 
Chazz_Palminteri/XseYDfLdjmc_0000059 1146.4 1155.7 
Chazz_Palminteri/XseYDfLdjmc_0000060 1156.4 1161.9 
Chazz_Palminteri/XseYDfLdjmc_0000061 1166.3 1176.5 
Chazz_Palminteri/XseYDfLdjmc_0000062 1176.6 1184.7 
Chazz_Palminteri/XseYDfLdjmc_0000063 1225.1 1230.3 
Chazz_Palminteri/XseYDfLdjmc_0000064 1246.6 1251.8 
Chazz_Palminteri/XseYDfLdjmc_0000065 1260.1 1270.3 
Chazz_Palminteri/XseYDfLdjmc_0000066 1294.4 1305.0 
Chazz_Palminteri/XseYDfLdjmc_0000067 1308.3 1314.2 
Chazz_Palminteri/XseYDfLdjmc_0000068 1320.2 1331.0 
Chazz_Palminteri/XseYDfLdjmc_0000069 1367.8 1377.2 
Chazz_Palminteri/XseYDfLdjmc_0000070 1367.0 1377.2 
Chazz_Palminteri/XseYDfLdjmc_0000071 1392.2 1396.8 
Chazz_Palminteri/XseYDfLdjmc_0000072 1404.4 1409.2 
Chazz_Palminteri/XseYDfLdjmc_0000073 1410.4 1423.7 
Chazz_Palminteri/XseYDfLdjmc_0000074 1433.7 1445.8 
