POI: 			Chelsea_Handler 
Youtube ID: 	NwRl9TEnukc 
Video length: 	2318.0 sec 
Set (V): 		dev 
 
Chelsea_Handler/NwRl9TEnukc_0000001 95.9 100.4 
Chelsea_Handler/NwRl9TEnukc_0000002 138.5 152.9 
Chelsea_Handler/NwRl9TEnukc_0000003 164.5 169.1 
Chelsea_Handler/NwRl9TEnukc_0000004 238.3 244.2 
Chelsea_Handler/NwRl9TEnukc_0000005 250.6 256.4 
Chelsea_Handler/NwRl9TEnukc_0000006 267.1 280.0 
Chelsea_Handler/NwRl9TEnukc_0000007 284.5 292.9 
Chelsea_Handler/NwRl9TEnukc_0000008 294.0 306.7 
Chelsea_Handler/NwRl9TEnukc_0000009 363.1 372.4 
Chelsea_Handler/NwRl9TEnukc_0000010 373.8 392.7 
Chelsea_Handler/NwRl9TEnukc_0000011 393.0 397.7 
Chelsea_Handler/NwRl9TEnukc_0000012 476.4 492.8 
Chelsea_Handler/NwRl9TEnukc_0000013 493.4 497.9 
Chelsea_Handler/NwRl9TEnukc_0000014 522.8 545.8 
Chelsea_Handler/NwRl9TEnukc_0000015 546.4 580.7 
Chelsea_Handler/NwRl9TEnukc_0000016 604.8 624.8 
Chelsea_Handler/NwRl9TEnukc_0000017 633.6 649.2 
Chelsea_Handler/NwRl9TEnukc_0000018 718.2 735.3 
Chelsea_Handler/NwRl9TEnukc_0000019 751.4 760.3 
Chelsea_Handler/NwRl9TEnukc_0000020 770.7 777.8 
Chelsea_Handler/NwRl9TEnukc_0000021 778.1 785.9 
Chelsea_Handler/NwRl9TEnukc_0000022 788.0 796.6 
Chelsea_Handler/NwRl9TEnukc_0000023 857.8 863.0 
Chelsea_Handler/NwRl9TEnukc_0000024 863.7 880.9 
Chelsea_Handler/NwRl9TEnukc_0000025 933.3 941.2 
Chelsea_Handler/NwRl9TEnukc_0000026 941.3 947.6 
Chelsea_Handler/NwRl9TEnukc_0000027 1132.2 1141.7 
Chelsea_Handler/NwRl9TEnukc_0000028 1333.1 1343.8 
Chelsea_Handler/NwRl9TEnukc_0000029 1344.4 1349.8 
Chelsea_Handler/NwRl9TEnukc_0000030 1516.1 1520.7 
Chelsea_Handler/NwRl9TEnukc_0000031 1542.0 1547.0 
Chelsea_Handler/NwRl9TEnukc_0000032 1713.5 1730.3 
Chelsea_Handler/NwRl9TEnukc_0000033 1739.5 1745.7 
Chelsea_Handler/NwRl9TEnukc_0000034 1823.9 1837.4 
Chelsea_Handler/NwRl9TEnukc_0000035 1983.8 1989.1 
Chelsea_Handler/NwRl9TEnukc_0000036 1997.6 2002.6 
Chelsea_Handler/NwRl9TEnukc_0000037 2005.0 2010.0 
Chelsea_Handler/NwRl9TEnukc_0000038 2018.6 2022.8 
Chelsea_Handler/NwRl9TEnukc_0000039 2087.6 2097.6 
Chelsea_Handler/NwRl9TEnukc_0000040 2104.8 2109.3 
Chelsea_Handler/NwRl9TEnukc_0000041 2122.2 2146.1 
Chelsea_Handler/NwRl9TEnukc_0000042 2147.4 2167.2 
Chelsea_Handler/NwRl9TEnukc_0000043 2167.4 2173.4 
Chelsea_Handler/NwRl9TEnukc_0000044 2174.7 2197.0 
