POI: 			Chelsea_Handler 
Youtube ID: 	Q3zL1cvyMfo 
Video length: 	2481.2 sec 
Set (V): 		dev 
 
Chelsea_Handler/Q3zL1cvyMfo_0000001 73.9 82.7 
Chelsea_Handler/Q3zL1cvyMfo_0000002 84.4 92.1 
Chelsea_Handler/Q3zL1cvyMfo_0000003 122.8 129.9 
Chelsea_Handler/Q3zL1cvyMfo_0000004 245.2 250.2 
Chelsea_Handler/Q3zL1cvyMfo_0000005 266.7 272.3 
Chelsea_Handler/Q3zL1cvyMfo_0000006 273.2 278.7 
Chelsea_Handler/Q3zL1cvyMfo_0000007 293.0 297.8 
Chelsea_Handler/Q3zL1cvyMfo_0000008 312.4 317.5 
Chelsea_Handler/Q3zL1cvyMfo_0000009 319.4 324.3 
Chelsea_Handler/Q3zL1cvyMfo_0000010 333.9 351.0 
Chelsea_Handler/Q3zL1cvyMfo_0000011 351.4 356.3 
Chelsea_Handler/Q3zL1cvyMfo_0000012 390.5 410.5 
Chelsea_Handler/Q3zL1cvyMfo_0000013 435.7 454.6 
Chelsea_Handler/Q3zL1cvyMfo_0000014 465.1 469.7 
Chelsea_Handler/Q3zL1cvyMfo_0000015 489.7 502.6 
Chelsea_Handler/Q3zL1cvyMfo_0000016 524.1 528.4 
Chelsea_Handler/Q3zL1cvyMfo_0000017 536.6 548.2 
Chelsea_Handler/Q3zL1cvyMfo_0000018 551.2 556.1 
Chelsea_Handler/Q3zL1cvyMfo_0000019 678.0 687.2 
Chelsea_Handler/Q3zL1cvyMfo_0000020 707.3 725.0 
Chelsea_Handler/Q3zL1cvyMfo_0000021 731.6 740.1 
Chelsea_Handler/Q3zL1cvyMfo_0000022 782.1 789.8 
Chelsea_Handler/Q3zL1cvyMfo_0000023 826.6 831.6 
Chelsea_Handler/Q3zL1cvyMfo_0000024 855.9 861.2 
Chelsea_Handler/Q3zL1cvyMfo_0000025 887.8 896.3 
Chelsea_Handler/Q3zL1cvyMfo_0000026 911.0 918.2 
Chelsea_Handler/Q3zL1cvyMfo_0000027 957.6 963.8 
Chelsea_Handler/Q3zL1cvyMfo_0000028 993.2 1001.4 
Chelsea_Handler/Q3zL1cvyMfo_0000029 1042.7 1055.3 
Chelsea_Handler/Q3zL1cvyMfo_0000030 1072.1 1079.1 
Chelsea_Handler/Q3zL1cvyMfo_0000031 1079.4 1084.7 
Chelsea_Handler/Q3zL1cvyMfo_0000032 1101.3 1105.4 
Chelsea_Handler/Q3zL1cvyMfo_0000033 1166.2 1179.9 
Chelsea_Handler/Q3zL1cvyMfo_0000034 1197.6 1204.5 
Chelsea_Handler/Q3zL1cvyMfo_0000035 1213.4 1220.2 
Chelsea_Handler/Q3zL1cvyMfo_0000036 1264.8 1273.0 
Chelsea_Handler/Q3zL1cvyMfo_0000037 1305.1 1313.3 
Chelsea_Handler/Q3zL1cvyMfo_0000038 1328.8 1338.8 
Chelsea_Handler/Q3zL1cvyMfo_0000039 1391.9 1408.6 
Chelsea_Handler/Q3zL1cvyMfo_0000040 1420.7 1435.2 
Chelsea_Handler/Q3zL1cvyMfo_0000041 1446.5 1454.2 
Chelsea_Handler/Q3zL1cvyMfo_0000042 1459.8 1465.2 
Chelsea_Handler/Q3zL1cvyMfo_0000043 1467.3 1471.6 
Chelsea_Handler/Q3zL1cvyMfo_0000044 1526.8 1533.5 
Chelsea_Handler/Q3zL1cvyMfo_0000045 1533.8 1538.4 
Chelsea_Handler/Q3zL1cvyMfo_0000046 1564.5 1575.8 
Chelsea_Handler/Q3zL1cvyMfo_0000047 1584.2 1591.5 
Chelsea_Handler/Q3zL1cvyMfo_0000048 1645.3 1649.6 
Chelsea_Handler/Q3zL1cvyMfo_0000049 1666.8 1674.8 
Chelsea_Handler/Q3zL1cvyMfo_0000050 1689.9 1700.5 
Chelsea_Handler/Q3zL1cvyMfo_0000051 1706.7 1712.4 
Chelsea_Handler/Q3zL1cvyMfo_0000052 1800.8 1811.9 
Chelsea_Handler/Q3zL1cvyMfo_0000053 1822.0 1838.6 
Chelsea_Handler/Q3zL1cvyMfo_0000054 1864.1 1876.4 
Chelsea_Handler/Q3zL1cvyMfo_0000055 1888.2 1894.1 
Chelsea_Handler/Q3zL1cvyMfo_0000056 1911.9 1918.2 
Chelsea_Handler/Q3zL1cvyMfo_0000057 1918.3 1929.9 
Chelsea_Handler/Q3zL1cvyMfo_0000058 1934.6 1941.2 
Chelsea_Handler/Q3zL1cvyMfo_0000059 1941.5 1947.0 
Chelsea_Handler/Q3zL1cvyMfo_0000060 1979.2 1989.6 
Chelsea_Handler/Q3zL1cvyMfo_0000061 2009.0 2014.9 
Chelsea_Handler/Q3zL1cvyMfo_0000062 2043.0 2047.6 
Chelsea_Handler/Q3zL1cvyMfo_0000063 2070.6 2079.0 
Chelsea_Handler/Q3zL1cvyMfo_0000064 2091.6 2097.2 
Chelsea_Handler/Q3zL1cvyMfo_0000065 2110.9 2122.3 
Chelsea_Handler/Q3zL1cvyMfo_0000066 2155.3 2161.3 
Chelsea_Handler/Q3zL1cvyMfo_0000067 2226.6 2234.4 
Chelsea_Handler/Q3zL1cvyMfo_0000068 2235.2 2242.8 
Chelsea_Handler/Q3zL1cvyMfo_0000069 2251.0 2265.4 
Chelsea_Handler/Q3zL1cvyMfo_0000070 2275.3 2283.6 
Chelsea_Handler/Q3zL1cvyMfo_0000071 2287.2 2301.8 
Chelsea_Handler/Q3zL1cvyMfo_0000072 2312.0 2319.6 
Chelsea_Handler/Q3zL1cvyMfo_0000073 2362.0 2371.2 
Chelsea_Handler/Q3zL1cvyMfo_0000074 2407.8 2417.6 
Chelsea_Handler/Q3zL1cvyMfo_0000075 2438.0 2455.7 
Chelsea_Handler/Q3zL1cvyMfo_0000076 2457.5 2469.3 
