POI: 			Robbie_Amell 
Youtube ID: 	Wf3WuBm1F9s 
Video length: 	610.4 sec 
Set (V): 		dev 
 
Robbie_Amell/Wf3WuBm1F9s_0000001 22.3 28.3 
Robbie_Amell/Wf3WuBm1F9s_0000002 29.6 48.8 
Robbie_Amell/Wf3WuBm1F9s_0000003 49.4 59.0 
Robbie_Amell/Wf3WuBm1F9s_0000004 61.9 79.2 
Robbie_Amell/Wf3WuBm1F9s_0000005 86.0 90.6 
Robbie_Amell/Wf3WuBm1F9s_0000006 91.0 101.3 
Robbie_Amell/Wf3WuBm1F9s_0000007 104.8 110.2 
Robbie_Amell/Wf3WuBm1F9s_0000008 112.0 118.5 
Robbie_Amell/Wf3WuBm1F9s_0000009 119.5 123.9 
Robbie_Amell/Wf3WuBm1F9s_0000010 126.1 137.2 
Robbie_Amell/Wf3WuBm1F9s_0000011 163.2 169.9 
Robbie_Amell/Wf3WuBm1F9s_0000012 170.9 175.8 
Robbie_Amell/Wf3WuBm1F9s_0000013 176.1 188.8 
Robbie_Amell/Wf3WuBm1F9s_0000014 189.6 206.9 
Robbie_Amell/Wf3WuBm1F9s_0000015 212.9 222.5 
Robbie_Amell/Wf3WuBm1F9s_0000016 235.8 240.0 
Robbie_Amell/Wf3WuBm1F9s_0000017 242.5 247.4 
Robbie_Amell/Wf3WuBm1F9s_0000018 285.4 294.4 
Robbie_Amell/Wf3WuBm1F9s_0000019 295.4 309.1 
Robbie_Amell/Wf3WuBm1F9s_0000020 310.0 324.0 
Robbie_Amell/Wf3WuBm1F9s_0000021 326.3 336.1 
Robbie_Amell/Wf3WuBm1F9s_0000022 340.4 346.3 
Robbie_Amell/Wf3WuBm1F9s_0000023 377.2 399.3 
Robbie_Amell/Wf3WuBm1F9s_0000024 404.0 420.4 
Robbie_Amell/Wf3WuBm1F9s_0000025 435.3 441.4 
Robbie_Amell/Wf3WuBm1F9s_0000026 447.2 451.1 
Robbie_Amell/Wf3WuBm1F9s_0000027 460.0 473.7 
Robbie_Amell/Wf3WuBm1F9s_0000028 486.1 491.4 
Robbie_Amell/Wf3WuBm1F9s_0000029 492.4 498.2 
Robbie_Amell/Wf3WuBm1F9s_0000030 498.6 506.5 
Robbie_Amell/Wf3WuBm1F9s_0000031 510.0 525.8 
Robbie_Amell/Wf3WuBm1F9s_0000032 526.3 538.4 
Robbie_Amell/Wf3WuBm1F9s_0000033 555.4 559.8 
Robbie_Amell/Wf3WuBm1F9s_0000034 563.6 573.5 
Robbie_Amell/Wf3WuBm1F9s_0000035 574.4 579.8 
Robbie_Amell/Wf3WuBm1F9s_0000036 584.1 591.9 
Robbie_Amell/Wf3WuBm1F9s_0000037 593.6 603.4 
