POI: 			Rowan_Atkinson 
Youtube ID: 	REGSBWdZ9I0 
Video length: 	364.8 sec 
Set (V): 		dev 
 
Rowan_Atkinson/REGSBWdZ9I0_0000001 13.1 20.1 
Rowan_Atkinson/REGSBWdZ9I0_0000002 20.6 33.0 
Rowan_Atkinson/REGSBWdZ9I0_0000003 35.1 53.7 
Rowan_Atkinson/REGSBWdZ9I0_0000004 59.5 67.4 
Rowan_Atkinson/REGSBWdZ9I0_0000005 67.8 78.4 
Rowan_Atkinson/REGSBWdZ9I0_0000006 99.3 125.7 
Rowan_Atkinson/REGSBWdZ9I0_0000007 126.7 133.7 
Rowan_Atkinson/REGSBWdZ9I0_0000008 148.1 170.2 
Rowan_Atkinson/REGSBWdZ9I0_0000009 172.8 182.3 
Rowan_Atkinson/REGSBWdZ9I0_0000010 205.1 211.5 
Rowan_Atkinson/REGSBWdZ9I0_0000011 216.3 225.9 
Rowan_Atkinson/REGSBWdZ9I0_0000012 233.9 240.0 
Rowan_Atkinson/REGSBWdZ9I0_0000013 241.9 246.2 
Rowan_Atkinson/REGSBWdZ9I0_0000014 229.3 240.0 
Rowan_Atkinson/REGSBWdZ9I0_0000015 242.0 246.0 
Rowan_Atkinson/REGSBWdZ9I0_0000016 246.9 263.6 
Rowan_Atkinson/REGSBWdZ9I0_0000017 283.1 295.3 
Rowan_Atkinson/REGSBWdZ9I0_0000018 298.2 302.1 
Rowan_Atkinson/REGSBWdZ9I0_0000019 303.2 310.8 
Rowan_Atkinson/REGSBWdZ9I0_0000020 311.0 329.2 
