POI: 			Jeremy_Piven 
Youtube ID: 	qBrXmKPpFYY 
Video length: 	767.0 sec 
Set (V): 		dev 
 
Jeremy_Piven/qBrXmKPpFYY_0000001 09.7 15.0 
Jeremy_Piven/qBrXmKPpFYY_0000002 27.8 37.2 
Jeremy_Piven/qBrXmKPpFYY_0000003 38.4 43.5 
Jeremy_Piven/qBrXmKPpFYY_0000004 59.2 64.3 
Jeremy_Piven/qBrXmKPpFYY_0000005 65.0 69.6 
Jeremy_Piven/qBrXmKPpFYY_0000006 70.6 75.7 
Jeremy_Piven/qBrXmKPpFYY_0000007 86.8 96.4 
Jeremy_Piven/qBrXmKPpFYY_0000008 116.5 122.2 
Jeremy_Piven/qBrXmKPpFYY_0000009 130.3 134.4 
Jeremy_Piven/qBrXmKPpFYY_0000010 140.2 147.5 
Jeremy_Piven/qBrXmKPpFYY_0000011 148.2 152.9 
Jeremy_Piven/qBrXmKPpFYY_0000012 169.2 176.0 
Jeremy_Piven/qBrXmKPpFYY_0000013 177.1 182.7 
Jeremy_Piven/qBrXmKPpFYY_0000014 185.0 189.2 
Jeremy_Piven/qBrXmKPpFYY_0000015 218.4 226.3 
Jeremy_Piven/qBrXmKPpFYY_0000016 227.0 232.5 
Jeremy_Piven/qBrXmKPpFYY_0000017 233.0 247.4 
Jeremy_Piven/qBrXmKPpFYY_0000018 270.5 275.4 
Jeremy_Piven/qBrXmKPpFYY_0000019 288.4 301.4 
Jeremy_Piven/qBrXmKPpFYY_0000020 308.4 330.4 
Jeremy_Piven/qBrXmKPpFYY_0000021 332.1 341.8 
Jeremy_Piven/qBrXmKPpFYY_0000022 342.6 348.2 
Jeremy_Piven/qBrXmKPpFYY_0000023 348.4 357.7 
Jeremy_Piven/qBrXmKPpFYY_0000024 373.2 381.3 
Jeremy_Piven/qBrXmKPpFYY_0000025 382.6 387.5 
Jeremy_Piven/qBrXmKPpFYY_0000026 394.5 404.6 
Jeremy_Piven/qBrXmKPpFYY_0000027 440.9 452.5 
Jeremy_Piven/qBrXmKPpFYY_0000028 463.7 468.1 
Jeremy_Piven/qBrXmKPpFYY_0000029 468.4 489.1 
Jeremy_Piven/qBrXmKPpFYY_0000030 498.6 507.1 
Jeremy_Piven/qBrXmKPpFYY_0000031 507.4 519.0 
Jeremy_Piven/qBrXmKPpFYY_0000032 520.0 530.6 
Jeremy_Piven/qBrXmKPpFYY_0000033 531.0 538.0 
Jeremy_Piven/qBrXmKPpFYY_0000034 538.5 551.6 
Jeremy_Piven/qBrXmKPpFYY_0000035 562.2 566.8 
Jeremy_Piven/qBrXmKPpFYY_0000036 591.1 602.4 
Jeremy_Piven/qBrXmKPpFYY_0000037 603.9 620.3 
Jeremy_Piven/qBrXmKPpFYY_0000038 626.6 631.6 
Jeremy_Piven/qBrXmKPpFYY_0000039 632.2 636.9 
Jeremy_Piven/qBrXmKPpFYY_0000040 639.9 653.8 
Jeremy_Piven/qBrXmKPpFYY_0000041 656.0 670.6 
Jeremy_Piven/qBrXmKPpFYY_0000042 692.6 710.1 
Jeremy_Piven/qBrXmKPpFYY_0000043 712.0 724.7 
Jeremy_Piven/qBrXmKPpFYY_0000044 725.4 731.9 
Jeremy_Piven/qBrXmKPpFYY_0000045 732.5 750.9 
Jeremy_Piven/qBrXmKPpFYY_0000046 752.8 759.2 
