POI: 			Michelle_Monaghan 
Youtube ID: 	Nkq8JkpR5z0 
Video length: 	267.7 sec 
Set (V): 		dev 
 
Michelle_Monaghan/Nkq8JkpR5z0_0000001 08.2 22.3 
Michelle_Monaghan/Nkq8JkpR5z0_0000002 23.9 31.1 
Michelle_Monaghan/Nkq8JkpR5z0_0000003 31.4 36.1 
Michelle_Monaghan/Nkq8JkpR5z0_0000004 51.7 73.8 
Michelle_Monaghan/Nkq8JkpR5z0_0000005 78.2 84.4 
Michelle_Monaghan/Nkq8JkpR5z0_0000006 84.6 112.8 
Michelle_Monaghan/Nkq8JkpR5z0_0000007 139.4 149.4 
Michelle_Monaghan/Nkq8JkpR5z0_0000008 155.7 182.9 
Michelle_Monaghan/Nkq8JkpR5z0_0000009 189.1 196.2 
Michelle_Monaghan/Nkq8JkpR5z0_0000010 196.5 213.8 
Michelle_Monaghan/Nkq8JkpR5z0_0000011 214.9 224.2 
Michelle_Monaghan/Nkq8JkpR5z0_0000012 225.6 231.0 
Michelle_Monaghan/Nkq8JkpR5z0_0000013 232.5 238.4 
Michelle_Monaghan/Nkq8JkpR5z0_0000014 242.6 246.8 
Michelle_Monaghan/Nkq8JkpR5z0_0000015 247.5 257.3 
Michelle_Monaghan/Nkq8JkpR5z0_0000016 257.9 263.9 
