POI: 			Darren_Criss 
Youtube ID: 	Bs1ucqT6C_w 
Video length: 	585.1 sec 
Set (V): 		dev 
 
Darren_Criss/Bs1ucqT6C_w_0000001 61.4 65.8 
Darren_Criss/Bs1ucqT6C_w_0000002 77.9 87.4 
Darren_Criss/Bs1ucqT6C_w_0000003 222.4 229.9 
Darren_Criss/Bs1ucqT6C_w_0000004 237.7 243.6 
Darren_Criss/Bs1ucqT6C_w_0000005 247.5 257.4 
Darren_Criss/Bs1ucqT6C_w_0000006 261.0 267.4 
Darren_Criss/Bs1ucqT6C_w_0000007 269.4 274.7 
Darren_Criss/Bs1ucqT6C_w_0000008 301.9 307.6 
Darren_Criss/Bs1ucqT6C_w_0000009 344.4 353.7 
Darren_Criss/Bs1ucqT6C_w_0000010 355.6 361.5 
Darren_Criss/Bs1ucqT6C_w_0000011 370.2 376.6 
Darren_Criss/Bs1ucqT6C_w_0000012 377.4 382.0 
Darren_Criss/Bs1ucqT6C_w_0000013 419.6 424.1 
Darren_Criss/Bs1ucqT6C_w_0000014 433.8 439.2 
Darren_Criss/Bs1ucqT6C_w_0000015 440.5 446.3 
Darren_Criss/Bs1ucqT6C_w_0000016 500.6 506.2 
Darren_Criss/Bs1ucqT6C_w_0000017 511.4 515.6 
Darren_Criss/Bs1ucqT6C_w_0000018 560.6 564.8 
