POI: 			Kevin_Smith 
Youtube ID: 	ZmtITLSu5I8 
Video length: 	1286.7 sec 
Set (V): 		dev 
 
Kevin_Smith/ZmtITLSu5I8_0000001 125.4 137.2 
Kevin_Smith/ZmtITLSu5I8_0000002 191.6 198.4 
Kevin_Smith/ZmtITLSu5I8_0000003 198.6 209.0 
Kevin_Smith/ZmtITLSu5I8_0000004 267.0 277.0 
Kevin_Smith/ZmtITLSu5I8_0000005 277.2 284.3 
Kevin_Smith/ZmtITLSu5I8_0000006 294.6 304.2 
Kevin_Smith/ZmtITLSu5I8_0000007 342.9 358.4 
Kevin_Smith/ZmtITLSu5I8_0000008 388.9 395.0 
Kevin_Smith/ZmtITLSu5I8_0000009 395.6 400.9 
Kevin_Smith/ZmtITLSu5I8_0000010 417.0 421.4 
Kevin_Smith/ZmtITLSu5I8_0000011 424.9 431.8 
Kevin_Smith/ZmtITLSu5I8_0000012 435.9 447.0 
Kevin_Smith/ZmtITLSu5I8_0000013 505.2 509.8 
Kevin_Smith/ZmtITLSu5I8_0000014 522.4 534.9 
Kevin_Smith/ZmtITLSu5I8_0000015 574.0 578.6 
Kevin_Smith/ZmtITLSu5I8_0000016 587.1 593.9 
Kevin_Smith/ZmtITLSu5I8_0000017 610.7 614.8 
Kevin_Smith/ZmtITLSu5I8_0000018 619.8 624.1 
Kevin_Smith/ZmtITLSu5I8_0000019 676.0 682.0 
Kevin_Smith/ZmtITLSu5I8_0000020 691.4 719.0 
Kevin_Smith/ZmtITLSu5I8_0000021 750.2 754.8 
Kevin_Smith/ZmtITLSu5I8_0000022 761.2 769.2 
Kevin_Smith/ZmtITLSu5I8_0000023 795.2 802.3 
Kevin_Smith/ZmtITLSu5I8_0000024 812.5 823.4 
Kevin_Smith/ZmtITLSu5I8_0000025 847.1 857.0 
Kevin_Smith/ZmtITLSu5I8_0000026 870.4 880.0 
Kevin_Smith/ZmtITLSu5I8_0000027 888.2 893.7 
Kevin_Smith/ZmtITLSu5I8_0000028 894.6 899.8 
Kevin_Smith/ZmtITLSu5I8_0000029 911.7 918.7 
Kevin_Smith/ZmtITLSu5I8_0000030 925.4 929.6 
Kevin_Smith/ZmtITLSu5I8_0000031 939.2 944.4 
Kevin_Smith/ZmtITLSu5I8_0000032 949.0 965.2 
Kevin_Smith/ZmtITLSu5I8_0000033 999.6 1007.5 
Kevin_Smith/ZmtITLSu5I8_0000034 1023.8 1029.8 
Kevin_Smith/ZmtITLSu5I8_0000035 1030.1 1034.0 
Kevin_Smith/ZmtITLSu5I8_0000036 1041.2 1046.4 
Kevin_Smith/ZmtITLSu5I8_0000037 1046.6 1050.6 
Kevin_Smith/ZmtITLSu5I8_0000038 1051.4 1061.3 
Kevin_Smith/ZmtITLSu5I8_0000039 1063.1 1067.2 
Kevin_Smith/ZmtITLSu5I8_0000040 1073.0 1081.6 
Kevin_Smith/ZmtITLSu5I8_0000041 1082.0 1095.4 
Kevin_Smith/ZmtITLSu5I8_0000042 1102.4 1112.6 
Kevin_Smith/ZmtITLSu5I8_0000043 1116.6 1126.7 
Kevin_Smith/ZmtITLSu5I8_0000044 1139.0 1156.3 
Kevin_Smith/ZmtITLSu5I8_0000045 1156.8 1163.7 
Kevin_Smith/ZmtITLSu5I8_0000046 1171.1 1183.8 
Kevin_Smith/ZmtITLSu5I8_0000047 1184.7 1190.0 
Kevin_Smith/ZmtITLSu5I8_0000048 1195.9 1203.6 
Kevin_Smith/ZmtITLSu5I8_0000049 1210.9 1219.0 
Kevin_Smith/ZmtITLSu5I8_0000050 1225.8 1242.8 
Kevin_Smith/ZmtITLSu5I8_0000051 1269.5 1274.8 
