POI: 			Robert_Pattinson 
Youtube ID: 	s747isSlMFU 
Video length: 	679.7 sec 
Set (V): 		dev 
 
Robert_Pattinson/s747isSlMFU_0000001 162.3 171.4 
Robert_Pattinson/s747isSlMFU_0000002 171.5 184.5 
Robert_Pattinson/s747isSlMFU_0000003 212.0 216.6 
Robert_Pattinson/s747isSlMFU_0000004 217.1 226.3 
Robert_Pattinson/s747isSlMFU_0000005 333.6 344.2 
Robert_Pattinson/s747isSlMFU_0000006 345.0 349.0 
Robert_Pattinson/s747isSlMFU_0000007 371.4 381.6 
Robert_Pattinson/s747isSlMFU_0000008 387.7 393.4 
Robert_Pattinson/s747isSlMFU_0000009 395.0 400.5 
Robert_Pattinson/s747isSlMFU_0000010 444.5 450.8 
Robert_Pattinson/s747isSlMFU_0000011 453.4 458.5 
Robert_Pattinson/s747isSlMFU_0000012 507.4 511.8 
Robert_Pattinson/s747isSlMFU_0000013 533.8 545.2 
Robert_Pattinson/s747isSlMFU_0000014 548.7 555.4 
Robert_Pattinson/s747isSlMFU_0000015 560.3 567.0 
Robert_Pattinson/s747isSlMFU_0000016 572.2 580.6 
Robert_Pattinson/s747isSlMFU_0000017 597.6 614.6 
Robert_Pattinson/s747isSlMFU_0000018 615.2 620.2 
Robert_Pattinson/s747isSlMFU_0000019 620.4 626.4 
Robert_Pattinson/s747isSlMFU_0000020 627.9 636.6 
Robert_Pattinson/s747isSlMFU_0000021 645.8 654.9 
