POI: 			Bethany_Mota 
Youtube ID: 	_2wZVvsQYFg 
Video length: 	414.0 sec 
Set (V): 		dev 
 
Bethany_Mota/_2wZVvsQYFg_0000001 03.2 12.6 
Bethany_Mota/_2wZVvsQYFg_0000002 15.0 39.6 
Bethany_Mota/_2wZVvsQYFg_0000003 39.7 46.2 
Bethany_Mota/_2wZVvsQYFg_0000004 47.7 54.6 
Bethany_Mota/_2wZVvsQYFg_0000005 63.8 69.2 
Bethany_Mota/_2wZVvsQYFg_0000006 69.4 76.2 
Bethany_Mota/_2wZVvsQYFg_0000007 85.1 91.6 
Bethany_Mota/_2wZVvsQYFg_0000008 91.8 98.0 
Bethany_Mota/_2wZVvsQYFg_0000009 98.8 104.8 
Bethany_Mota/_2wZVvsQYFg_0000010 105.3 110.5 
Bethany_Mota/_2wZVvsQYFg_0000011 137.2 143.6 
Bethany_Mota/_2wZVvsQYFg_0000012 145.8 161.0 
Bethany_Mota/_2wZVvsQYFg_0000013 184.5 191.8 
Bethany_Mota/_2wZVvsQYFg_0000014 192.2 199.4 
Bethany_Mota/_2wZVvsQYFg_0000015 200.2 215.1 
Bethany_Mota/_2wZVvsQYFg_0000016 231.7 236.3 
Bethany_Mota/_2wZVvsQYFg_0000017 240.9 247.6 
Bethany_Mota/_2wZVvsQYFg_0000018 256.0 262.0 
Bethany_Mota/_2wZVvsQYFg_0000019 277.4 285.5 
Bethany_Mota/_2wZVvsQYFg_0000020 286.3 292.8 
Bethany_Mota/_2wZVvsQYFg_0000021 293.4 312.8 
Bethany_Mota/_2wZVvsQYFg_0000022 333.0 355.2 
Bethany_Mota/_2wZVvsQYFg_0000023 358.7 364.1 
Bethany_Mota/_2wZVvsQYFg_0000024 387.5 397.2 
Bethany_Mota/_2wZVvsQYFg_0000025 401.8 412.6 
