POI: 			Sarah_Paulson 
Youtube ID: 	XBxLJGCPjFM 
Video length: 	1989.4 sec 
Set (V): 		dev 
 
Sarah_Paulson/XBxLJGCPjFM_0000001 130.4 135.8 
Sarah_Paulson/XBxLJGCPjFM_0000002 138.1 144.9 
Sarah_Paulson/XBxLJGCPjFM_0000003 223.4 231.8 
Sarah_Paulson/XBxLJGCPjFM_0000004 241.3 250.7 
Sarah_Paulson/XBxLJGCPjFM_0000005 262.4 272.5 
Sarah_Paulson/XBxLJGCPjFM_0000006 291.2 301.8 
Sarah_Paulson/XBxLJGCPjFM_0000007 303.9 308.0 
Sarah_Paulson/XBxLJGCPjFM_0000008 360.7 377.0 
Sarah_Paulson/XBxLJGCPjFM_0000009 389.1 404.4 
Sarah_Paulson/XBxLJGCPjFM_0000010 423.1 427.2 
Sarah_Paulson/XBxLJGCPjFM_0000011 460.7 465.3 
Sarah_Paulson/XBxLJGCPjFM_0000012 467.2 471.7 
Sarah_Paulson/XBxLJGCPjFM_0000013 473.6 480.6 
Sarah_Paulson/XBxLJGCPjFM_0000014 481.5 485.6 
Sarah_Paulson/XBxLJGCPjFM_0000015 539.8 546.6 
Sarah_Paulson/XBxLJGCPjFM_0000016 573.2 579.5 
Sarah_Paulson/XBxLJGCPjFM_0000017 603.5 609.5 
Sarah_Paulson/XBxLJGCPjFM_0000018 655.6 661.2 
Sarah_Paulson/XBxLJGCPjFM_0000019 662.6 670.3 
Sarah_Paulson/XBxLJGCPjFM_0000020 675.8 681.2 
Sarah_Paulson/XBxLJGCPjFM_0000021 717.0 724.8 
Sarah_Paulson/XBxLJGCPjFM_0000022 730.0 735.2 
Sarah_Paulson/XBxLJGCPjFM_0000023 751.3 756.9 
Sarah_Paulson/XBxLJGCPjFM_0000024 758.0 766.9 
Sarah_Paulson/XBxLJGCPjFM_0000025 787.8 792.3 
Sarah_Paulson/XBxLJGCPjFM_0000026 793.7 800.8 
Sarah_Paulson/XBxLJGCPjFM_0000027 801.3 809.8 
Sarah_Paulson/XBxLJGCPjFM_0000028 813.0 817.8 
Sarah_Paulson/XBxLJGCPjFM_0000029 876.7 890.4 
Sarah_Paulson/XBxLJGCPjFM_0000030 940.5 963.3 
Sarah_Paulson/XBxLJGCPjFM_0000031 1000.7 1005.2 
Sarah_Paulson/XBxLJGCPjFM_0000032 1005.8 1011.5 
Sarah_Paulson/XBxLJGCPjFM_0000033 1011.8 1016.9 
Sarah_Paulson/XBxLJGCPjFM_0000034 1058.6 1063.4 
Sarah_Paulson/XBxLJGCPjFM_0000035 1124.7 1129.2 
Sarah_Paulson/XBxLJGCPjFM_0000036 1129.6 1134.6 
Sarah_Paulson/XBxLJGCPjFM_0000037 1148.5 1156.4 
Sarah_Paulson/XBxLJGCPjFM_0000038 1159.9 1164.2 
Sarah_Paulson/XBxLJGCPjFM_0000039 1182.6 1188.3 
Sarah_Paulson/XBxLJGCPjFM_0000040 1204.3 1215.9 
Sarah_Paulson/XBxLJGCPjFM_0000041 1222.4 1229.2 
Sarah_Paulson/XBxLJGCPjFM_0000042 1250.8 1256.7 
Sarah_Paulson/XBxLJGCPjFM_0000043 1257.2 1263.0 
Sarah_Paulson/XBxLJGCPjFM_0000044 1264.7 1269.1 
Sarah_Paulson/XBxLJGCPjFM_0000045 1270.9 1275.0 
Sarah_Paulson/XBxLJGCPjFM_0000046 1295.0 1311.6 
Sarah_Paulson/XBxLJGCPjFM_0000047 1317.7 1322.0 
Sarah_Paulson/XBxLJGCPjFM_0000048 1361.1 1371.7 
Sarah_Paulson/XBxLJGCPjFM_0000049 1373.3 1378.9 
Sarah_Paulson/XBxLJGCPjFM_0000050 1414.2 1441.5 
Sarah_Paulson/XBxLJGCPjFM_0000051 1445.5 1449.6 
Sarah_Paulson/XBxLJGCPjFM_0000052 1486.2 1492.1 
Sarah_Paulson/XBxLJGCPjFM_0000053 1494.0 1506.3 
Sarah_Paulson/XBxLJGCPjFM_0000054 1508.5 1519.4 
Sarah_Paulson/XBxLJGCPjFM_0000055 1552.2 1562.8 
Sarah_Paulson/XBxLJGCPjFM_0000056 1603.2 1626.5 
Sarah_Paulson/XBxLJGCPjFM_0000057 1688.7 1710.7 
Sarah_Paulson/XBxLJGCPjFM_0000058 1818.0 1822.5 
Sarah_Paulson/XBxLJGCPjFM_0000059 1827.8 1837.0 
Sarah_Paulson/XBxLJGCPjFM_0000060 1841.7 1848.9 
Sarah_Paulson/XBxLJGCPjFM_0000061 1872.8 1877.5 
