POI: 			Sarah_Paulson 
Youtube ID: 	WXqRMEeAMQ4 
Video length: 	682.6 sec 
Set (V): 		dev 
 
Sarah_Paulson/WXqRMEeAMQ4_0000001 47.5 57.1 
Sarah_Paulson/WXqRMEeAMQ4_0000002 247.8 255.5 
Sarah_Paulson/WXqRMEeAMQ4_0000003 264.1 271.4 
Sarah_Paulson/WXqRMEeAMQ4_0000004 282.8 287.9 
Sarah_Paulson/WXqRMEeAMQ4_0000005 289.9 300.4 
Sarah_Paulson/WXqRMEeAMQ4_0000006 309.5 314.9 
Sarah_Paulson/WXqRMEeAMQ4_0000007 324.6 329.4 
Sarah_Paulson/WXqRMEeAMQ4_0000008 357.8 372.8 
Sarah_Paulson/WXqRMEeAMQ4_0000009 377.8 384.8 
Sarah_Paulson/WXqRMEeAMQ4_0000010 386.8 393.5 
Sarah_Paulson/WXqRMEeAMQ4_0000011 398.5 403.6 
Sarah_Paulson/WXqRMEeAMQ4_0000012 411.6 424.2 
Sarah_Paulson/WXqRMEeAMQ4_0000013 425.6 431.1 
Sarah_Paulson/WXqRMEeAMQ4_0000014 432.4 437.3 
Sarah_Paulson/WXqRMEeAMQ4_0000015 442.2 451.0 
Sarah_Paulson/WXqRMEeAMQ4_0000016 454.5 460.8 
Sarah_Paulson/WXqRMEeAMQ4_0000017 417.3 424.5 
Sarah_Paulson/WXqRMEeAMQ4_0000018 425.1 453.6 
Sarah_Paulson/WXqRMEeAMQ4_0000019 471.9 479.6 
Sarah_Paulson/WXqRMEeAMQ4_0000020 481.6 487.2 
Sarah_Paulson/WXqRMEeAMQ4_0000021 495.4 502.2 
Sarah_Paulson/WXqRMEeAMQ4_0000022 534.7 538.6 
Sarah_Paulson/WXqRMEeAMQ4_0000023 595.4 600.1 
Sarah_Paulson/WXqRMEeAMQ4_0000024 620.8 626.4 
