POI: 			Neal_McDonough 
Youtube ID: 	ghI9iDoDQUE 
Video length: 	543.5 sec 
Set (V): 		dev 
 
Neal_McDonough/ghI9iDoDQUE_0000001 14.9 30.0 
Neal_McDonough/ghI9iDoDQUE_0000002 30.1 42.6 
Neal_McDonough/ghI9iDoDQUE_0000003 49.8 61.9 
Neal_McDonough/ghI9iDoDQUE_0000004 63.0 73.3 
Neal_McDonough/ghI9iDoDQUE_0000005 73.6 79.2 
Neal_McDonough/ghI9iDoDQUE_0000006 85.8 100.3 
Neal_McDonough/ghI9iDoDQUE_0000007 111.6 117.8 
Neal_McDonough/ghI9iDoDQUE_0000008 134.0 140.8 
Neal_McDonough/ghI9iDoDQUE_0000009 142.1 162.2 
Neal_McDonough/ghI9iDoDQUE_0000010 163.0 170.0 
Neal_McDonough/ghI9iDoDQUE_0000011 170.9 185.5 
Neal_McDonough/ghI9iDoDQUE_0000012 192.3 202.2 
Neal_McDonough/ghI9iDoDQUE_0000013 202.7 216.6 
Neal_McDonough/ghI9iDoDQUE_0000014 225.0 247.0 
Neal_McDonough/ghI9iDoDQUE_0000015 248.1 256.2 
Neal_McDonough/ghI9iDoDQUE_0000016 273.0 277.4 
Neal_McDonough/ghI9iDoDQUE_0000017 302.5 336.1 
Neal_McDonough/ghI9iDoDQUE_0000018 336.5 342.2 
Neal_McDonough/ghI9iDoDQUE_0000019 368.6 372.6 
Neal_McDonough/ghI9iDoDQUE_0000020 375.1 394.7 
Neal_McDonough/ghI9iDoDQUE_0000021 401.2 406.2 
Neal_McDonough/ghI9iDoDQUE_0000022 407.1 420.2 
Neal_McDonough/ghI9iDoDQUE_0000023 444.3 449.7 
Neal_McDonough/ghI9iDoDQUE_0000024 458.4 466.0 
Neal_McDonough/ghI9iDoDQUE_0000025 471.4 498.3 
