POI: 			Shailene_Woodley 
Youtube ID: 	Vy9-9JeqcpM 
Video length: 	634.5 sec 
Set (V): 		dev 
 
Shailene_Woodley/Vy9-9JeqcpM_0000001 64.6 71.3 
Shailene_Woodley/Vy9-9JeqcpM_0000002 89.8 99.1 
Shailene_Woodley/Vy9-9JeqcpM_0000003 125.2 137.0 
Shailene_Woodley/Vy9-9JeqcpM_0000004 139.4 145.4 
Shailene_Woodley/Vy9-9JeqcpM_0000005 145.8 151.4 
Shailene_Woodley/Vy9-9JeqcpM_0000006 205.2 212.6 
Shailene_Woodley/Vy9-9JeqcpM_0000007 213.8 222.4 
Shailene_Woodley/Vy9-9JeqcpM_0000008 226.5 230.9 
Shailene_Woodley/Vy9-9JeqcpM_0000009 231.5 235.4 
Shailene_Woodley/Vy9-9JeqcpM_0000010 282.0 287.2 
Shailene_Woodley/Vy9-9JeqcpM_0000011 292.6 297.4 
Shailene_Woodley/Vy9-9JeqcpM_0000012 299.4 305.2 
Shailene_Woodley/Vy9-9JeqcpM_0000013 306.2 324.3 
Shailene_Woodley/Vy9-9JeqcpM_0000014 292.8 297.4 
Shailene_Woodley/Vy9-9JeqcpM_0000015 298.2 304.8 
Shailene_Woodley/Vy9-9JeqcpM_0000016 305.8 324.3 
Shailene_Woodley/Vy9-9JeqcpM_0000017 343.9 356.3 
Shailene_Woodley/Vy9-9JeqcpM_0000018 376.3 401.7 
Shailene_Woodley/Vy9-9JeqcpM_0000019 410.2 423.1 
Shailene_Woodley/Vy9-9JeqcpM_0000020 424.4 428.7 
Shailene_Woodley/Vy9-9JeqcpM_0000021 428.8 433.8 
Shailene_Woodley/Vy9-9JeqcpM_0000022 493.7 516.8 
Shailene_Woodley/Vy9-9JeqcpM_0000023 544.0 549.0 
Shailene_Woodley/Vy9-9JeqcpM_0000024 559.6 565.6 
Shailene_Woodley/Vy9-9JeqcpM_0000025 590.8 594.8 
