POI: 			Shailene_Woodley 
Youtube ID: 	kD5y0G6WaSI 
Video length: 	1807.8 sec 
Set (V): 		dev 
 
Shailene_Woodley/kD5y0G6WaSI_0000001 22.1 30.9 
Shailene_Woodley/kD5y0G6WaSI_0000002 31.3 37.4 
Shailene_Woodley/kD5y0G6WaSI_0000003 46.2 55.5 
Shailene_Woodley/kD5y0G6WaSI_0000004 69.2 74.2 
Shailene_Woodley/kD5y0G6WaSI_0000005 136.8 144.2 
Shailene_Woodley/kD5y0G6WaSI_0000006 146.1 157.4 
Shailene_Woodley/kD5y0G6WaSI_0000007 181.6 197.4 
Shailene_Woodley/kD5y0G6WaSI_0000008 203.8 213.1 
Shailene_Woodley/kD5y0G6WaSI_0000009 246.4 257.1 
Shailene_Woodley/kD5y0G6WaSI_0000010 265.1 270.2 
Shailene_Woodley/kD5y0G6WaSI_0000011 280.3 287.6 
Shailene_Woodley/kD5y0G6WaSI_0000012 291.7 300.8 
Shailene_Woodley/kD5y0G6WaSI_0000013 312.0 317.1 
Shailene_Woodley/kD5y0G6WaSI_0000014 336.3 348.9 
Shailene_Woodley/kD5y0G6WaSI_0000015 365.4 370.7 
Shailene_Woodley/kD5y0G6WaSI_0000016 373.4 393.7 
Shailene_Woodley/kD5y0G6WaSI_0000017 394.7 400.6 
Shailene_Woodley/kD5y0G6WaSI_0000018 401.1 405.8 
Shailene_Woodley/kD5y0G6WaSI_0000019 406.0 430.0 
Shailene_Woodley/kD5y0G6WaSI_0000020 448.6 458.4 
Shailene_Woodley/kD5y0G6WaSI_0000021 458.7 464.1 
Shailene_Woodley/kD5y0G6WaSI_0000022 477.5 482.0 
Shailene_Woodley/kD5y0G6WaSI_0000023 484.0 505.2 
Shailene_Woodley/kD5y0G6WaSI_0000024 509.8 524.2 
Shailene_Woodley/kD5y0G6WaSI_0000025 546.5 570.6 
Shailene_Woodley/kD5y0G6WaSI_0000026 571.9 594.0 
Shailene_Woodley/kD5y0G6WaSI_0000027 608.0 614.4 
Shailene_Woodley/kD5y0G6WaSI_0000028 614.9 620.6 
Shailene_Woodley/kD5y0G6WaSI_0000029 623.3 628.4 
Shailene_Woodley/kD5y0G6WaSI_0000030 632.2 654.0 
Shailene_Woodley/kD5y0G6WaSI_0000031 654.9 667.1 
Shailene_Woodley/kD5y0G6WaSI_0000032 667.2 686.4 
Shailene_Woodley/kD5y0G6WaSI_0000033 695.6 702.6 
Shailene_Woodley/kD5y0G6WaSI_0000034 708.8 715.0 
Shailene_Woodley/kD5y0G6WaSI_0000035 716.0 724.6 
Shailene_Woodley/kD5y0G6WaSI_0000036 735.3 740.3 
Shailene_Woodley/kD5y0G6WaSI_0000037 752.7 761.9 
Shailene_Woodley/kD5y0G6WaSI_0000038 764.2 772.3 
Shailene_Woodley/kD5y0G6WaSI_0000039 772.7 784.2 
Shailene_Woodley/kD5y0G6WaSI_0000040 797.2 801.1 
Shailene_Woodley/kD5y0G6WaSI_0000041 837.9 843.2 
Shailene_Woodley/kD5y0G6WaSI_0000042 847.6 857.5 
Shailene_Woodley/kD5y0G6WaSI_0000043 859.0 872.2 
Shailene_Woodley/kD5y0G6WaSI_0000044 877.4 892.0 
Shailene_Woodley/kD5y0G6WaSI_0000045 892.6 901.9 
Shailene_Woodley/kD5y0G6WaSI_0000046 917.0 923.0 
Shailene_Woodley/kD5y0G6WaSI_0000047 943.4 947.4 
Shailene_Woodley/kD5y0G6WaSI_0000048 950.3 969.6 
Shailene_Woodley/kD5y0G6WaSI_0000049 1064.4 1070.1 
Shailene_Woodley/kD5y0G6WaSI_0000050 1084.7 1095.2 
Shailene_Woodley/kD5y0G6WaSI_0000051 1098.6 1102.7 
Shailene_Woodley/kD5y0G6WaSI_0000052 1104.2 1109.2 
Shailene_Woodley/kD5y0G6WaSI_0000053 1109.6 1116.4 
Shailene_Woodley/kD5y0G6WaSI_0000054 1120.4 1124.4 
Shailene_Woodley/kD5y0G6WaSI_0000055 1138.6 1144.1 
Shailene_Woodley/kD5y0G6WaSI_0000056 1144.6 1152.3 
Shailene_Woodley/kD5y0G6WaSI_0000057 1155.2 1169.7 
Shailene_Woodley/kD5y0G6WaSI_0000058 1178.3 1184.4 
Shailene_Woodley/kD5y0G6WaSI_0000059 1185.4 1209.6 
Shailene_Woodley/kD5y0G6WaSI_0000060 1209.7 1216.5 
Shailene_Woodley/kD5y0G6WaSI_0000061 1534.5 1538.7 
Shailene_Woodley/kD5y0G6WaSI_0000062 1543.4 1557.2 
Shailene_Woodley/kD5y0G6WaSI_0000063 1562.4 1582.8 
Shailene_Woodley/kD5y0G6WaSI_0000064 1633.1 1637.8 
Shailene_Woodley/kD5y0G6WaSI_0000065 1638.0 1643.7 
Shailene_Woodley/kD5y0G6WaSI_0000066 1796.4 1803.4 
