POI: 			Golshifteh_Farahani 
Youtube ID: 	n7HMOkYw-PM 
Video length: 	779.8 sec 
Set (V): 		dev 
 
Golshifteh_Farahani/n7HMOkYw-PM_0000001 48.1 58.1 
Golshifteh_Farahani/n7HMOkYw-PM_0000002 126.7 132.0 
Golshifteh_Farahani/n7HMOkYw-PM_0000003 135.5 143.8 
Golshifteh_Farahani/n7HMOkYw-PM_0000004 218.4 229.7 
Golshifteh_Farahani/n7HMOkYw-PM_0000005 230.8 236.4 
Golshifteh_Farahani/n7HMOkYw-PM_0000006 238.8 243.7 
Golshifteh_Farahani/n7HMOkYw-PM_0000007 250.5 254.8 
Golshifteh_Farahani/n7HMOkYw-PM_0000008 258.8 268.6 
Golshifteh_Farahani/n7HMOkYw-PM_0000009 287.6 292.2 
Golshifteh_Farahani/n7HMOkYw-PM_0000010 293.4 299.8 
Golshifteh_Farahani/n7HMOkYw-PM_0000011 438.5 447.4 
Golshifteh_Farahani/n7HMOkYw-PM_0000012 455.9 461.2 
Golshifteh_Farahani/n7HMOkYw-PM_0000013 462.5 473.5 
Golshifteh_Farahani/n7HMOkYw-PM_0000014 569.8 576.8 
Golshifteh_Farahani/n7HMOkYw-PM_0000015 631.1 635.4 
Golshifteh_Farahani/n7HMOkYw-PM_0000016 656.4 660.4 
Golshifteh_Farahani/n7HMOkYw-PM_0000017 696.1 700.5 
Golshifteh_Farahani/n7HMOkYw-PM_0000018 705.3 716.1 
Golshifteh_Farahani/n7HMOkYw-PM_0000019 728.9 748.0 
Golshifteh_Farahani/n7HMOkYw-PM_0000020 751.4 755.8 
