POI: 			Adrianne_Curry 
Youtube ID: 	fYVXJaLX4dA 
Video length: 	4099.7 sec 
Set (V): 		dev 
 
Adrianne_Curry/fYVXJaLX4dA_0000001 478.3 482.6 
Adrianne_Curry/fYVXJaLX4dA_0000002 552.3 556.6 
Adrianne_Curry/fYVXJaLX4dA_0000003 792.4 796.3 
Adrianne_Curry/fYVXJaLX4dA_0000004 904.7 911.1 
Adrianne_Curry/fYVXJaLX4dA_0000005 993.1 998.7 
Adrianne_Curry/fYVXJaLX4dA_0000006 1320.2 1324.6 
Adrianne_Curry/fYVXJaLX4dA_0000007 1326.0 1337.3 
Adrianne_Curry/fYVXJaLX4dA_0000008 1357.0 1362.7 
Adrianne_Curry/fYVXJaLX4dA_0000009 1365.0 1371.8 
Adrianne_Curry/fYVXJaLX4dA_0000010 1411.0 1416.4 
Adrianne_Curry/fYVXJaLX4dA_0000011 1416.5 1421.7 
Adrianne_Curry/fYVXJaLX4dA_0000012 1725.9 1730.1 
Adrianne_Curry/fYVXJaLX4dA_0000013 1730.4 1735.4 
Adrianne_Curry/fYVXJaLX4dA_0000014 1747.5 1754.0 
Adrianne_Curry/fYVXJaLX4dA_0000015 2308.0 2313.0 
Adrianne_Curry/fYVXJaLX4dA_0000016 3302.8 3307.1 
