POI: 			Douglas_Booth 
Youtube ID: 	dAKwGq-PQqU 
Video length: 	248.7 sec 
Set (V): 		dev 
 
Douglas_Booth/dAKwGq-PQqU_0000001 06.0 14.3 
Douglas_Booth/dAKwGq-PQqU_0000002 24.4 32.4 
Douglas_Booth/dAKwGq-PQqU_0000003 33.6 43.5 
Douglas_Booth/dAKwGq-PQqU_0000004 43.8 55.6 
Douglas_Booth/dAKwGq-PQqU_0000005 61.2 71.0 
Douglas_Booth/dAKwGq-PQqU_0000006 72.0 81.7 
Douglas_Booth/dAKwGq-PQqU_0000007 98.2 102.8 
Douglas_Booth/dAKwGq-PQqU_0000008 109.1 120.3 
Douglas_Booth/dAKwGq-PQqU_0000009 126.1 140.1 
Douglas_Booth/dAKwGq-PQqU_0000010 147.4 152.0 
Douglas_Booth/dAKwGq-PQqU_0000011 152.9 158.7 
Douglas_Booth/dAKwGq-PQqU_0000012 158.8 166.8 
Douglas_Booth/dAKwGq-PQqU_0000013 167.2 177.1 
Douglas_Booth/dAKwGq-PQqU_0000014 193.4 201.1 
Douglas_Booth/dAKwGq-PQqU_0000015 202.1 212.2 
Douglas_Booth/dAKwGq-PQqU_0000016 230.2 236.0 
