POI: 			Andrew_Scott 
Youtube ID: 	spPCNcMKaj4 
Video length: 	583.9 sec 
Set (V): 		dev 
 
Andrew_Scott/spPCNcMKaj4_0000001 58.7 66.8 
Andrew_Scott/spPCNcMKaj4_0000002 92.3 103.2 
Andrew_Scott/spPCNcMKaj4_0000003 108.3 114.8 
Andrew_Scott/spPCNcMKaj4_0000004 143.8 154.1 
Andrew_Scott/spPCNcMKaj4_0000005 156.0 165.2 
Andrew_Scott/spPCNcMKaj4_0000006 173.6 183.6 
Andrew_Scott/spPCNcMKaj4_0000007 275.8 285.8 
Andrew_Scott/spPCNcMKaj4_0000008 286.7 293.2 
Andrew_Scott/spPCNcMKaj4_0000009 300.2 306.6 
Andrew_Scott/spPCNcMKaj4_0000010 329.4 333.4 
Andrew_Scott/spPCNcMKaj4_0000011 336.3 344.3 
Andrew_Scott/spPCNcMKaj4_0000012 339.8 344.4 
Andrew_Scott/spPCNcMKaj4_0000013 357.2 369.4 
Andrew_Scott/spPCNcMKaj4_0000014 380.6 387.0 
Andrew_Scott/spPCNcMKaj4_0000015 455.3 468.7 
Andrew_Scott/spPCNcMKaj4_0000016 475.0 484.4 
Andrew_Scott/spPCNcMKaj4_0000017 549.8 554.9 
Andrew_Scott/spPCNcMKaj4_0000018 562.6 568.9 
