POI: 			Andrew_Scott 
Youtube ID: 	uGUDLUhOmJU 
Video length: 	2354.2 sec 
Set (V): 		dev 
 
Andrew_Scott/uGUDLUhOmJU_0000001 67.8 73.4 
Andrew_Scott/uGUDLUhOmJU_0000002 90.0 95.5 
Andrew_Scott/uGUDLUhOmJU_0000003 268.5 275.1 
Andrew_Scott/uGUDLUhOmJU_0000004 279.7 283.8 
Andrew_Scott/uGUDLUhOmJU_0000005 286.7 292.6 
Andrew_Scott/uGUDLUhOmJU_0000006 323.7 332.5 
Andrew_Scott/uGUDLUhOmJU_0000007 403.1 407.4 
Andrew_Scott/uGUDLUhOmJU_0000008 486.3 496.4 
Andrew_Scott/uGUDLUhOmJU_0000009 571.8 588.5 
Andrew_Scott/uGUDLUhOmJU_0000010 589.5 598.0 
Andrew_Scott/uGUDLUhOmJU_0000011 600.2 609.3 
Andrew_Scott/uGUDLUhOmJU_0000012 609.5 614.2 
Andrew_Scott/uGUDLUhOmJU_0000013 621.5 630.5 
Andrew_Scott/uGUDLUhOmJU_0000014 714.1 718.6 
Andrew_Scott/uGUDLUhOmJU_0000015 823.5 828.3 
Andrew_Scott/uGUDLUhOmJU_0000016 935.1 941.6 
Andrew_Scott/uGUDLUhOmJU_0000017 984.8 989.1 
Andrew_Scott/uGUDLUhOmJU_0000018 1045.4 1052.2 
Andrew_Scott/uGUDLUhOmJU_0000019 1114.4 1119.7 
Andrew_Scott/uGUDLUhOmJU_0000020 1144.6 1151.4 
Andrew_Scott/uGUDLUhOmJU_0000021 1307.4 1311.6 
Andrew_Scott/uGUDLUhOmJU_0000022 1312.8 1319.7 
Andrew_Scott/uGUDLUhOmJU_0000023 1320.4 1330.7 
Andrew_Scott/uGUDLUhOmJU_0000024 1393.0 1397.6 
Andrew_Scott/uGUDLUhOmJU_0000025 1399.7 1414.0 
Andrew_Scott/uGUDLUhOmJU_0000026 1419.6 1424.5 
Andrew_Scott/uGUDLUhOmJU_0000027 1432.0 1437.6 
Andrew_Scott/uGUDLUhOmJU_0000028 1442.5 1448.8 
Andrew_Scott/uGUDLUhOmJU_0000029 1462.2 1467.4 
Andrew_Scott/uGUDLUhOmJU_0000030 1509.6 1517.5 
Andrew_Scott/uGUDLUhOmJU_0000031 1518.5 1523.2 
Andrew_Scott/uGUDLUhOmJU_0000032 1543.4 1549.9 
Andrew_Scott/uGUDLUhOmJU_0000033 1589.3 1594.6 
Andrew_Scott/uGUDLUhOmJU_0000034 1614.0 1619.2 
Andrew_Scott/uGUDLUhOmJU_0000035 1676.6 1684.0 
Andrew_Scott/uGUDLUhOmJU_0000036 1685.6 1689.6 
Andrew_Scott/uGUDLUhOmJU_0000037 1731.0 1740.7 
Andrew_Scott/uGUDLUhOmJU_0000038 1742.7 1748.8 
Andrew_Scott/uGUDLUhOmJU_0000039 1752.0 1764.4 
Andrew_Scott/uGUDLUhOmJU_0000040 1860.1 1865.9 
Andrew_Scott/uGUDLUhOmJU_0000041 1913.3 1928.2 
Andrew_Scott/uGUDLUhOmJU_0000042 1961.8 1967.3 
Andrew_Scott/uGUDLUhOmJU_0000043 1973.2 1984.4 
Andrew_Scott/uGUDLUhOmJU_0000044 1988.6 1999.8 
Andrew_Scott/uGUDLUhOmJU_0000045 2000.4 2007.1 
Andrew_Scott/uGUDLUhOmJU_0000046 2007.9 2022.9 
Andrew_Scott/uGUDLUhOmJU_0000047 2056.7 2063.6 
Andrew_Scott/uGUDLUhOmJU_0000048 2067.4 2071.6 
Andrew_Scott/uGUDLUhOmJU_0000049 2131.6 2139.0 
Andrew_Scott/uGUDLUhOmJU_0000050 2172.9 2178.0 
Andrew_Scott/uGUDLUhOmJU_0000051 2183.9 2191.2 
Andrew_Scott/uGUDLUhOmJU_0000052 2205.6 2211.4 
Andrew_Scott/uGUDLUhOmJU_0000053 2213.6 2217.8 
Andrew_Scott/uGUDLUhOmJU_0000054 2235.8 2248.8 
Andrew_Scott/uGUDLUhOmJU_0000055 2318.3 2336.5 
